INFORM Severity Index - all countries. Release: October 2020,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Complex crisis in Afghanistan,AFG001,Afghanistan,AFG,Complex crisis,4.6,5,Very High,Increasing,High,5,4.9,5,4.5,5,4,4.3,4,4.5,Asia,2020-10-27 00:00:00
Multiple crises in Algeria,DZA004,Algeria,DZA,Multiple crises country,x,x,x,-,Low,4.4,5,4,x,x,x,2.5,3,2,Africa,2020-10-29 00:00:00
Nagorno-Karabakh Conflict in Armenia,ARM002,Armenia,ARM,Conflict,x,x,x,-,High,2.3,0.6,2.9,x,x,x,1.7,1.8,1.5,Middle east,2020-11-04 00:00:00
Nagorno-Karabakh conflict in Azerbaijan,AZE002,Azerbaijan,AZE,Conflict,x,x,x,-,High,2.9,1.8,3.3,x,x,x,2.5,2.9,2,Middle east,2020-11-04 00:00:00
Mutliple crises in Bangladesh,BGD001,Bangladesh,BGD,Multiple crises country,2.9,3,Medium,Decreasing,High,2.9,3.3,2.6,2.85,3.7,2,3.1,2.7,3.5,Asia,2020-10-28 00:00:00
Venezuela displacement in Brazil,BRA002,Brazil,BRA,International displacement,2.3,3,Medium,Increasing,High,2.4,1.1,2.9,2.7,2.4,3,1.6,2.2,1,Americas,2020-10-06 00:00:00
Conflict in Burkina Faso,BFA002,Burkina Faso,BFA,Conflict,3.8,4,High,Increasing,High,3.8,2.9,4.1,4.45,3.9,5,2.9,2.8,3,Africa,2020-10-30 00:00:00
Multiple crises in Burkina Faso,BFA004,Burkina Faso,BFA,Multiple crises country,3.8,4,High,-,High,4.1,4.6,3.8,3.95,3.9,4,3.2,2.8,3.5,Africa,2020-10-30 00:00:00
Complex in Burundi,BDI001,Burundi,BDI,Complex crisis,3.4,4,High,Stable,High,3.4,4,3.1,3.25,3.5,3,3.6,3.1,4,Africa,2020-10-30 00:00:00
Multiple crises in Cameroon,CMR001,Cameroon,CMR,Multiple crises country,3.7,4,High,Increasing,High,3.8,3.2,4,3.35,3.7,3,4.1,3.5,4.5,Africa,2020-10-30 00:00:00
Complex crisis in CAR,CAF001,CAR,CAF,Complex crisis,4,4,High,Stable,High,4.2,4.3,4.1,4.05,4.1,4,3.9,3.7,4,Africa,2020-10-29 00:00:00
Complex crisis in Chad,TCD001,Chad,TCD,Multiple crises country,4.2,5,Very High,Stable,High,4.2,4.8,3.9,4.35,4.7,4,3.8,3.5,4,Africa,2020-11-04 00:00:00
Complex crisis in Colombia,COL001,Colombia,COL,Complex crisis,4.2,5,Very High,Stable,Medium,4.5,5,4.2,4.45,4.9,4,3.5,2.9,4,Americas,2020-10-15 00:00:00
Floods in Congo,COG004,Congo,COG,Flood,2,2,Low,-,Medium,1.2,1.1,1.3,2.2,1.4,3,2.4,2.8,2,Africa,2020-11-05 00:00:00
Nicaraguan refugees in Costa Rica,CRI002,Costa Rica,CRI,International displacement,1.1,2,Low,Increasing,High,1.3,1,1.5,1,1,1,1,0.9,1,Americas,2020-10-06 00:00:00
Multiple crises in Djibouti,DJI001,Djibouti,DJI,Multiple crises country,2.9,3,Medium,Stable,High,2.1,3.1,1.5,3.25,2.5,4,2.9,2.7,3,Africa,2020-11-05 00:00:00
Complex crisis in DPRK,PRK001,DPRK,PRK,Complex crisis,4.1,5,Very High,Stable,Very Low,4.8,4.6,4.9,4.5,5,4,2.9,3.2,2.5,Asia,2020-03-30 00:00:00
Complex crisis in DRC,COD001,DRC,COD,Complex crisis,4.5,5,Very High,Increasing,High,4.6,5,4.3,4.5,5,4,4.4,4.3,4.5,Africa,2020-11-04 00:00:00
Venezuela displacement in Ecuador,ECU002,Ecuador,ECU,International displacement,2.4,3,Medium,Stable,High,1.9,1.3,2.2,2.95,2.9,3,1.8,2.1,1.5,Americas,2020-10-06 00:00:00
Syrian Refugee Crisis in Egypt,EGY002,Egypt,EGY,International displacement,2.2,3,Medium,Stable,High,2.5,2.4,2.5,1.9,1.8,2,2.4,2.7,2,Africa,2020-08-21 00:00:00
Complex crisis in El Salvador,SLV001,El Salvador,SLV,Complex crisis,3,3,Medium,Increasing,High,3.5,3.8,3.4,3,3,3,2.5,2.4,2.5,Americas,2020-10-07 00:00:00
Complex crisis in Eritrea,ERI001,Eritrea,ERI,Complex crisis,3.7,4,High,Stable,Low,3.5,3.8,3.3,3.5,4,3,4.2,2.8,5,Africa,2020-11-05 00:00:00
Food Security Crisis in Eswatini,SWZ001,Eswatini,SWZ,Food Security,2.6,3,Medium,-,Medium,2.2,3.1,1.6,3.3,2.6,4,1.9,3,0.5,Africa,2020-10-30 00:00:00
Complex crisis in Ethiopia,ETH001,Ethiopia,ETH,Complex crisis,4,4,High,Stable,High,3.9,4.3,3.7,4.45,4.9,4,3.4,3.3,3.5,Africa,2020-11-05 00:00:00
Mixed migration flows in Greece,GRC002,Greece,GRC,International displacement,1.8,2,Low,Decreasing,Very High,2,0.3,2.7,1.8,0.6,3,1.7,1.8,1.5,Europe,2020-11-05 00:00:00
Complex crisis in Guatemala,GTM001,Guatemala,GTM,Complex crisis,3.4,4,High,Stable,Very High,3.7,4.3,3.4,3.6,4.2,3,2.9,3.3,2.5,Americas,2020-10-07 00:00:00
Complex crisis in Haiti,HTI001,Haiti,HTI,Complex crisis,3.5,4,High,Stable,High,3.2,4,2.7,4.15,4.3,4,2.5,2.9,2,Americas,2020-11-05 00:00:00
Complex crisis in Honduras,HND001,Honduras,HND,Complex crisis,3.2,4,High,Decreasing,High,3.7,4.2,3.4,3.25,3.5,3,2.8,3.1,2.5,Americas,2020-10-07 00:00:00
Multiple Crises in India,IND001,India,IND,Multiple crises country,2.6,3,Medium,Increasing,High,3.8,4.2,3.5,2.4,3.8,1,1.7,2.9,0,Asia,2020-10-28 00:00:00
Afghan Refugees in Iran,IRN004,Iran,IRN,International displacement,3.4,4,High,Stable,Medium,2.8,2.7,2.8,4.05,4.1,4,2.7,2.8,2.5,Middle east,2020-10-28 00:00:00
Multiple crises in Iraq,IRQ001,Iraq,IRQ,Multiple crises country,3.9,4,High,Stable,High,4.4,4.9,4,3.7,4.4,3,3.7,3.4,4,Middle east,2020-10-26 00:00:00
Syrian refugees in Jordan,JOR002,Jordan,JOR,International displacement,2.6,3,Medium,Increasing,High,2.7,3,2.5,3,3,3,1.8,2.5,1,Middle east,2020-09-28 00:00:00
Multiple crisis in Kenya ,KEN001,Kenya,KEN,Multiple crises country,2.9,3,Medium,Decreasing,High,3.6,4.9,2.5,2.8,3.6,2,2.5,3,2,Africa,2020-11-05 00:00:00
Socioeconomic crisis in Lebanon,LBN004,Lebanon,LBN,Political and economic crisis,3.5,4,High,Increasing,Medium,2.6,3.6,2,4.15,4.3,4,2.9,2.8,3,Middle east,2020-10-28 00:00:00
Drought in Lesotho,LSO002,Lesotho,LSO,Drought,2.5,3,Medium,Decreasing,High,2.2,3,1.8,3.45,2.9,4,1,1.4,0.5,Africa,2020-10-30 00:00:00
Complex crisis in Libya,LBY001,Libya,LBY,Multiple crises country,4.1,5,Very High,Decreasing,High,4,4.5,3.7,4.2,3.4,5,4.1,3.6,4.5,Africa,2020-10-26 00:00:00
Complex Country Crisis in Madagascar,MDG005,Madagascar,MDG,Complex crisis,2.6,3,Medium,Stable,High,2.3,1.9,2.5,3.05,3.1,3,2,2.4,1.5,Africa,2020-10-30 00:00:00
Complex crisis in Malawi,MWI002,Malawi,MWI,Complex crisis,2.7,3,Medium,Decreasing,High,3.1,4.3,2.2,3.5,4,3,1.2,1.9,0.5,Africa,2020-10-30 00:00:00
Complex crisis in Mali,MLI001,Mali,MLI,Complex crisis,3.8,4,High,Stable,High,4,4.8,3.5,3.7,4.4,3,3.9,3.2,4.5,Africa,2020-11-05 00:00:00
Food Security in Mauritania,MRT003,Mauritania,MRT,Drought,2.9,3,Medium,Increasing,Medium,3.2,4.4,2.25,3,3,3,2.6,2.6,2.5,Africa,2020-10-26 00:00:00
Multiple crisis in Mexico,MEX001,Mexico,MEX,Multiple crises country,x,x,x,-,Very Low,4.2,4.6,4,x,x,x,3,2.9,3,Americas,2020-10-06 00:00:00
Mixed migration flows in Morocco,MAR002,Morocco,MAR,International displacement,x,x,x,-,Very Low,3.5,4.8,2.5,x,x,x,2.1,3,1,Africa,2020-11-02 00:00:00
Complex crisis in Mozambique,MOZ001,Mozambique,MOZ,Complex crisis,3.2,4,High,Stable,High,3.5,2.5,3.9,3.2,3.4,3,3,3.5,2.5,Africa,2020-11-05 00:00:00
Multiple crises in Myanmar,MMR001,Myanmar,MMR,Multiple crises country,3.5,4,High,Decreasing,High,3.3,2.7,3.6,3.65,3.3,4,3.5,3.4,3.5,Asia,2020-10-28 00:00:00
Food Security Crisis in Namibia,NAM002,Namibia,NAM,Food Security,2,2,Low,Decreasing,Medium,1.5,1.6,1.4,2.85,2.7,3,1,1.5,0.5,Africa,2020-10-30 00:00:00
Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,NIC,Political and economic crisis,x,x,x,-,Low,2.9,4.1,2,x,x,x,2.1,2.7,1.5,Americas,2020-10-06 00:00:00
Multiple crises in Niger,NER001,Niger,NER,Multiple crises country,3.8,4,High,Increasing,High,4.4,4.9,4,3.65,4.3,3,3.4,2.7,4,Africa,2020-11-04 00:00:00
Complex crisis in Nigeria,NGA001,Nigeria,NGA,Complex crisis,4.2,5,Very High,Stable,High,4.1,4.3,4,4.3,4.6,4,4.1,3.5,4.5,Africa,2020-10-30 00:00:00
Complex crisis in Pakistan,PAK001,Pakistan,PAK,Complex crisis,3.4,4,High,Stable,High,3.7,5,2.7,3.05,4.1,2,3.6,3.2,4,Asia,2020-10-28 00:00:00
Conflict in Palestine,PSE002,Palestine,PSE,Conflict,3.9,4,High,Increasing,High,3.8,3.4,4,4.45,3.9,5,3.2,2.2,4,Middle east,2020-10-26 00:00:00
