CRISIS,CRISIS ID,COUNTRY,Iso3,Total sq.km.,Total population,Ethnic Fractionalisation Index,Empowerment Rights Index,size of excluded ethnic groups,BTI - Democracy Status,Gender Inequality Index,Income Gini coefficient,Conflict Intensity (HIIK),People killed in all crises,Rule of Law (WGI),Rule of Law (BTI),Freedom in the World Index,CPI
,,,,Index,Index,%,Index,Index,Index,Index,Number,Index,Index,Index,Index,Number,sq. Km
Regional Boko Haram Crisis,REG001,"Nigeria, Niger, Chad, Cameroon","NGA, NER, TCD, CMR",3909380,267437000,0.8092625009250001,6.25,0.07500000000000001,4.508333333325,0.6381952533333334,41.799999237075,3.5,4189,-0.958295047275,3.9375,32.5,25.75
Venezuela Regional Crisis,REG002,"Venezuela, Brazil, Colombia, Ecuador, Peru, Trinidad and Tobago","VEN, BRA, COL, ECU, PER, TTO",11883180,338382000,0.4789911613333333,9.833333333333334,0.26604999999999995,6.563888888883333,0.3912139406833333,47.880001068140004,3,x,-0.6837853354666666,5.916666666666667,62.666666666666664,33.666666666666664
Regional Kashmir conflict,REG003,"India, Pakistan","IND, PAK",3744070,1561970000,0.7580873794499999,5,0.0835,5.5,0.52410904215,35.64999961855,3.5,134,-0.34916854835,5.125,54.5,36.5
Syrian Regional Crisis,REG004,"Syria, Turkey, Iraq, Egypt, Jordan, Lebanon","SYR, TUR, IRQ, EGY, JOR, LBN",2482040,258289000,0.5096342366,3.5,0.32666666666666666,3.966666666683333,0.44548120716666667,33.68000030518,4.166666666666667,3043,-0.8694431111166668,3.4583333333333335,27.5,30.5
Eastern Mediterranean Route ,REG006,"Turkey, Greece","TUR, GRC",898530,94146000,0.2414492393,8,0.18350000000000002,4.9166666667,0.2136633259,38.1500015259,4,26,-0.04206264765000001,3.5,60,43.5
Central Mediterranean Route,REG007,"Algeria, Tunisia, Libya, Italy","DZA, TUN, LBY, ITA",4590781,121936000,0.210782986625,5.75,0.068875,4.566666666666666,0.2460642436,32.1000003815,2.75,604,-0.580277027575,4.166666666666667,50.5,37.25
Western Mediterranean Route,REG008,"Algeria, Morocco, Spain","DZA, MAR, ESP",3328251,125787000,0.46699264916666666,6.333333333333333,0.324,4.19166666665,0.33649607749999993,33.9333337148,3,173,0.009313091633333345,3.75,54.333333333333336,46
Rohingya Regional Crisis,REG011,"Bangladesh, Myanmar","BGD, MMR",783250,194566000,0.35558001200000006,3.5,0.2125,3.85833333335,0.49717238359999993,31.5500011444,3.5,126,-0.84954610465,3.125,34.5,27.5
Southern Africa Regional Food Security Crisis,REG012,"Lesotho, Madagascar, Malawi, Mozambique, Namibia, Eswatini, Zambia, Zimbabwe","LSO, MDG, MWI, MOZ, NAM, SWZ, ZMB, ZWE",3463550,113413000,0.4829631226125001,7.25,0.0445,5.3604166666625,0.5477177356571429,50.1624994277875,1.25,689,-0.5814623609375,4.3125,51.25,33.125
Nagorno-Karabakh Conflict,REG013,"Armenia, Azerbaijan","ARM, AZE",111133,13025000,0.0971256067,5,0.0365,5.26666666665,0.28972985065,34.4000015259,3,138,-0.35427304355,4.5,31.5,36
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
