,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
AFG001,760,32,32,5,5,32,32,32,32,32,32,93,93,93,93,93,93,93,93,93,32.7
ARM002,95,32,32,32,95,32,32,32,32,32,32,95,95,95,95,95,95,95,95,95,44.6
AZE002,116,73,73,32,95,116,116,116,116,116,116,95,95,95,95,95,95,95,95,95,99.1
BDI001,145,121,121,30,30,121,121,121,121,121,732,94,94,94,94,94,94,94,94,94,161.2
BFA002,254,9,9,9,9,136,136,136,136,136,744,95,95,95,95,95,95,95,95,95,154.6
BGD002,32,5,5,5,5,5,5,5,5,5,335,93,93,93,93,93,93,93,93,93,46.8
BRA002,457,30,30,30,145,30,30,30,30,30,744,485,485,485,485,485,485,485,485,485,158.4
CAF001,747,68,68,4,9,124,124,124,124,124,335,95,95,95,95,95,95,95,95,95,113.1
CMR001,558,3,3,30,30,3,3,3,3,3,746,94,94,94,94,94,94,94,94,94,91.8
CMR002,558,3,3,30,30,3,3,3,3,3,671,94,94,94,94,94,94,94,94,94,84.3
CMR003,746,3,3,30,30,3,3,3,3,3,558,94,94,94,94,94,94,94,94,94,73
CMR004,746,30,30,30,30,30,30,30,30,30,746,94,94,94,94,94,94,94,94,94,108
COD001,146,9,51,9,9,51,51,51,51,51,746,94,94,94,94,94,94,94,94,94,116.4
COG001,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
COG004,116,115,95,116,116,95,95,95,95,95,116,95,95,95,95,95,95,95,95,95,101.3
COL001,144,72,305,31,31,136,136,136,136,136,745,485,485,485,485,485,485,485,485,485,227.7
COL002,31,31,31,31,388,31,145,31,31,145,745,485,485,485,485,485,485,485,485,485,206.3
COL003,72,31,31,90,90,31,31,31,90,90,90,90,90,90,90,90,90,90,90,90,66.4
CRI002,388,145,31,31,243,31,31,31,145,145,689,486,486,486,486,486,486,486,486,486,186.3
DJI001,144,17,17,439,17,17,17,17,17,17,439,91,91,91,91,91,91,91,91,91,108.8
DJI002,144,17,17,457,17,17,17,17,17,17,745,485,485,485,485,485,485,485,485,485,180.6
DJI003,144,17,17,704,17,17,17,17,17,17,643,485,485,485,485,485,485,485,485,485,195.1
DZA002,457,388,263,263,96,457,457,457,457,457,263,93,93,93,93,93,93,93,93,93,326.3
DZA003,388,744,457,457,96,457,457,457,457,457,744,93,93,93,93,93,93,93,93,93,413.2
DZA004,250,250,250,250,96,250,250,250,250,250,250,93,93,93,93,93,93,93,93,93,218.9
ECU002,388,30,30,30,243,30,30,30,30,30,745,90,90,90,90,90,90,90,90,90,128.8
EGY002,305,263,30,30,30,30,30,30,30,30,748,91,91,91,91,91,91,91,91,91,107.9
ERI001,144,465,30,30,30,91,91,91,91,91,746,91,91,91,91,91,91,91,91,91,138.2
ESP002,31,31,31,31,31,31,31,31,31,31,745,745,745,745,745,745,745,745,745,745,173.8
ETH001,144,305,305,244,90,144,144,144,144,144,744,91,91,91,91,91,91,91,91,91,219.4
ETH002,268,132,144,144,268,191,191,191,191,191,268,268,267,268,267,268,267,268,268,268,204.7
ETH003,242,242,191,191,242,191,191,191,191,191,191,237,237,237,237,237,237,237,237,237,200.7
ETH004,90,32,32,6,90,32,32,32,32,32,90,90,90,90,90,90,90,90,90,90,46.8
FJI002,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
GRC002,670,1,1,1,1,1,1,1,1,1,754,94,94,94,94,94,94,94,94,94,85.6
GTM001,144,145,145,145,31,31,31,31,31,145,611,486,486,486,486,486,486,486,486,486,168.7
GTM003,31,31,31,31,31,31,31,31,90,90,90,90,90,90,90,90,90,90,90,90,54.6
HND001,144,145,145,145,31,72,72,72,72,145,746,486,486,486,486,486,486,486,486,486,198.6
HND002,90,31,31,31,90,31,31,31,90,90,90,90,90,90,90,90,90,90,90,90,60.5
HTI001,762,145,31,145,31,31,31,31,31,31,762,115,115,115,115,115,115,115,115,115,123.9
IDN002,396,396,396,396,5,396,396,396,396,396,579,93,93,93,93,93,93,93,93,93,344.9
IDN006,32,32,32,32,32,32,32,32,32,32,32,28,28,28,28,28,28,28,28,31,31.6
IDN007,32,32,32,32,5,32,32,32,32,32,32,31,31,31,31,31,31,31,31,31,29.2
IND002,32,32,32,32,5,32,32,32,32,32,459,93,93,93,93,93,93,93,93,93,78.1
IRN004,335,335,123,123,335,335,335,335,335,335,335,90,90,90,90,90,90,90,90,90,268.1
IRQ001,31,31,31,1,1,1,1,1,1,1,305,93,93,93,93,93,93,93,93,93,43.6
IRQ002,31,1,31,31,1,31,31,31,31,31,388,93,93,93,93,93,93,93,93,93,69.9
IRQ003,31,94,1,1,94,1,1,1,1,1,744,93,93,93,93,93,93,93,93,93,93.8
ITA002,744,683,683,683,692,683,683,683,683,683,744,683,683,683,683,683,683,683,683,683,690
JOR002,90,28,28,28,90,28,28,28,28,28,240,93,93,93,93,93,93,93,93,93,61.9
KEN002,2,2,2,2,744,2,335,2,335,335,744,488,488,488,488,488,488,488,488,488,298.9
LBN002,268,28,28,28,123,28,28,28,28,28,268,93,93,93,93,93,93,93,93,93,68
LBN004,305,28,151,1,1,1,1,1,1,1,305,93,93,93,93,93,93,93,93,93,55.6
LBY001,305,305,305,153,96,305,305,305,305,305,305,93,93,93,93,93,93,93,93,93,247.7
LBY002,153,153,142,142,96,144,153,153,153,153,305,93,93,93,93,93,93,93,93,93,153.4
LSO002,579,121,121,142,760,121,121,121,121,121,760,94,94,94,94,94,94,94,94,94,248.2
MAR002,152,263,263,263,96,457,457,457,457,457,744,93,93,93,93,93,93,93,93,93,374.4
MDG002,30,30,30,142,121,30,30,30,30,30,605,94,94,94,94,94,94,94,94,94,114.2
MEX001,457,444,457,243,31,444,457,444,457,457,457,457,457,457,457,457,457,457,457,457,390.4
MEX002,457,444,444,457,31,444,457,444,457,457,457,457,457,457,457,457,457,457,457,457,410.5
MEX003,457,444,444,444,31,444,444,444,457,457,457,457,457,457,457,457,457,457,457,457,407.9
MEX004,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
MLI001,146,9,240,9,9,240,240,240,240,548,766,90,90,90,90,90,90,90,90,90,262.2
MMR001,27,27,27,5,5,27,27,27,27,27,27,90,90,90,90,90,90,90,90,90,28.9
MMR002,27,27,27,5,5,27,27,27,27,27,27,90,90,90,90,90,90,90,90,90,28.9
MMR003,27,27,27,5,5,27,27,27,27,27,27,90,90,90,90,90,90,90,90,90,28.9
MOZ001,2,2,2,2,2,2,2,2,2,31,579,91,91,91,91,91,91,91,91,91,71.5
MOZ004,2,2,2,2,2,2,2,2,2,2,91,488,192,488,488,488,488,193,488,488,59.5
MOZ006,2,2,31,215,387,31,31,31,31,31,387,387,387,387,387,387,387,387,387,387,156.2
MOZ007,18,18,2,2,18,2,2,2,2,2,18,18,18,18,18,18,18,18,18,18,6.8
MRT002,745,17,17,17,611,17,17,17,17,17,745,93,93,93,93,93,93,93,93,93,156.8
MRT003,153,17,17,186,186,17,17,17,17,17,186,93,93,93,93,93,93,93,93,93,75.3
MWI002,706,30,30,549,30,30,30,30,30,30,548,94,94,94,94,94,94,94,94,94,140.1
NAM002,387,121,121,387,121,121,121,121,121,121,387,94,94,94,94,94,94,94,94,94,171.5
