Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,652867,38042000,38042000,5283000,x,x,12447,#N/A,#N/A,#N/A,13114,0,19642000,12100000,5800000,500000,5,#N/A,#N/A,1,3,2,3,0,3,3,3,3
Nagorno-Karabakh Conflict in Armenia,Conflict,ARM002,Armenia,ARM,28203,3051000,111000,93000,x,x,2,#N/A,#N/A,#N/A,x,2940000,18000,93000,0,0,2,#N/A,#N/A,0,0,0,0,0,0,0,2,0
Nagorno-Karabakh conflict in Azerbaijan,Conflict,AZE002,Azerbaijan,AZE,31560,5874000,5874000,0,x,x,91,#N/A,#N/A,#N/A,x,x,x,x,x,x,3,#N/A,#N/A,2,2,0,0,0,2,3,3,0
Complex in Burundi,Complex crisis,BDI001,Burundi,BDI,25680,11657000,5289000,478000,x,70187,227,#N/A,#N/A,#N/A,444,6368000,3955000,1206000,128000,0,5,#N/A,#N/A,1,2,2,0,2,0,1,0,2
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,151789,8736000,5277000,1091000,x,x,593,#N/A,#N/A,#N/A,x,3459000,3107000,490000,764000,916000,4,#N/A,#N/A,0,2,2,3,0,2,3,0,3
Floods in Burkina Faso,Flood,BFA003,Burkina Faso,BFA,270764,21139000,106000,x,112,x,41,#N/A,#N/A,#N/A,x,21032000,56000,50000,0,0,5,#N/A,#N/A,0,2,2,3,0,2,3,0,3
Multiple crises in Burkina Faso,Multiple crises country,BFA004,Burkina Faso,BFA,270764,21139000,5383000,1091000,x,x,634,#N/A,#N/A,#N/A,x,15755000,3163000,540000,764000,916000,5,#N/A,#N/A,0,2,2,3,0,2,3,0,3
Rohingya refugee crisis,International displacement,BGD002,Bangladesh,BGD,650,1338000,1338000,866000,37140,141302,9,#N/A,#N/A,#N/A,x,0,472000,659000,207000,0,3,#N/A,#N/A,2,1,2,0,2,3,3,1,3
Venezuela displacement in Brazil,International displacement,BRA002,Brazil,BRA,224274,1495000,889000,490000,x,x,0,#N/A,#N/A,#N/A,x,606000,399000,490000,0,0,2,#N/A,#N/A,0,0,0,0,0,0,0,0,0
Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,623000,4900000,4900000,1441000,x,x,191,#N/A,#N/A,#N/A,x,0,2100000,900000,1900000,0,5,#N/A,#N/A,0,3,2,3,0,2,3,0,3
Multiple crises in Cameroon,Multiple crises country,CMR001,Cameroon,CMR,283816,10523000,4650000,2047000,150,x,621,#N/A,#N/A,#N/A,x,5873000,2851000,1732000,67000,0,5,#N/A,#N/A,0,3,3,2,1,2,3,1,2
Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,34263,4483000,2401000,561000,x,x,268,#N/A,#N/A,#N/A,5.2,2082000,1582000,770000,49000,0,5,#N/A,#N/A,0,1,1,0,0,2,2,1,1
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,76850,4476000,1933000,1170000,x,x,353,#N/A,#N/A,#N/A,x,2542000,1269000,646000,18000,0,4,#N/A,#N/A,0,3,3,2,1,2,3,1,2
CAR refugees in Cameroon,International displacement,CMR004,Cameroon,CMR,172703,1565000,316000,316000,0,x,x,#N/A,#N/A,#N/A,x,1249000,0,316000,0,0,3,#N/A,#N/A,0,0,1,0,0,2,0,1,1
Complex crisis in DRC,Complex crisis,COD001,DRC,COD,2267048,102790000,49870000,8060000,x,x,2536,#N/A,#N/A,#N/A,1700,52920000,30270000,14112000,4704000,784000,5,#N/A,#N/A,1,3,2,3,1,2,3,1,3
Floods in south-eastern DRC,Flood,COD003,DRC,COD,575949,23077000,587000,x,x,x,x,#N/A,#N/A,#N/A,x,22490000,0,523000,64000,0,5,#N/A,#N/A,1,2,2,3,0,2,2,1,3
Complex crisis in Congo,Complex crisis,COG001,Congo,COG,341500,5599000,1200000,295000,x,x,x,#N/A,#N/A,#N/A,x,4399000,0,1200000,0,0,5,#N/A,#N/A,0,0,0,0,0,0,0,0,1
Floods in Congo,Flood,COG004,Congo,COG,66044,154000,87000,x,x,x,x,#N/A,#N/A,#N/A,x,67000,0,87000,0,0,4,#N/A,#N/A,0,0,0,0,0,0,0,0,1
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,1109500,50900000,13400000,4028000,x,x,445,#N/A,#N/A,#N/A,x,34900000,4900000,5998000,2502000,0,5,#N/A,#N/A,0,2,0,0,0,2,1,3,1
Venezuela displacement in Colombia,International displacement,COL002,Colombia,COL,111093,22194000,3601000,2859000,x,x,x,#N/A,#N/A,#N/A,x,18593000,0,3439000,162000,0,3,#N/A,#N/A,0,2,0,0,0,2,1,3,1
Hurricane Eta and Iota in Colombia,Tropical cyclone,COL003,Colombia,COL,472877,23922000,333000,x,39,#N/A,26,#N/A,#N/A,#N/A,x,24568000,266000,67000,0,0,3,#N/A,#N/A,0,2,0,2,0,3,2,2,2
Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,4966,1730000,86000,86000,0,0,0,#N/A,#N/A,#N/A,0,1644000,43000,43000,0,0,2,#N/A,#N/A,0,0,0,0,0,0,0,0,0
Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,23180,1011000,640000,x,x,x,0,#N/A,#N/A,#N/A,x,372000,329000,203000,107000,0,5,#N/A,#N/A,1,1,0,0,0,2,0,0,1
Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,23180,1011000,30000,30000,x,x,51,#N/A,#N/A,#N/A,0,981000,0,30000,0,0,2,#N/A,#N/A,1,0,0,0,0,0,0,0,1
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,23180,1011000,639000,x,0,x,x,#N/A,#N/A,#N/A,x,372000,329000,203000,107000,0,5,#N/A,#N/A,1,0,0,0,0,0,0,0,1
Mixed migration flows in Algeria,International displacement,DZA002,Algeria,DZA,2381000,43100000,x,x,x,x,651,#N/A,#N/A,#N/A,x,x,x,x,x,x,2,#N/A,#N/A,1,0,1,0,0,2,0,1,0
Sahrawi refugees in Algeria,International displacement,DZA003,Algeria,DZA,159000,223000,174000,174000,x,x,0,#N/A,#N/A,#N/A,x,49000,84000,90000,0,0,1,#N/A,#N/A,1,1,2,0,0,0,0,1,2
Multiple crises in Algeria,Multiple crises country,DZA004,Algeria,DZA,2381000,43100000,x,x,x,x,651,#N/A,#N/A,#N/A,x,x,x,x,x,x,2,#N/A,#N/A,1,1,2,0,0,2,0,1,1
Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,3449,5441000,625000,416000,x,x,1,#N/A,#N/A,#N/A,x,4817000,209000,416000,0,0,2,#N/A,#N/A,0,0,0,0,0,2,0,1,0
Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,91071.77,21884000,3154000,503000,x,x,0,#N/A,#N/A,#N/A,x,18731000,3030000,3030000,87000,0,2,#N/A,#N/A,1,1,0,0,0,0,1,1,1
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,101000,3227000,2582000,314000,x,x,0,#N/A,#N/A,#N/A,x,645000,0,2582000,0,0,5,#N/A,#N/A,3,0,0,0,2,0,0,2,0
Mixed migration flows in spain,International displacement,ESP002,Spain,ESP,92610,11983000,40000,40000,x,x,225,#N/A,#N/A,#N/A,x,11943000,0,40000,0,0,2,#N/A,#N/A,x,x,x,x,x,x,x,x,x
