INFORM Severity Index - all crises. Release: June 2021,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Complex crisis in Afghanistan,AFG001,Afghanistan,AFG,Complex crisis,4.6,5,Very High,Stable,High,5,4.9,5,4.5,5,4,4.3,4,4.5,Asia,2021-06-30
Nagorno-Karabakh Conflict in Armenia,ARM002,Armenia,ARM,Conflict,1.7,2,Low,Stable,High,2.3,3.5,1.6,1.2,1.4,1,1.8,2,1.5,Middle east,2021-04-26
Nagorno-Karabakh conflict in Azerbaijan,AZE002,Azerbaijan,AZE,Conflict,x,x,x,-,Low,3.1,2.5,3.4,x,x,x,3,2.9,3,Middle east,2021-03-14
Complex in Burundi,BDI001,Burundi,BDI,Complex crisis,3.8,4,High,Increasing,High,3.9,4,3.8,4,4,4,3.3,3.1,3.5,Africa,2021-03-24
Conflict in Burkina Faso,BFA002,Burkina Faso,BFA,Conflict,3.9,4,High,Stable,Very High,4.1,2.5,4.6,4.3,3.6,5,3.1,2.7,3.5,Africa,2021-06-30
Rohingya refugee crisis,BGD002,Bangladesh,BGD,International displacement,3.3,4,High,Stable,High,2.7,0.1,3.6,3.6,3.2,4,3.2,2.9,3.5,Asia,2021-06-17
Venezuela displacement in Brazil,BRA002,Brazil,BRA,International displacement,2.4,3,Medium,Stable,Medium,2.3,1.2,2.8,2.9,2.8,3,1.6,2.2,1,Americas,2021-01-29
Complex crisis in CAR,CAF001,CAR,CAF,Complex crisis,4.1,5,Very High,Increasing,Medium,4.3,4.3,4.3,4.05,4.1,4,3.9,3.8,4,Africa,2021-03-26
Boko Haram in Cameroon,CMR002,Cameroon,CMR,Conflict,3.2,4,High,Stable,High,3.1,1.5,3.7,3,3,3,3.5,3.5,3.5,Africa,2021-03-26
Anglophone Crisis in Cameroon,CMR003,Cameroon,CMR,Conflict,3.4,4,High,Stable,High,3.2,1.7,3.8,3.15,3.3,3,3.8,3.5,4,Africa,2021-03-26
CAR refugees in Cameroon,CMR004,Cameroon,CMR,International displacement,2.8,3,Medium,Stable,Medium,2.8,1.7,3.2,2.75,2.5,3,3,3.5,2.5,Africa,2021-03-26
Complex crisis in DRC,COD001,DRC,COD,Complex crisis,4.5,5,Very High,Stable,High,4.5,5,4.1,4.5,5,4,4.4,4.3,4.5,Africa,2021-03-26
Complex crisis in Congo,COG001,Congo,COG,Complex crisis,3.2,4,High,Stable,Medium,3.6,4.2,3.3,3.25,3.5,3,2.7,2.8,2.5,Africa,2021-01-07
Complex crisis in Colombia,COL001,Colombia,COL,Complex crisis,3.7,4,High,Decreasing,High,4.2,5,3.6,3.65,4.3,3,3.5,2.9,4,Americas,2021-05-19
Venezuela displacement in Colombia,COL002,Colombia,COL,International displacement,3.4,4,High,Stable,Medium,3.6,2.7,4,3.65,4.3,3,3,2.9,3,Americas,2021-01-28
Nicaraguan refugees in Costa Rica,CRI002,Costa Rica,CRI,International displacement,1.1,2,Low,Stable,Medium,1.3,1,1.5,1.05,1.1,1,1,0.9,1,Americas,2021-01-28
Mixed migration in Djibouti,DJI002,Djibouti,DJI,International displacement,1.7,2,Low,Stable,Medium,2.6,3.1,2.3,0.9,0.8,1,2.2,2.8,1.5,Africa,2021-02-11
Drought in Djibouti,DJI003,Djibouti,DJI,Drought,2.7,3,Medium,Decreasing,Medium,2.7,3.1,2.5,2.55,2.1,3,2.9,2.8,3,Africa,2021-02-11
Mixed migration flows in Algeria,DZA002,Algeria,DZA,International displacement,x,x,x,-,Very Low,4.5,5,4.2,x,x,x,2.6,3.1,2,Africa,2021-06-28
Sahrawi refugees in Algeria,DZA003,Algeria,DZA,International displacement,2.3,3,Medium,Stable,Medium,2.2,1.1,2.6,2.3,1.6,3,2.4,3.1,1.5,Africa,2021-06-28
Venezuela displacement in Ecuador,ECU002,Ecuador,ECU,International displacement,2.3,3,Medium,Stable,Medium,1.9,1.4,2.2,2.85,2.7,3,1.8,2.1,1.5,Americas,2021-01-29
Syrian Refugee Crisis in Egypt,EGY002,Egypt,EGY,International displacement,2.4,3,Medium,Decreasing,High,2.3,2.4,2.3,2.4,2.8,2,2.6,3.2,2,Africa,2021-06-28
Complex crisis in Eritrea,ERI001,Eritrea,ERI,Complex crisis,3.7,4,High,Stable,Medium,3.4,3.8,3.1,3.5,4,3,4.1,2.6,5,Africa,2021-01-29
Mixed migration flows in spain,ESP002,Spain,ESP,International displacement,1.7,2,Low,Increasing,High,2.5,2.2,2.6,1.4,1.8,1,1.5,2,1,Europe,2021-06-29
Complex crisis in Ethiopia,ETH001,Ethiopia,ETH,Complex crisis,4.6,5,Very High,Increasing,Very High,4.6,5,4.4,5,5,5,3.8,3.5,4,Africa,2021-06-16
Flood Crisis in Ethiopia,ETH002,Ethiopia,ETH,Flood,2.2,3,Medium,Decreasing,Very High,2.8,4.1,1.8,1.35,1.7,1,3,3.5,2.5,Africa,2021-06-16
International Displacement,ETH003,Ethiopia,ETH,International displacement,3,3,Medium,Increasing,Very High,3.5,5,2.2,2.6,3.2,2,3.3,3.5,3,Africa,2021-06-16
Crisis in Tigray,ETH004,Ethiopia,ETH,Conflict,4.3,5,Very High,Increasing,High,4,1.6,4.7,4.75,4.5,5,3.8,3.5,4,Africa,2021-06-16
Mixed migration flows in Greece,GRC002,Greece,GRC,International displacement,1.5,2,Low,Decreasing,High,2,0.3,2.7,1.2,0.4,2,1.7,1.8,1.5,Europe,2021-06-30
Complex crisis in Guatemala,GTM001,Guatemala,GTM,Complex crisis,3.4,4,High,Stable,High,3.7,4.3,3.4,3.6,4.2,3,2.9,3.3,2.5,Americas,2021-01-28
Hurricane Eta and Iota in Guatemala,GTM003,Guatemala,GTM,Tropical cyclone,3.1,4,High,Stable,High,2.9,3.6,2.4,3.4,3.8,3,2.7,3.3,2,Americas,2021-01-28
Complex crisis in Honduras,HND001,Honduras,HND,Complex crisis,3.2,4,High,Stable,Medium,3.7,4.2,3.4,3.25,3.5,3,2.8,3.1,2.5,Americas,2021-01-28
Hurricane Eta and Iota in Honduras,HND002,Honduras,HND,Tropical cyclone,3.3,4,High,Stable,High,3.2,3.9,2.7,3.55,4.1,3,3.1,3.1,3,Americas,2021-01-28
Complex crisis in Haiti,HTI001,Haiti,HTI,Complex crisis,3.8,4,High,Increasing,High,3.2,4,2.7,4.7,4.4,5,2.5,2.9,2,Americas,2021-03-28
Papua Conflict,IDN002,Indonesia,IDN,Conflict,x,x,x,-,Very Low,3.2,1.9,3.7,x,x,x,2.9,2.8,3,Asia,2021-06-16
Conflict in Jammu and Kashmir,IND002,India,IND,Conflict,x,x,x,-,Low,4,2,4.6,x,x,x,2.8,2.6,3,Asia,2021-06-16
Afghan Refugees in Iran,IRN004,Iran,IRN,International displacement,3.4,4,High,Stable,High,2.8,2.7,2.8,4.05,4.1,4,2.7,2.8,2.5,Middle east,2021-06-30
Conflict  in Iraq,IRQ002,Iraq,IRQ,Conflict,4.4,5,Very High,Increasing,Very High,4.3,3.6,4.6,4.7,4.4,5,4,3.4,4.5,Middle east,2021-06-29
Syrian and Palestinian refugees in iraq,IRQ003,Iraq,IRQ,International displacement,2.8,3,Medium,Stable,High,1.8,1.5,2,2.9,2.8,3,3.5,3.4,3.5,Middle east,2021-06-29
Mixed migration flows in Italy,ITA002,Italy,ITA,International displacement,1.9,2,Low,-,High,2.7,1.7,3.1,1.6,2.2,1,1.5,1.5,1.5,Europe,2021-06-29
Syrian refugees in Jordan,JOR002,Jordan,JOR,International displacement,2.9,3,Medium,Decreasing,High,2.7,3,2.6,3.3,3.6,3,2.5,2.5,2.5,Middle east,2021-06-29
Refugee situation in Kenya,KEN002,Kenya,KEN,International displacement,2.7,3,Medium,Stable,Medium,2.9,1.9,3.3,2.95,2.9,3,2.1,2.9,1,Africa,2021-02-26
Syrian refugees in Lebanon,LBN002,Lebanon,LBN,International displacement,3.5,4,High,Increasing,High,3.3,3.6,3.2,4.1,4.2,4,2.7,2.8,2.5,Middle east,2021-04-28
Socioeconomic crisis in Lebanon,LBN004,Lebanon,LBN,Political and economic crisis,3.7,4,High,Increasing,High,3.3,3.6,3.2,4.25,4.5,4,2.9,2.8,3,Middle east,2021-06-29
Mixed migration flows in Libya,LBY002,Libya,LBY,International displacement,2.6,3,Medium,Decreasing,High,3.8,4.6,3.3,1.2,1.4,1,3.3,3.6,3,Africa,2021-04-28
Drought in Lesotho,LSO002,Lesotho,LSO,Drought,2.5,3,Medium,Stable,Medium,2.2,3,1.8,3.45,2.9,4,1.2,1.4,1,Africa,2020-11-26
Mixed migration flows in Morocco,MAR002,Morocco,MAR,International displacement,x,x,x,-,Very Low,3.8,4.8,3,x,x,x,2.2,3.1,1,Africa,2021-06-28
Drought in Madagascar,MDG002,Madagascar,MDG,Drought,3,3,Medium,Stable,Medium,3,1.6,3.55,3.8,3.6,4,1.7,2.3,1,Africa,2021-01-29
Criminal Violence in Mexico,MEX002,Mexico,MEX,Other type of violence,x,x,x,-,Very Low,4.2,3.9,4.4,x,x,x,2.9,3.2,2.5,Americas,2021-01-28
Mixed Migration in Mexico,MEX003,Mexico,MEX,International displacement,x,x,x,-,Low,3.5,4.2,3,x,x,x,2.9,3.2,2.5,Americas,2021-01-28
Complex crisis in Mali,MLI001,Mali,MLI,Complex crisis,4.1,5,Very High,Increasing,High,4.1,4.9,3.6,4.3,4.6,4,3.9,3.1,4.5,Africa,2021-03-26
Rakhine Conflict,MMR002,Myanmar,MMR,Conflict,3.5,4,High,Stable,High,2.8,1.3,3.4,3.6,3.2,4,3.9,3.7,4,Asia,2021-06-28
Kachin and Shan Conflict,MMR003,Myanmar,MMR,Conflict,3.1,4,High,Increasing,High,2.6,2.3,2.7,3.1,3.2,3,3.6,3.7,3.5,Asia,2021-06-28
