,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
AFG001,852,124,124,77,33,124,124,124,124,124,124,185,185,185,185,185,185,185,185,185,116.3
ARM002,187,35,35,35,187,35,35,35,124,124,124,187,187,187,187,187,187,187,187,187,92.1
AZE002,208,165,165,78,187,208,208,208,208,208,208,187,187,187,187,187,187,187,187,187,186.5
BDI001,237,68,68,68,68,68,68,68,68,68,824,186,186,186,186,186,186,186,186,186,155.4
BFA002,346,69,69,69,69,228,228,228,228,228,836,187,187,187,187,187,187,187,187,187,237
BGD002,124,13,13,13,13,77,77,77,77,77,427,185,185,185,185,185,185,185,185,185,103.6
BRA002,549,122,122,122,237,122,122,122,122,122,836,577,577,577,577,577,577,577,577,577,250.4
CAF001,839,160,160,66,66,216,216,216,216,216,427,187,187,187,187,187,187,187,187,187,198.6
CMR001,1,1,1,1,0,0,0,0,0,0,838,186,186,186,186,186,186,186,186,186,102.6
CMR002,650,95,95,66,66,95,95,95,95,95,763,186,186,186,186,186,186,186,186,186,165.1
CMR003,838,95,95,66,66,95,95,95,95,95,650,186,186,186,186,186,186,186,186,186,153.8
CMR004,838,122,122,66,122,122,122,122,122,122,838,186,186,186,186,186,186,186,186,186,194.4
COD001,238,66,143,66,66,143,143,143,143,143,838,186,186,186,186,186,186,186,186,186,201.4
COG001,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
COL001,236,12,12,12,123,12,12,12,12,12,837,577,577,577,577,577,577,577,577,577,162.1
COL002,123,123,123,123,480,123,237,123,123,237,837,577,577,577,577,577,577,577,577,577,298.3
CRI002,480,237,123,123,335,123,123,123,237,237,781,578,578,578,578,578,578,578,578,578,278.3
DJI001,236,109,109,531,109,109,109,109,109,109,531,183,183,183,183,183,183,183,183,183,200.8
DJI002,236,109,109,549,109,109,109,109,109,109,837,577,577,577,577,577,577,577,577,577,272.6
DJI003,236,109,109,796,109,109,109,109,109,109,735,577,577,577,577,577,577,577,577,577,287.1
DZA002,549,480,355,355,188,549,549,549,549,549,355,185,185,185,185,185,185,185,185,185,418.3
DZA003,480,836,549,549,188,549,549,549,549,549,836,185,185,185,185,185,185,185,185,185,505.2
DZA004,342,342,342,342,188,342,342,342,342,342,342,185,185,185,185,185,185,185,185,185,310.9
ECU002,480,122,122,122,335,122,122,122,122,122,837,182,182,182,182,182,182,182,182,182,220.8
EGY002,397,62,32,32,88,32,32,32,32,32,840,183,183,183,183,183,183,183,183,183,133.5
ERI001,236,557,122,122,122,183,183,183,183,183,838,183,183,183,183,183,183,183,183,183,230.2
ESP002,123,123,123,123,123,123,123,123,123,123,837,837,837,837,837,837,837,837,837,837,265.8
ETH001,236,68,68,68,68,68,68,68,68,68,836,183,183,183,183,183,183,183,183,183,156.3
ETH002,360,224,236,236,360,283,283,283,283,283,360,360,359,360,359,360,359,360,360,360,296.7
ETH003,334,334,283,283,334,283,283,283,283,283,283,329,329,329,329,329,329,329,329,329,292.7
ETH004,182,124,124,98,182,124,124,124,124,124,182,182,182,182,182,182,182,182,182,182,138.8
GRC002,762,33,33,33,33,33,33,33,33,33,846,186,186,186,186,186,186,186,186,186,129.6
GTM001,236,237,237,237,123,123,123,123,123,237,703,578,578,578,578,578,578,578,578,578,260.7
GTM003,123,123,123,123,123,123,123,123,182,182,182,182,182,182,182,182,182,182,182,182,146.6
HND001,236,237,237,237,123,164,164,164,164,237,838,578,578,578,578,578,578,578,578,578,290.6
HND002,182,123,123,123,182,123,123,123,182,182,182,182,182,182,182,182,182,182,182,182,152.5
HTI001,854,85,123,237,123,64,64,85,85,85,854,207,207,207,207,207,207,207,207,207,192.7
IDN002,488,488,488,488,69,488,488,488,488,488,671,185,185,185,185,185,185,185,185,185,434.1
IND002,124,124,124,124,69,124,124,124,124,124,551,185,185,185,185,185,185,185,185,185,167.3
IRN004,77,77,77,77,427,77,77,77,77,77,77,182,182,182,182,182,182,182,182,182,122.5
IRQ001,123,123,123,33,33,33,33,33,33,33,397,185,185,185,185,185,185,185,185,185,93.6
IRQ002,123,93,64,64,33,64,64,64,64,64,480,185,185,185,185,185,185,185,185,185,114.6
IRQ003,123,33,33,33,186,33,33,33,33,33,836,185,185,185,185,185,185,185,185,185,143.8
ITA002,836,775,775,775,784,775,775,775,775,775,836,775,775,775,775,775,775,775,775,775,782
JOR002,182,120,33,33,182,33,33,33,33,33,332,185,185,185,185,185,185,185,185,185,93
KEN002,94,94,94,94,836,94,427,94,427,427,836,580,580,580,580,580,580,580,580,580,390.9
LBN002,360,120,64,33,215,64,64,64,64,64,360,185,185,185,185,185,185,185,185,185,117.7
LBN004,397,120,64,93,33,64,64,64,64,64,397,185,185,185,185,185,185,185,185,185,109.2
LBY001,397,62,397,35,61,61,61,61,61,61,397,185,185,185,185,185,185,185,185,185,138
LBY002,245,62,33,33,62,33,33,61,61,245,397,185,185,185,185,185,185,185,185,185,114.3
LSO002,671,213,213,234,852,213,213,213,213,213,852,186,186,186,186,186,186,186,186,186,340.2
MAR002,244,355,355,355,61,549,549,549,549,549,836,185,185,185,185,185,185,185,185,185,453.7
MDG002,122,122,122,234,213,122,122,122,122,122,697,186,186,186,186,186,186,186,186,186,206.2
MEX001,549,536,549,335,123,536,549,536,549,549,549,549,549,549,549,549,549,549,549,549,482.4
MEX002,549,536,536,549,123,536,549,536,549,549,549,549,549,549,549,549,549,549,549,549,502.5
MEX003,549,536,536,536,123,536,536,536,549,549,549,549,549,549,549,549,549,549,549,549,499.9
MLI001,238,80,80,80,66,80,80,80,80,80,858,182,182,182,182,182,182,182,182,182,166.6
MMR001,119,119,119,77,69,119,119,119,119,119,119,182,182,182,182,182,182,182,182,182,116.1
MMR002,119,119,119,77,69,119,119,119,119,119,119,182,182,182,182,182,182,182,182,182,116.1
MMR003,119,119,119,89,69,119,119,119,119,119,119,182,182,182,182,182,182,182,182,182,117.3
MOZ001,94,94,94,94,94,94,94,94,94,123,671,183,183,183,183,183,183,183,183,183,163.5
MOZ004,94,94,94,94,94,94,94,94,94,94,183,580,284,580,580,580,580,285,580,580,151.5
MOZ006,94,94,123,307,479,123,123,123,123,123,479,479,479,479,479,479,479,479,479,479,248.2
MOZ007,110,110,94,94,110,94,94,94,94,94,110,110,110,110,110,110,110,110,110,110,98.8
MRT002,837,109,109,109,703,109,109,109,109,109,837,185,185,185,185,185,185,185,185,185,248.8
MRT003,245,109,109,278,278,109,109,109,109,109,278,185,185,185,185,185,185,185,185,185,167.3
MWI002,798,122,122,641,122,122,122,122,122,122,640,186,186,186,186,186,186,186,186,186,232.1
MYS001,66,63,63,63,66,66,66,66,63,63,63,63,63,63,63,63,63,63,63,63,64.2
NAM002,479,213,213,479,213,213,213,213,213,213,479,186,186,186,186,186,186,186,186,186,263.5
NER001,839,122,122,66,66,122,122,122,122,122,839,182,182,182,182,182,182,182,182,182,188.5
NER002,839,122,122,66,66,122,122,122,122,122,839,182,182,182,182,182,182,182,182,182,188.5
NER003,839,122,122,66,66,122,122,122,122,122,839,182,182,182,182,182,182,182,182,182,188.5
NER004,122,122,122,66,66,122,122,122,122,122,532,182,182,182,182,182,182,182,182,182,157.8
NGA001,698,95,95,66,66,95,95,95,95,95,698,186,186,186,186,186,186,186,186,186,158.6
NGA003,182,122,66,66,66,66,66,66,66,66,699,186,186,186,186,186,186,186,186,186,141.3
NGA004,700,66,66,66,66,66,66,66,66,66,700,186,186,186,186,186,186,186,186,186,141.4
NGA007,398,122,66,66,66,66,66,66,66,66,532,186,186,186,186,186,186,186,186,186,124.6
NGA008,507,182,182,182,182,182,182,182,182,182,488,186,186,186,186,186,186,186,186,186,213
NIC001,480,237,858,237,123,578,578,578,858,858,858,578,578,578,578,578,578,578,578,578,610.4
NIC002,182,182,123,182,182,123,123,182,182,182,182,182,182,182,182,182,182,182,182,182,164.3
PAK001,21,21,1,21,21,1,1,1,1,1,844,182,182,182,182,182,182,182,182,182,107.4
PAK004,742,742,824,488,21,551,824,824,824,824,824,182,182,182,182,182,182,182,182,182,618.6
PER002,480,480,123,123,237,123,122,122,122,122,836,577,182,577,577,577,182,577,577,577,250.7
PHL003,549,549,1,1,69,89,89,1,89,89,549,182,182,182,182,182,182,182,182,182,115.9
PRK001,69,69,69,69,69,427,427,427,427,427,854,185,185,185,185,185,185,185,185,185,338.1
PSE002,93,93,93,93,33,93,93,93,93,93,844,185,185,185,185,185,185,185,185,185,171.3
REG001,368,66,66,66,66,66,66,66,66,66,761,186,186,186,186,186,186,186,186,186,147.5
REG002,480,123,123,123,549,123,123,123,123,123,762,577,577,577,577,577,577,577,577,577,274.9
REG003,560,560,237,560,69,560,767,767,767,767,767,182,182,182,182,182,182,182,182,182,544.3
REG004,92,33,33,33,182,33,33,33,33,33,741,185,185,185,185,185,185,185,185,185,133.9
REG006,744,744,744,744,33,744,744,744,744,744,744,182,182,182,182,182,182,182,182,182,616.7
REG007,766,766,766,766,61,766,766,766,766,766,766,182,182,182,182,182,182,182,182,182,637.1
REG008,766,766,766,766,61,766,766,766,766,766,766,182,182,182,182,182,182,182,182,182,637.1
REG011,77,77,77,77,69,77,77,77,77,77,77,182,182,182,182,182,182,182,182,182,86.7
REG012,66,66,66,66,66,66,66,66,66,66,473,186,186,186,186,186,186,186,186,186,118.7
REG013,187,124,124,124,208,208,208,208,208,208,208,187,187,187,187,187,187,187,187,187,189.1
RWA002,836,122,122,122,213,122,122,122,122,122,836,186,186,186,186,186,186,186,186,186,208.9
SDN001,479,95,95,95,31,95,95,95,95,95,479,183,183,183,183,183,183,183,183,183,135.8
SDN005,479,95,95,31,479,95,95,95,95,95,183,479,479,479,479,479,479,479,479,479,174.2
SDN006,237,227,123,237,207,227,227,227,227,227,283,283,283,283,283,283,283,283,283,283,226.8
SDN007,31,31,31,31,160,31,31,31,31,31,160,160,160,160,160,160,160,160,160,160,69.7
SDN008,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
SEN002,238,122,122,536,858,122,122,122,122,122,858,182,182,182,182,182,182,182,182,182,316.6
SLV001,236,237,237,237,123,123,123,123,123,237,838,578,578,578,578,578,578,578,578,578,274.2
SOM001,588,68,68,68,68,68,68,68,68,68,851,183,183,183,183,183,183,183,183,183,157.8
