,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.2,2.5,1,0,2,70.6,0,High
ARM002,1.4,2,2.3,0,1.8,170,0,High
AZE002,3.7,x,4,3.3,x,289.6,2,Low
BDI001,1.9,2.3,3.5,0,1.9,257.9,0,High
BFA002,1,0.5,2.5,0,1.2,180.8,0,Very High
BGD002,0.7,0.8,1.3,0,1.3,96.4,0,Very High
BRA002,2.6,3.5,4.3,0,2.4,313.6,0,Medium
CAF001,2.4,3.5,3.6,0,2.4,263.9,0,Medium
CMR001,1.1,0.5,2.8,0,1.2,205.6,0,High
CMR002,1.8,1.8,3.7,0,1.7,268.1,0,High
CMR003,1.9,2.3,3.5,0,1.9,256.9,0,High
CMR004,2.7,2.3,4.1,1.7,1.9,297.5,1,Medium
COD001,2,2.3,3.8,0,1.9,281.1,0,High
COG001,3.3,3.3,3.4,3.3,2.3,250.7,2,Low
COL001,1.4,2.3,1.9,0,1.9,140.9,0,High
COL002,2.1,2.3,2.4,1.7,1.9,175.9,1,Medium
CRI002,2.7,3.3,4.7,0,2.3,342.1,0,Medium
DJI001,0.9,2.3,0.4,0,1.9,27.1,0,Very High
DJI002,0.9,2.3,0.5,0,1.9,33.8,0,Very High
DJI003,1.5,2.3,0.4,1.7,1.9,27.1,1,High
DZA002,5,x,5,5,x,495.6,3,Very Low
DZA003,2.9,3.8,5,0,2.5,582.5,0,Medium
DZA004,5,x,5,5,x,413.4,3,Very Low
ECU002,2.7,3.8,4.4,0,2.5,324.5,0,Medium
EGY002,2,3.8,2.3,0,2.5,169.2,0,High
ERI001,2.8,3.8,4.6,0,2.5,333.6,0,Medium
ESP002,1.6,2.3,2.5,0,1.9,182.6,0,High
ETH001,1.2,2.3,1.2,0,1.9,87.9,0,High
ETH002,0.9,2.3,0.4,0,1.9,32.7,0,Very High
ETH003,1,2.3,0.6,0,1.9,41.9,0,Very High
ETH004,1.2,3.3,0.4,0,2.3,32.7,0,High
GRC002,1.4,2.5,1.6,0,2,120.2,0,High
GTM001,2.1,1.8,4.4,0,1.7,324.6,0,Medium
HND001,2.3,2,4.9,0,1.8,354.2,0,Medium
HND002,2,2.5,3.5,0,2,254.9,0,High
HTI001,1.3,3.3,0.6,0,2.3,43.4,0,High
HTI002,1.4,3.8,0.5,0,2.5,40.5,0,High
IDN002,3.4,x,5,1.7,x,474.9,1,Low
IND002,3.6,2.3,3.6,5,1.9,263,3,Low
IRN004,1.9,4.3,1.3,0,2.7,96.5,0,High
IRQ001,1.2,2.3,1.3,0,1.9,98.5,0,High
IRQ002,1.3,1.3,2.5,0,1.5,186.4,0,High
IRQ003,1.5,2.5,2,0,2,148.7,0,High
ITA002,1.6,2.3,2.5,0,1.9,182.3,0,High
JOR002,1.6,2.8,1.9,0,2.1,136.8,0,High
KEN001,1,2.8,0.2,0,2.1,12.7,0,Very High
KEN002,1.6,2.8,0.3,1.7,2.1,23,1,High
KEN003,2.2,3,0.2,3.3,2.2,12.7,2,Medium
LBN002,1.7,3.5,1.7,0,2.4,124.8,0,High
LBN004,2.2,3.5,1.5,1.7,2.4,112.8,1,Medium
LBY001,1.6,1.8,3,0,1.7,218.3,0,High
LBY002,1.1,1.8,1.5,0,1.7,109.5,0,High
LSO002,0.9,2,0.8,0,1.8,61.3,0,Very High
MAR002,5,x,5,5,x,543.8,3,Very Low
MDG002,0.4,0.8,0.4,0,1.3,28.9,0,Very High
MEX001,1.4,4,0.2,0,2.6,12.6,0,High
MEX002,2.4,4,1.4,1.7,2.6,103.8,1,Medium
MEX003,1.4,4,0.2,0,2.6,12.6,0,High
MLI001,1.8,2,3.3,0,1.8,243.7,0,High
MMR001,1.3,2.3,1.6,0,1.9,117.3,0,High
MMR002,1.7,2.3,2.8,0,1.9,202.2,0,High
MMR003,1.7,2.3,2.7,0,1.9,200.2,0,High
MMR004,1.3,2.8,1.1,0,2.1,79.9,0,High
MOZ004,1.5,3.3,1.1,0,2.3,80.4,0,High
MRT002,1.4,2.3,2,0,1.9,147.2,0,High
