,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,110,110,110,62,24,110,110,110,110,110,458,192,192,192,192,192,192,192,192,192,139.6,,
AGO002,135,135,135,135,135,135,135,135,135,135,131,135,135,135,135,135,135,135,135,135,134.6,,
ARM002,521,369,369,369,268,369,369,369,458,458,458,185,185,185,185,185,185,185,185,185,367.2,,
AZE002,542,499,499,412,521,542,542,542,542,542,542,185,185,185,185,185,185,185,185,185,486.9,,
BDI001,33,33,33,33,33,33,33,33,33,33,33,183,183,183,183,183,183,183,183,183,48,,
BFA002,304,304,304,61,61,304,304,304,304,304,1170,185,185,185,185,186,185,185,185,185,330.1,,
BGD002,458,46,46,46,166,215,46,222,215,215,761,188,188,188,326,192,192,188,188,188,212,,
BRA001,67,67,67,67,67,67,67,67,67,67,67,113,113,113,113,113,113,113,113,113,71.6,,
BRA002,883,72,72,66,571,72,72,72,72,72,1170,184,184,184,184,184,184,184,184,184,242.3,,
BRA003,67,67,67,67,67,67,67,67,67,67,67,113,113,113,113,113,113,113,113,113,71.6,,
CAF001,1173,494,494,61,61,550,550,550,550,550,761,185,185,185,185,185,185,185,185,185,431.2,,
CHL002,71,71,71,71,71,71,71,71,71,71,68,71,71,71,71,71,71,71,71,71,70.7,,
CMR001,335,335,335,159,159,334,334,334,334,334,1172,183,183,183,183,183,183,183,183,183,367.8,,
CMR002,984,186,186,207,159,207,207,207,207,207,1097,184,184,184,184,184,184,184,184,184,286.8,,
CMR003,40,40,40,400,400,40,40,40,40,40,984,184,184,184,184,184,184,184,184,184,220.8,,
