,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.6,2.5,2.2,0,2,161.4,0,High
AFG005,1.1,0.8,0.9,1.7,1.3,63,1,High
AGO002,0.9,1.8,1,0,1.7,74.1,0,Very High
ARM002,1.8,2.3,3.1,0,1.9,227.4,0,High
AZE002,2.8,x,2.3,3.3,x,165.8,2,Medium
BDI001,1.1,2,1.2,0,1.8,88.4,0,High
BFA002,1.8,0.5,5,0,1.2,435.1,0,High
BGD001,0.8,1.8,0.5,0,1.7,40.2,0,Very High
BGD002,1.2,1.8,1.7,0,1.7,123.6,0,High
BGD008,1.4,1.8,0.7,1.7,1.7,51.6,1,High
BRA001,0.7,1.8,0.2,0,1.7,12.6,0,Very High
BRA002,1.1,1.3,0.2,1.7,1.5,12.6,1,High
BRA003,0.7,2,0.2,0,1.8,12.6,0,Very High
CAF001,1.3,2.3,1.7,0,1.9,126.5,0,High
CHL002,0.7,1.8,0.2,0,1.7,12.6,0,Very High
CMR001,0.9,1.8,0.9,0,1.7,66.6,0,Very High
CMR002,0.8,1.8,0.6,0,1.7,43.4,0,Very High
CMR003,0.9,2,0.6,0,1.8,43.4,0,Very High
CMR004,1.6,2.3,2.4,0,1.9,172.8,0,High
COD001,1.2,1,2.5,0,1.4,181.3,0,High
COG001,1.1,2,1.4,0,1.8,102.7,0,High
COL001,0.2,0.5,0.1,0,1.2,11.3,0,Very High
COL002,0.6,1.8,0.1,0,1.7,11.3,0,Very High
CRI002,2,2.3,0.3,3.3,1.9,22.5,2,High
DJI001,1.2,2.3,1.2,0,1.9,87.4,0,High
DJI002,1,2.3,0.6,0,1.9,43.3,0,Very High
DJI003,1.1,2.3,1,0,1.9,75,0,High
DOM002,2,2.3,0.3,3.3,1.9,22.5,2,High
DZA002,0.9,2.5,0.3,0,2,20,0,Very High
DZA003,2.1,4.3,0.3,1.7,2.7,22.4,1,Medium
DZA004,1.3,3.5,0.4,0,2.4,27.7,0,High
ECU002,0.7,1.8,0.2,0,1.7,12.6,0,Very High
EGY002,0.9,2.5,0.2,0,2,16,0,Very High
ERI001,2,3,1.4,1.7,2.2,105.5,1,High
ESP002,0.9,2.5,0.2,0,2,15.9,0,Very High
ETH001,1,2,0.9,0,1.8,69.5,0,Very High
ETH003,1.1,2,1.2,0,1.8,91.2,0,High
ETH004,1.5,3.3,1.2,0,2.3,89.1,0,High
ETH005,1.4,3,1.1,0,2.2,81.7,0,High
GMB002,0.7,2,0,0,1.8,0,0,Very High
GRC002,2.1,3.5,2.7,0,2.4,196.6,0,Medium
GTM001,0.9,2.3,0.3,0,1.9,21.7,0,Very High
HND001,0.9,2.3,0.3,0,1.9,21.7,0,Very High
HTI001,1.4,2.3,0.3,1.7,1.9,22.1,1,High
HTI002,0.9,2.3,0.3,0,1.9,22.1,0,Very High
HUN002,0.8,2.3,0.2,0,1.9,19,0,Very High
IDN002,1.9,3,2.8,0,2.2,207.9,0,High
IND002,4.3,2.8,5,5,2.1,518.8,3,Very Low
IRN004,2.7,4.3,2,1.7,2.7,144.5,1,Medium
IRQ001,1.7,3.5,1.5,0,2.4,112,0,High
IRQ002,1.4,1.3,2.9,0,1.5,208.5,0,High
IRQ003,2.5,3.5,2.4,1.7,2.4,174.7,1,Medium
ITA002,0.8,2.3,0.2,0,1.9,15.9,0,Very High
JOR002,2.2,3.8,2.9,0,2.5,215.2,0,Medium
KEN001,1.3,2.8,1,0,2.1,72.3,0,High
KEN002,2.1,2,1,3.3,1.8,72.3,2,Medium
KEN003,1.8,2.8,1,1.7,2.1,72.3,1,High
LBN002,2.5,3.5,2.2,1.7,2.4,163.1,1,Medium
LBN004,2.4,3.5,2.1,1.7,2.4,153,1,Medium
LBY001,0.5,1,0.4,0,1.4,32.9,0,Very High
LBY002,0.7,2,0.2,0,1.8,15.5,0,Very High
LKA002,0.9,1.8,0.9,0,1.7,64.8,0,Very High
LSO002,1,2,1.1,0,1.8,81.6,0,Very High
MAR002,1.5,4,0.4,0,2.6,33.4,0,High
MDA002,0.8,2.3,0.2,0,1.9,15.8,0,Very High
MDG001,0.4,1,0.2,0,1.4,13.6,0,Very High
MDG002,0.4,1,0.2,0,1.4,13.6,0,Very High
MDG006,0.8,2.3,0.2,0,1.9,13.6,0,Very High
MEX001,1.4,4,0.3,0,2.6,22.8,0,High
MEX002,1.3,3.5,0.3,0,2.4,21.9,0,High
MEX003,1.4,3.8,0.3,0,2.5,21.9,0,High
MLI001,0.8,1.8,0.7,0,1.7,50.6,0,Very High
MMR001,1.4,2.3,1.8,0,1.9,129.2,0,High
MMR002,1.4,2.3,2,0,1.9,147.5,0,High
MMR003,1.7,2.3,2.7,0,1.9,200.9,0,High
MMR004,1.2,2,1.6,0,1.8,120.8,0,High
MOZ001,1.3,2.5,1.5,0,2,112.5,0,High
MOZ004,1.7,3,2.2,0,2.2,159.9,0,High
MOZ008,1.5,2.8,1.8,0,2.1,131.7,0,High
MRT002,0.6,1.5,0.3,0,1.6,24.3,0,Very High
MRT003,1.3,0.8,1.5,1.7,1.3,107.2,1,High
MWI002,0.5,0.8,0.6,0,1.3,44.1,0,Very High
MWI004,0.8,1.8,0.6,0,1.7,42.6,0,Very High
