,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.3,2.8,1.1,0,2.1,82.4,0,High
AGO002,0.5,0.5,1,0,1.2,73.6,0,Very High
ARM002,2.1,2,4.2,0,1.8,306.2,0,Medium
AZE002,4.2,x,5,3.3,x,425.9,2,Very Low
BDI001,2.4,2.3,5,0,1.9,394.7,0,Medium
BFA002,1.4,0.5,3.7,0,1.2,269.1,0,High
BGD002,1.8,1.5,2.2,1.7,1.6,163.1,1,High
BRA001,1.1,3.3,0.1,0,2.3,10.6,0,High
BRA002,1.8,3,2.5,0,2.2,181.3,0,High
BRA003,1.2,3.5,0.1,0,2.4,10.6,0,High
CAF001,2.8,3.5,5,0,2.4,370.2,0,Medium
CHL002,0.9,2.5,0.1,0,2,9.7,0,Very High
CMR001,1.6,0.5,4.2,0,1.2,306.8,0,High
CMR002,1.1,0.3,3.1,0,1.1,225.8,0,High
CMR003,2.4,2.3,5,0,1.9,393.2,0,Medium
CMR004,3,2.3,5,1.7,1.9,433.8,1,Medium
COD001,0.9,0.5,2.1,0,1.2,155.3,0,Very High
COG001,3.9,3.3,5,3.3,2.3,387.6,2,Low
COL001,1.8,2,3.4,0,1.8,248.9,0,High
COL002,2.3,2.3,3,1.7,1.9,223,1,Medium
CRI002,2.8,3.3,5,0,2.3,478.7,0,Medium
DJI001,0.9,2.3,0.4,0,1.9,33.3,0,Very High
DJI002,0.9,2.3,0.5,0,1.9,40,0,Very High
DJI003,2,2.3,2,1.7,1.9,148.1,1,High
DOM002,2,2.5,0.1,3.3,2,7,2,High
DZA002,5,x,5,5,x,633.3,3,Very Low
DZA003,2.9,3.8,5,0,2.5,720.2,0,Medium
DZA004,5,x,5,5,x,551.1,3,Very Low
ECU002,2.2,3.5,3.1,0,2.4,230.3,0,Medium
EGY002,2.7,3.8,4.2,0,2.5,305.9,0,Medium
ERI001,2.9,3.8,5,0,2.5,469.8,0,Medium
ESP002,2.2,2.3,4.4,0,1.9,318.8,0,Medium
