,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.2,2.8,0.9,0,2.1,64,0,High
AGO002,0.4,0.5,0.6,0,1.2,45.6,0,Very High
ARM002,1.9,2,3.8,0,1.8,278.2,0,High
AZE002,4.2,x,5,3.3,x,397.9,2,Very Low
BDI001,2.4,2.3,5,0,1.9,366.7,0,Medium
BFA002,1.3,0.5,3.4,0,1.2,251.7,0,High
BGD002,1.7,1.5,1.9,1.7,1.6,138,1,High
BRA001,1.3,3.5,0.3,0,2.4,24,0,High
BRA002,2.5,3.3,4.1,0,2.3,302.7,0,Medium
BRA003,1.2,3.3,0.3,0,2.3,24,0,High
CAF001,2.8,3.5,5,0,2.4,372.8,0,Medium
CMR001,1.4,0.5,3.8,0,1.2,278.8,0,High
CMR002,1,0.3,2.7,0,1.1,197.8,0,Very High
CMR003,2.4,2.3,5,0,1.9,365.2,0,Medium
CMR004,3,2.3,5,1.7,1.9,405.8,1,Medium
COD001,0.8,0.5,1.9,0,1.2,137.9,0,Very High
COG001,3.8,3.3,4.9,3.3,2.3,359.6,2,Low
COL001,1.7,2,3,0,1.8,220.9,0,High
COL002,2.6,2.3,3.9,1.7,1.9,286.8,1,Medium
CRI002,2.8,3.3,5,0,2.3,450.7,0,Medium
DJI001,0.9,2.3,0.3,0,1.9,24.5,0,Very High
DJI002,0.9,2.3,0.4,0,1.9,31.2,0,Very High
DJI003,1.9,2.3,1.7,1.7,1.9,122.5,1,High
DZA002,5,x,5,5,x,605.3,3,Very Low
DZA003,2.9,3.8,5,0,2.5,692.2,0,Medium
DZA004,5,x,5,5,x,523.1,3,Very Low
ECU002,2.9,3.8,5,0,2.5,432.7,0,Medium
EGY002,2.5,3.8,3.8,0,2.5,277.9,0,Medium
ERI001,2.9,3.8,5,0,2.5,441.8,0,Medium
ESP002,2.1,2.3,4,0,1.9,290.8,0,Medium
ETH001,1.4,2,2.3,0,1.8,169.7,0,High
ETH003,0.9,2,0.8,0,1.8,55.7,0,Very High
ETH004,1.3,3.3,0.6,0,2.3,45.9,0,High
GRC002,1.6,2.5,2.3,0,2,171.7,0,High
GTM001,1,2,1.1,0,1.8,78.5,0,Very High
HND001,1,2,1,0,1.8,77.4,0,Very High
HTI001,1.8,3.3,2.1,0,2.3,152.6,0,High
HTI002,1.9,3.5,2.1,0,2.4,156.6,0,High
IDN002,2.2,3.8,2.8,0,2.5,204.7,0,Medium
IND002,4.2,2.8,4.8,5,2.1,348.6,3,Very Low
IRN004,2,4.3,1.8,0,2.7,133.5,0,High
IRQ001,1.6,3.8,1.1,0,2.5,80.9,0,High
IRQ002,0.9,1.5,1.2,0,1.6,89.2,0,Very High
IRQ003,2.3,3.5,1.7,1.7,2.4,124.8,1,Medium
ITA002,2.1,2.3,4,0,1.9,290.7,0,Medium
JOR002,1.8,3.8,1.6,0,2.5,116.3,0,High
KEN001,1.3,3,0.9,0,2.2,68.1,0,High
KEN002,1.8,2.8,0.9,1.7,2.1,68.1,1,High
KEN003,2.4,2.8,1,3.3,2.1,77.2,2,Medium
LBN002,1.7,3.5,1.7,0,2.4,122.4,0,High
LBN004,2.3,3.5,1.8,1.7,2.4,128.9,1,Medium
LBY001,2.1,1.8,4.5,0,1.7,327,0,Medium
LBY002,1.6,1.8,3,0,1.7,217.8,0,High
LSO002,1,2,1,0,1.8,72.3,0,Very High
MAR002,5,x,5,5,x,652.8,3,Very Low
MDG001,0.3,1,0,0,1.4,2,0,Very High
MDG002,0.4,1,0.2,0,1.4,14.5,0,Very High
MDG006,0.5,1.5,0,0,1.6,2,0,Very High
MEX001,1.9,4,1.7,0,2.6,122.8,0,High
MEX002,2.9,4,2.9,1.7,2.6,214.1,1,Medium
MEX003,1.9,4,1.7,0,2.6,122.8,0,High
MLI001,2.2,2,4.5,0,1.8,329.5,0,Medium
MMR001,1,2.3,0.7,0,1.9,51.6,0,Very High
MMR002,1,2.3,0.7,0,1.9,52.3,0,Very High
MMR003,1,2.3,0.7,0,1.9,51.6,0,Very High
MMR004,0.8,2,0.5,0,1.8,37.5,0,Very High
MOZ001,1,3,0,0,2.2,0,0,Very High
MOZ004,1.1,3,0.4,0,2.2,31.5,0,High
MOZ008,1.1,3.3,0,0,2.3,0,0,High
MRT002,1.9,2.3,3.5,0,1.9,256.4,0,High
MRT003,3,2.3,3.5,3.3,1.9,253.6,2,Medium
MWI002,0.3,0.8,0.2,0,1.3,14.1,0,Very High
MWI004,0.7,2,0,0,1.8,0,0,Very High
MYS001,1.6,2.5,2.3,0,2,167.6,0,High
NAM002,1.8,2,1.7,1.7,1.8,123.5,1,High
NER001,2.2,1.8,4.8,0,1.7,351.9,0,Medium
NER002,2.7,3,5,0,2.2,362.7,0,Medium
NER003,2.8,3.3,5,0,2.3,362.8,0,Medium
NER004,2.6,3.3,4.5,0,2.3,332,0,Medium
NGA001,2,4,2.1,0,2.6,156.5,0,High
NGA003,2,3.8,2.1,0,2.5,156.6,0,High
NGA004,2.6,3,3,1.7,2.2,221.5,1,Medium
NGA007,1.9,3.8,1.9,0,2.5,139.9,0,High
NGA008,2,2.3,2.1,1.7,1.9,150.5,1,High
NIC001,3.4,x,5,1.7,x,782.6,1,Low
PAK001,1.4,2.3,1.9,0,1.9,137.3,0,High
PAK004,3.5,x,2,5,x,143.1,3,Low
PER002,2.6,3.5,1,3.3,2.4,72.6,2,Medium
PHL001,1.4,2.3,0.3,1.7,1.9,22,1,High
PHL003,1.7,2.5,2.6,0,2,193.4,0,High
PHL010,1.4,2.3,0.3,1.7,1.9,25.5,1,High
PRK001,2.5,2.5,5,0,2,510.8,0,Medium
PSE002,0.9,0.8,1.8,0,1.3,128.8,0,Very High
REG001,2.3,2,4.9,0,1.8,358.7,0,Medium
REG002,3.9,3.3,5,3.3,2.3,447.3,2,Low
REG003,4.2,x,5,3.3,x,725.2,2,Very Low
REG004,1.9,4,1.8,0,2.6,134.5,0,High
REG006,2,2.5,1.8,1.7,2,134.8,1,High
REG007,5,x,5,5,x,848.6,5,Very Low
REG008,5,x,5,5,x,848.6,5,Very Low
REG011,1,2.3,0.6,0,1.9,47,0,Very High
REG012,0.8,2.3,0.1,0,1.9,10.4,0,Very High
REG013,4.2,x,5,3.3,x,400.1,2,Very Low
RWA002,3.4,2,5,3.3,1.8,420.2,2,Low
SDN001,0.5,0.8,0.7,0,1.3,52.5,0,Very High
SDN005,1,2.3,0.6,0,1.9,46,0,Very High
SDN007,0.6,1,0.7,0,1.4,53.7,0,Very High
SDN008,0.5,0.8,0.8,0,1.3,57.7,0,Very High
SEN002,2.8,1.8,5,1.7,1.7,528.5,1,Medium
SLV001,1,2,1.1,0,1.8,78.2,0,Very High
SOM001,1.4,2,2.3,0,1.8,170.7,0,High
SOM002,1.7,2.3,2.9,0,1.9,211.5,0,High
SOM005,1.2,3.3,0.3,0,2.3,26.3,0,High
SSD001,2.3,1.8,5,0,1.7,444.6,0,Medium
SWZ001,1.3,0.8,1.4,1.7,1.3,102.5,1,High
SYR001,1.6,2.3,2.4,0,1.9,174.4,0,High
TCD001,2.5,3.3,4.2,0,2.3,306.9,0,Medium
TCD003,3,4,5,0,2.6,447.3,0,Medium
TCD004,2.4,2.3,5,0,1.9,663.5,0,Medium
TCD005,2.5,2.5,5,0,2,586.5,0,Medium
TCD006,2.9,3.8,5,0,2.5,574.2,0,Medium
THA001,1.9,2.3,3.3,0,1.9,242,0,High
THA002,5,x,5,5,x,556.1,3,Very Low
THA003,2.7,2.3,4.2,1.7,1.9,304.5,1,Medium
TON002,0.7,0.5,0,1.7,1.2,4.3,1,Very High
TTO002,2.8,3.3,5,0,2.3,677.9,0,Medium
TUN002,3.4,2,5,3.3,1.8,796.7,2,Low
TUR001,1.5,2.5,2,0,2,144.8,0,High
TUR002,2,2.3,2,1.7,1.9,144.8,1,High
TUR003,1.5,2.5,2,0,2,144.8,0,High
TUR004,2.5,2.5,5,0,2,878.4,0,Medium
TZA002,0.4,0.5,0.7,0,1.2,51.1,0,Very High
UGA005,2.5,2.8,3,1.7,2.1,220.4,1,Medium
UKR002,2.3,1.8,5,0,1.7,367.8,0,Medium
VEN001,2.8,3.3,5,0,2.3,452,0,Medium
YEM001,1.2,2,1.7,0,1.8,124.7,0,High
YEM002,1.3,2.3,1.7,0,1.9,121.6,0,High
ZMB002,0.9,0.5,2.1,0,1.2,154.9,0,Very High
ZWE001,0.9,2.3,0.5,0,1.9,37.7,0,Very High
