,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.5,2.5,1.9,0,2,139.2,0,High
AFG005,1,0.8,0.4,1.7,1.3,32,1,Very High
AGO002,1,2.3,0.7,0,1.9,55.5,0,Very High
ARM002,1.7,2.3,2.7,0,1.9,199.7,0,High
AZE002,2.6,x,1.9,3.3,x,138.1,2,Medium
BDI001,1,2,0.9,0,1.8,63.8,0,Very High
BFA002,1.8,0.5,5,0,1.2,404.1,0,High
BGD001,0.7,1.8,0.3,0,1.7,22,0,Very High
BGD002,1.1,1.8,1.4,0,1.7,105.4,0,High
BGD008,0.7,1.8,0.4,0,1.7,27,0,Very High
BRA001,0.6,1.8,0.1,0,1.7,9.5,0,Very High
BRA002,1,1.3,0.1,1.7,1.5,9.5,1,Very High
BRA003,0.7,2,0.1,0,1.8,9.5,0,Very High
CAF001,0.9,1.3,1.5,0,1.5,111.5,0,Very High
CHL002,0.6,1.8,0.1,0,1.7,9.5,0,Very High
CMR001,0.8,1.8,0.5,0,1.7,35.6,0,Very High
CMR002,1.2,1.8,1.8,0,1.7,134.3,0,High
CMR003,1.3,2.3,1.7,0,1.9,123,0,High
CMR004,1.4,2.3,1.9,0,1.9,141.8,0,High
COD001,1,1,2.1,0,1.4,150.3,0,Very High
COG001,2.6,2.5,2,3.3,2,144.4,2,Medium
COL001,0.1,0.3,0.1,0,1.1,10.9,0,Very High
COL002,0.6,1.8,0.1,0,1.7,9.1,0,Very High
CRI002,2.5,2.3,0.2,5,1.9,14.9,3,Medium
DJI001,1,2.3,0.8,0,1.9,56.4,0,Very High
DJI002,0.8,2.3,0.2,0,1.9,12.3,0,Very High
DJI003,1,2.3,0.6,0,1.9,44,0,Very High
DOM002,1.9,2.3,0.2,3.3,1.9,14,2,High
DZA002,0.9,2.5,0.1,0,2,8.2,0,Very High
DZA003,1.5,4.3,0.1,0,2.7,8.2,0,High
DZA004,3.1,x,1.1,5,x,77.5,3,Low
ECU002,0.6,1.8,0.1,0,1.7,9.5,0,Very High
EGY002,0.9,2.5,0.1,0,2,8.2,0,Very High
ERI001,1.9,3,1,1.7,2.2,74.5,1,High
ESP002,0.9,2.5,0.1,0,2,8.1,0,Very High
ETH001,0.8,2,0.5,0,1.8,38.5,0,Very High
ETH003,0.9,2,0.8,0,1.8,60.2,0,Very High
ETH004,1.4,3.3,0.8,0,2.3,58.1,0,High
ETH005,1.2,3,0.7,0,2.2,50.7,0,High
GRC002,2.1,3.5,2.9,0,2.4,208.8,0,Medium
GTM001,0.8,2.3,0.2,0,1.9,14.1,0,Very High
HND001,0.8,2.3,0.2,0,1.9,13.7,0,Very High
HTI001,1.4,2.3,0.2,1.7,1.9,13.6,1,High
HTI002,1.4,2.3,0.2,1.7,1.9,13.6,1,High
HUN002,0.8,2.3,0.1,0,1.9,8,0,Very High
IDN002,1.8,3,2.5,0,2.2,180.4,0,High
IND002,4.3,2.8,5,5,2.1,491.3,3,Very Low
IRN004,2.5,4.3,1.5,1.7,2.7,113.5,1,Medium
IRQ001,1.6,3.5,1.4,0,2.4,106.2,0,High
IRQ002,1.3,1.3,2.5,0,1.5,181.1,0,High
