,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.3,2.5,1.5,0,2,112,0,High
AFG005,0.8,0.8,0,1.7,1.3,1,1,Very High
AGO002,0.9,2.3,0.3,0,1.9,24.5,0,Very High
ARM002,1.5,2.3,2.3,0,1.9,171.9,0,High
AZE002,4.2,x,5,3.3,x,410,2,Very Low
BDI001,0.8,2,0.4,0,1.8,32.8,0,Very High
BFA002,1.8,0.5,5,0,1.2,373.1,0,High
BGD001,0.6,1.8,0,0,1.7,1,0,Very High
BGD002,1.3,1.8,2.2,0,1.7,159.4,0,High
BGD008,0.6,1.8,0,0,1.7,1,0,Very High
BRA001,0.6,1.8,0.1,0,1.7,6.4,0,Very High
BRA002,1.2,1.8,0.1,1.7,1.7,6.4,1,High
BRA003,0.6,1.8,0.1,0,1.7,6.4,0,Very High
CAF001,0.7,0.8,1.3,0,1.3,94.6,0,Very High
CHL002,0.6,1.8,0.1,0,1.7,6.4,0,Very High
CMR001,0.8,1.8,0.6,0,1.7,44.6,0,Very High
CMR002,1.6,0.3,4.5,0,1.1,328.4,0,High
CMR003,1.5,1,3.6,0,1.4,262.4,0,High
CMR004,1.9,0.5,3.4,1.7,1.2,250.8,1,High
COD001,1.2,0.5,3.2,0,1.2,235.3,0,High
COG001,2.4,2.5,1.5,3.3,2,113.4,2,Medium
COL001,0.6,0.5,1.2,0,1.2,87,0,Very High
COL002,1.3,2.8,1.2,0,2.1,87,0,High
CRI002,2.5,2.3,0.1,5,1.9,7.3,3,Medium
DJI001,1,2.3,0.8,0,1.9,62.6,0,Very High
DJI002,1.1,2.3,0.9,0,1.9,69.3,0,High
DJI003,1.7,2.3,1.2,1.7,1.9,88.1,1,High
DOM002,1.9,2.3,0.1,3.3,1.9,7.3,2,High
DZA002,2.8,x,0.6,5,x,46.5,3,Medium
DZA003,1.5,3.8,0.6,0,2.5,46.5,0,High
DZA004,2.8,x,0.6,5,x,46.5,3,Medium
ECU002,2.7,3.5,4.6,0,2.4,334.1,0,Medium
EGY002,1,2.5,0.6,0,2,45.6,0,Very High
ERI001,1.8,3,0.6,1.7,2.2,43.5,1,High
ESP002,2.4,2.3,5,0,1.9,421,0,Medium
ETH001,0.7,2,0.1,0,1.8,10.1,0,Very High
ETH003,0.9,2,0.6,0,1.8,47.4,0,Very High
ETH004,1.2,3.3,0.4,0,2.3,32.3,0,High
ETH005,1.1,3,0.3,0,2.2,22.1,0,High
GRC002,2,3.5,2.6,0,2.4,187.4,0,High
GTM001,0.8,2.3,0.1,0,1.9,6.5,0,Very High
HND001,0.8,2.3,0.1,0,1.9,5.6,0,Very High
HTI001,1.4,2.3,0.1,1.7,1.9,6.9,1,High
HTI002,1.4,2.3,0.1,1.7,1.9,6.9,1,High
HUN002,1.1,2.3,1.1,0,1.9,80.5,0,High
IDN002,1.7,3,2.1,0,2.2,151.8,0,High
IND002,4.3,2.8,5,5,2.1,462.7,3,Very Low
IRN004,2.4,4.3,1.1,1.7,2.7,82.5,1,Medium
IRQ001,1.6,3.5,1.3,0,2.4,94.8,0,High
IRQ002,1.1,1.3,2.1,0,1.5,152.9,0,High
IRQ003,2.4,3.5,2,1.7,2.4,147,1,Medium
ITA002,2.4,2.3,5,0,1.9,420.9,0,Medium
JOR002,2.2,3.8,2.7,0,2.5,194.4,0,Medium
KEN001,1,2.8,0.1,0,2.1,10.3,0,Very High
KEN002,1.8,2,0.1,3.3,1.8,10.3,2,High
KEN003,1.5,2.8,0.1,1.7,2.1,10.3,1,High
LBN002,2.4,3.5,1.9,1.7,2.4,142.5,1,Medium
LBN004,2.4,3.5,1.9,1.7,2.4,138.7,1,Medium
LBY001,0.8,2,0.5,0,1.8,37.9,0,Very High
LBY002,0.9,2.3,0.5,0,1.9,37.9,0,Very High
LKA002,0.6,1.8,0.1,0,1.7,9.9,0,Very High
LSO002,1.5,2,2.6,0,1.8,190.6,0,High
MAR002,5,x,5,5,x,634.3,3,Very Low
MDA002,1.1,2.3,1.1,0,1.9,79.6,0,High
MDG001,0.8,1,1.3,0,1.4,97.3,0,Very High
MDG002,1,1,1.9,0,1.4,135.8,0,Very High
