,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,80,80,80,32,32,80,80,80,80,80,428,162,162,162,162,162,162,162,162,162,113.4,,
AGO002,105,105,105,105,105,105,105,105,105,105,101,105,105,105,105,105,105,105,105,105,104.6,,
ARM002,491,339,339,339,238,339,339,339,428,428,428,155,155,155,155,155,155,155,155,155,337.2,,
AZE002,512,469,469,382,491,512,512,512,512,512,512,155,155,155,155,155,155,155,155,155,456.9,,
BDI001,3,3,3,3,3,3,3,3,3,3,3,153,153,153,153,153,153,153,153,153,18,,
BFA002,274,274,274,31,31,274,274,274,274,274,1140,155,155,155,155,156,155,155,155,155,300.1,,
BGD002,428,16,16,16,136,185,16,192,185,185,731,158,158,158,296,162,162,158,158,158,182,,
BRA001,37,37,37,37,37,37,37,37,37,37,37,83,83,83,83,83,83,83,83,83,41.6,,
BRA002,853,42,42,36,541,42,42,42,42,42,1140,154,154,154,154,154,154,154,154,154,212.3,,
BRA003,37,37,37,37,37,37,37,37,37,37,37,83,83,83,83,83,83,83,83,83,41.6,,
CAF001,1143,464,464,31,31,520,520,520,520,520,731,155,155,155,155,155,155,155,155,155,401.2,,
CHL002,41,41,41,41,41,41,41,41,41,41,38,41,41,41,41,41,41,41,41,41,40.7,,
CMR001,305,305,305,129,129,304,304,304,304,304,1142,153,153,153,153,153,153,153,153,153,337.8,,
CMR002,954,156,156,177,129,177,177,177,177,177,1067,154,154,154,154,154,154,154,154,154,256.8,,
CMR003,10,10,10,370,370,10,10,10,10,10,954,154,154,154,154,154,154,154,154,154,190.8,,
CMR004,10,10,10,10,426,10,10,10,10,10,1142,154,154,154,154,154,154,154,154,154,179.2,,
COD001,542,84,84,31,31,84,84,84,84,84,1142,155,155,155,155,155,155,155,155,155,186.3,,
COG001,448,448,448,448,448,448,448,448,448,448,448,154,154,154,154,154,154,154,154,154,418.6,,
