Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,652867,41800000,35900000,12311000,x,x,1732,x,x,#N/A,13114,5880000,11500000,15100000,9300000,20000,5,x,x,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0
Drought in South-West Angola,Food Security,AGO002,Angola,AGO,212514,2727000,2187000,3000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,540000,837000,1026000,324000,0,3,#N/A,#N/A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Nagorno-Karabakh Conflict in Armenia,Conflict,ARM002,Armenia,ARM,28203,3024000,84000,66000,x,x,1,x,x,#N/A,x,2874000,18000,66000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nagorno-Karabakh conflict in Azerbaijan,Conflict,AZE002,Azerbaijan,AZE,31560,5874000,5874000,91000,x,x,7,x,x,#N/A,x,x,x,x,x,x,3,x,x,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0
Complex in Burundi,Complex crisis,BDI001,Burundi,BDI,25680,13000000,13000000,678000,x,x,124,x,x,#N/A,444,0,11200000,1692000,108000,0,5,x,x,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,166445,3523000,3442000,1615000,x,x,1627,x,x,#N/A,x,81000,2000000,983000,175000,284000,4,x,x,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.0,3.0
Rohingya refugee crisis,International displacement,BGD002,Bangladesh,BGD,730.46,1466000,1466000,925000,0,0,5,x,x,#N/A,x,4000,39000,1466000,0,0,3,0,0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,3.0
Country level Brazil,Multiple crises country,BRA001,Brazil,BRA,1421248,53422000,1357000,0,717,#N/A,212,#N/A,#N/A,#N/A,#N/A,52065000,879000,478000,0,0,2,#N/A,#N/A,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
Venezuela displacement in Brazil,International displacement,BRA002,Brazil,BRA,224274,653000,381000,305000,x,x,0,x,x,#N/A,x,272000,69000,312000,0,0,2,x,x,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Floods in rainy season 2022,Flood,BRA003,Brazil,BRA,1197523,52770000,953000,99000,717,#N/A,212,#N/A,#N/A,#N/A,#N/A,51816000,854000,99000,0,0,2,#N/A,#N/A,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,623000,4900000,4900000,1814000,x,x,775,x,x,#N/A,x,0,2100000,900000,2200000,0,5,x,x,1.0,3.0,2.0,3.0,0.0,3.0,3.0,0.0,3.0
Venezuela displacement in Chile,International displacement,CHL002,Chile,CHL,46424,10976000,616000,452000,x,x,14,#N/A,#N/A,#N/A,#N/A,10359000,135000,481000,0,0,2,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Multiple crises in Cameroon,Multiple crises country,CMR001,Cameroon,CMR,440640,25876000,4343000,2009000,150,x,670,x,x,#N/A,x,21533000,343000,2000000,2000000,0,5,x,x,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0
Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,34263,3112000,1200000,580000,x,x,212,x,x,#N/A,5.2,1912000,0,917000,284000,0,5,x,x,1.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,3.0
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,89005,9470000,1568000,1117000,x,x,286,x,x,#N/A,x,7902000,11000,1048000,509000,0,4,x,377500,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0
CAR refugees in Cameroon,International displacement,CMR004,Cameroon,CMR,201932,5658000,758000,347000,0,x,x,0,0,#N/A,x,4900000,121000,637000,0,0,3,x,x,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0
Complex crisis in DRC,Complex crisis,COD001,DRC,COD,2267048,27000000,25500000,10098000,x,x,3144,x,x,#N/A,1700,1500000,9500000,12500000,2900000,600000,5,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,1.0,3.0
Complex crisis in Congo,Complex crisis,COG001,Congo,COG,341500,5599000,1200000,295000,x,x,x,x,x,#N/A,x,4399000,0,1200000,0,0,5,x,x,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,1141750,51000000,11100000,454000,155,x,464,x,1607,#N/A,x,39900000,3400000,4507000,2900000,293000,3,1800000,11500,0.0,3.0,1.0,0.0,2.0,2.0,3.0,2.0,3.0
Venezuela displacement in Colombia,International displacement,COL002,Colombia,COL,133358,22963000,5510000,1842000,x,x,362,x,x,#N/A,x,17453000,679000,4831000,0,0,3,x,x,0.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,3.0
Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,4966,1730000,86000,86000,0,0,0,0,0,#N/A,0,1644000,43000,43000,0,0,2,0,#N/A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,23180,1024000,590000,36000,x,x,0,x,x,#N/A,x,434000,422000,163000,5000,0,5,x,x,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,23180,1024000,36000,36000,x,x,0,0,0,#N/A,0,988000,0,36000,0,0,3,0,0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,23180,1024000,554000,x,0,x,0,0,0,#N/A,x,470000,422000,127000,5000,0,5,0,0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Venezuela displacement in Dominican Republic,International displacement,DOM002,Dominican Republic,DOM,48300,10800000,131000,121000,x,x,x,#N/A,#N/A,#N/A,#N/A,10669000,31000,99000,0,0,2,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed migration flows in Algeria,International displacement,DZA002,Algeria,DZA,2381000,44036000,x,x,x,x,151,0,0,#N/A,x,x,x,x,x,x,2,x,x,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Sahrawi refugees in Algeria,International displacement,DZA003,Algeria,DZA,159000,223000,174000,174000,x,x,1,x,x,#N/A,x,49000,84000,90000,0,0,1,0,0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
Multiple crises in Algeria,Multiple crises country,DZA004,Algeria,DZA,2381000,44036000,x,x,x,x,152,x,x,#N/A,x,x,x,x,x,x,3,x,x,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,3449,7592000,1013000,416000,x,x,1,x,x,#N/A,x,6579000,140000,873000,0,0,2,x,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,91072,23800000,2812000,500000,x,x,0,x,x,#N/A,x,20988000,140000,2671000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,101000,6209000,1200000,321000,x,x,x,x,x,#N/A,x,5009000,0,1200000,0,0,5,x,x,3.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0
Mixed migration flows in spain,International displacement,ESP002,Spain,ESP,92610,11983000,115000,115000,x,x,131,x,x,#N/A,x,11868000,0,115000,0,0,2,x,x,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,1063652,103700000,103700000,6727000,0,0,5596,x,x,#N/A,x,0,80200000,925000,17150000,5425000,4,0,10000,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
International Displacement,International displacement,ETH003,Ethiopia,ETH,1063652,103700000,17744000,854000,0,0,24,x,x,#N/A,x,86000000,16846000,854000,0,0,3,0,0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0
Northern Ethiopia Conflict,Conflict,ETH004,Ethiopia,ETH,311484,30500000,30500000,2500000,0,0,2154,#N/A,#N/A,#N/A,#N/A,0,21100000,6499000,2500000,401000,4,0,210000,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,618190,62500000,8000000,413000,x,x,0,x,x,#N/A,x,54500000,7587000,413000,0,0,3,x,x,2.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,3364.07,411000,166000,166000,0,x,88,x,x,#N/A,x,245000,147000,19000,0,0,2,x,x,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,108889,17100000,5700000,242000,x,x,2960,0,0,#N/A,x,11400000,1900000,3300000,174000,326000,3,x,x,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,111900,9400000,4000000,245000,x,113000,1909,x,x,#N/A,12965,5400000,706000,2679000,615000,0,3,x,x,0.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,2.0
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,27560,11400000,7500000,85000,12763,x,242,75150,39850,#N/A,x,3900000,2600000,2700000,1400000,800000,3,x,x,0.0,3.0,3.0,3.0,0.0,2.0,1.0,0.0,3.0
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,12851,6429000,800000,39000,12763,9915,2248,75150,39850,#N/A,x,5629000,150000,650000,0,0,3,x,x,0.0,3.0,3.0,3.0,0.0,2.0,1.0,0.0,3.0
Displacement from Ukraine conflict in Hungary,International displacement,HUN002,Hungary,HUN,275,520000,404000,404000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,116000,404000,0,0,0,2,#N/A,#N/A,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Papua Conflict,Conflict,IDN002,Indonesia,IDN,421991,5438000,5438000,100000,x,x,35,x,x,#N/A,x,5338000,0,100000,0,0,4,x,x,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,222236,12541000,x,x,x,x,3,x,x,#N/A,x,12541000,x,x,x,x,x,x,x,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,239561,24823000,3400000,3400000,x,x,x,x,x,#N/A,x,21423000,0,800000,2600000,0,2,x,x,1.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,383312,40576000,5590000,8496000,x,x,1462,x,x,#N/A,133900,34986000,2833000,2232000,379000,146000,5,1500000,300000,1.0,2.0,2.0,0.0,3.0,3.0,1.0,3.0,1.0
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,383312,40576000,5300000,8239000,x,x,1462,x,x,#N/A,133900,35276000,2800000,2150000,225000,125000,5,1500000,300000,1.0,2.0,2.0,0.0,3.0,3.0,1.0,3.0,1.0
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,40643,5150000,522000,257000,x,x,x,x,0,#N/A,x,4628000,33000,314000,154000,21000,5,x,0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,41054,7012000,208000,208000,x,x,696,x,0,#N/A,x,6804000,0,208000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,40463,8708000,1839000,1319000,x,x,0,x,x,#N/A,x,6869000,1062000,622000,155000,0,2,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,519240,16826000,15753000,544000,0,0,0,0,0,#N/A,0,1073000,12109000,3144000,500000,0,2,0,0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,38244,1103000,544000,544000,0,0,0,0,0,#N/A,0,559000,0,544000,0,0,2,0,x,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0
Drought in Kenya,Drought,KEN003,Kenya,KEN,519240,16826000,15668000,0,0,0,0,0,0,#N/A,0,1158000,12568000,2600000,500000,0,2,0,0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,10450,6825000,6282000,1529000,x,0,x,x,x,#N/A,x,543000,4753000,780000,703000,46000,2,x,x,1.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,10450,6825000,6282000,x,x,x,17,x,x,#N/A,x,543000,3073000,1889000,1275000,46000,3,x,x,1.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,1759540,8200000,1500000,1545000,x,x,925,x,x,#N/A,x,6700000,700000,792000,8000,0,5,198000,633000,1.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,1759540,8200000,679000,679000,x,x,892,x,x,#N/A,x,7521000,404000,271000,4000,0,5,79000,229000,1.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,30355,1476000,866000,x,0,0,0,0,0,#N/A,x,610000,528000,312000,26000,0,1,0,0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,446300,36911000,x,x,x,x,89,0,0,#N/A,0,x,x,x,x,x,2,0,0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
DIsplacement from Ukraine conflict in Moldova,International displacement,MDA002,Moldova,MDA,1595,205000,96000,96000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,109000,96000,0,0,0,2,#N/A,#N/A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multiple crisis in Madagascar,Multiple crises country,MDG001,Madagascar,MDG,581800,27000000,4509000,25000,x,x,259,28020,14597,#N/A,x,22491000,2850000,1325000,334000,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,149752,6348000,3549000,3000,0,x,53,x,x,#N/A,x,2799000,1912000,1303000,334000,0,1,x,x,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0
Tropical Cyclones Season in 2022 in Madagascar,Tropical cyclone,MDG006,Madagascar,MDG,581800,27000000,960000,22000,x,x,206,28020,14597,#N/A,x,26040000,938000,22000,0,0,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,1964375,124227000,321000,82000,x,x,301,x,x,#N/A,x,123906000,321000,x,x,x,3,x,x,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,1964375,128972000,357000,357000,x,x,3454,x,x,#N/A,x,128615000,357000,x,x,x,4,x,x,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,1964375,129673000,795000,82000,x,x,301,x,x,#N/A,x,128878000,739000,56000,0,0,3,x,x,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,1220190,20402000,11712000,1147000,x,44056,1047,x,1,#N/A,x,8691000,5812000,3700000,2200000,0,5,x,x,0.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,661578,55482000,34974000,1837000,x,x,11460,x,x,#N/A,x,20508000,20568000,2807000,9137000,2462000,4,x,x,1.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,40755,3659000,2559000,1238000,x,x,40,x,x,#N/A,x,1100000,1012000,0,1547000,0,4,x,x,1.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,244843,8393000,8393000,109000,x,x,882,x,x,#N/A,x,5400000,0,777000,2065000,151000,3,x,x,1.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0
