,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,263,263,263,4,4,177,177,177,177,122,611,142,142,142,142,142,142,142,142,142,185.4,,
AFG005,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,,
AGO002,30,92,92,30,288,92,92,92,92,92,30,141,141,141,141,141,141,141,141,141,104.1,,
ARM002,114,114,114,114,8,114,114,114,611,611,611,137,137,137,137,137,137,137,137,137,254.8,,
AZE002,67,87,87,565,8,87,92,87,87,87,695,137,137,137,137,137,137,137,137,137,193.2,,
BDI001,123,123,123,9,9,123,123,123,123,123,123,141,141,141,141,141,141,141,141,141,102,,
BFA002,18,18,18,18,18,18,18,18,18,18,1323,158,158,158,158,158,158,158,158,158,162.5,,
BGD001,93,4,4,4,4,93,93,4,93,93,93,93,93,93,93,93,93,93,93,93,57.4,,
BGD002,151,4,4,4,4,86,86,4,86,86,914,134,137,137,137,137,137,137,137,137,140.8,,
BGD008,93,93,93,36,36,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,81.6,,
BRA001,30,30,30,30,30,30,30,30,30,30,30,156,156,156,156,156,156,156,156,156,42.6,,
BRA002,30,30,30,30,30,30,30,30,30,30,30,156,156,156,156,156,156,156,156,156,42.6,,
BRA003,30,30,30,30,30,30,30,30,30,30,30,156,156,156,156,156,156,156,156,156,42.6,,
CAF001,1326,65,65,65,65,60,60,60,60,60,914,156,156,156,156,156,156,156,156,156,156.5,,
CHL002,30,30,30,30,30,30,30,30,30,30,30,156,156,156,156,156,156,156,156,156,42.6,,
CMR001,488,92,9,92,92,9,9,9,9,9,92,143,143,143,143,143,143,143,143,143,47.3,,
CMR002,1137,70,70,70,70,70,70,70,70,70,31,143,143,143,143,143,143,143,143,143,73.4,,
CMR003,193,70,70,70,70,70,70,70,70,70,31,143,143,143,143,143,143,143,143,143,73.4,,
CMR004,193,70,70,70,70,70,70,70,70,70,1325,143,143,143,143,143,143,143,143,143,202.8,,
COD001,725,71,71,71,71,71,87,87,87,87,1325,156,156,156,156,156,156,156,156,156,211.3,,
COG001,30,93,93,30,30,93,93,93,93,631,30,141,141,141,141,141,141,141,141,141,132.7,,
COL001,30,30,30,30,30,30,30,30,30,30,30,143,143,143,143,143,143,143,143,143,41.3,,
COL002,30,30,30,30,30,30,30,30,30,30,30,143,143,143,143,143,143,143,143,143,41.3,,
CRI002,3,3,3,3,3,3,3,3,3,3,3,156,156,156,156,156,156,156,156,156,18.3,,
DJI001,383,66,66,66,66,66,66,66,22,22,383,139,139,139,139,139,139,139,139,139,96.2,,
DJI002,66,66,66,66,66,66,66,66,66,66,66,139,139,139,139,139,139,139,139,139,73.3,,
DJI003,383,66,66,66,66,66,66,66,66,66,383,139,139,139,139,139,139,139,139,139,105,,
DOM002,3,3,3,3,3,3,3,3,3,3,3,156,156,156,156,156,156,156,156,156,18.3,,
DZA002,61,22,37,37,22,22,37,37,37,37,61,143,143,143,143,143,143,143,143,143,47,,
DZA003,61,61,61,37,22,37,37,37,37,37,61,143,143,143,143,143,143,143,143,143,50.9,,
DZA004,138,18,18,37,18,18,18,18,18,18,138,143,143,143,143,143,143,143,143,143,44.4,,
ECU002,30,30,30,30,30,30,30,30,30,30,30,156,156,156,156,156,156,156,156,156,42.6,,
EGY002,61,13,13,13,13,13,13,13,13,13,61,143,143,143,143,143,143,143,143,143,30.8,,
ERI001,135,135,135,135,7,135,135,135,135,135,135,140,140,140,140,140,140,140,140,140,122.7,,
ESP002,61,18,18,18,18,18,18,18,18,18,61,142,142,142,142,142,142,142,142,142,34.7,,
ETH001,2,2,2,2,2,2,2,2,2,2,98,139,139,139,139,139,139,139,139,139,25.3,,
ETH003,2,2,2,2,2,2,2,2,72,72,471,139,139,139,139,139,139,139,139,139,76.6,,
ETH004,2,2,2,2,2,2,2,2,2,2,320,139,139,139,139,139,139,139,139,139,47.5,,
ETH005,2,2,2,2,2,2,2,2,2,2,234,139,139,139,139,139,139,139,139,139,38.9,,
GMB002,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
GRC002,1249,32,32,32,1,163,30,163,163,163,1333,157,157,157,157,157,157,157,157,157,223.7,,
GTM001,3,3,3,3,3,3,3,3,3,3,3,148,148,148,148,148,148,148,148,148,17.5,,
HND001,3,3,3,3,3,3,3,3,3,3,3,148,148,148,148,148,148,148,148,148,17.5,,
HTI001,3,3,3,3,3,3,3,3,3,3,3,143,143,143,143,143,143,143,143,143,17,,
HTI002,3,3,3,3,3,3,3,3,3,3,3,143,143,143,143,143,143,143,143,143,17,,
HUN002,61,4,4,4,4,4,4,4,4,4,61,141,141,141,141,141,141,141,141,141,23.4,,
IDN002,151,151,151,206,7,116,122,151,151,151,1158,137,137,137,137,137,137,137,137,137,235,,
IND002,611,611,611,611,7,611,611,611,611,611,1038,137,137,137,137,137,137,137,137,137,545.9,,
IRN004,564,564,101,101,177,101,177,101,101,177,564,145,145,145,145,145,145,145,145,145,174.5,,
IRQ001,178,11,11,31,3,11,11,11,11,11,884,141,141,141,141,141,141,141,141,141,112.5,,
IRQ002,178,178,178,178,3,178,178,178,178,178,967,141,141,141,141,141,141,141,141,141,235.7,,
IRQ003,178,11,178,3,178,3,3,3,3,3,1323,141,141,141,141,141,141,141,141,141,183.8,,
ITA002,61,13,13,13,13,13,13,13,13,13,61,142,142,142,142,142,142,142,142,142,30.7,,
JOR002,458,458,3,3,669,73,73,176,176,176,819,144,144,144,144,144,144,144,144,144,231.2,,
KEN001,98,25,25,25,25,3,3,3,3,3,98,141,141,141,141,141,141,141,141,141,32.9,,
KEN002,98,25,25,25,98,25,25,25,25,25,98,141,141,141,141,141,141,141,141,141,51.2,,
KEN003,98,25,25,98,25,3,3,3,3,3,98,141,141,141,141,141,141,141,141,141,40.2,,
LBN002,415,32,32,170,170,32,32,170,170,170,847,138,138,138,138,138,138,138,138,138,193.1,,
LBN004,415,32,32,170,3,32,32,170,170,170,884,138,138,138,138,138,138,138,138,138,180.1,,
LBY001,61,61,61,13,13,61,61,61,61,61,61,138,138,138,138,138,138,138,138,138,59.1,,
LBY002,61,61,13,13,13,13,13,13,13,13,61,138,138,138,138,138,138,138,138,138,30.3,,
LKA002,102,102,102,102,8,102,102,102,102,102,102,101,101,101,101,101,101,101,101,101,92.5,,
LSO002,32,32,32,721,32,1,1,1,1,1,1,139,139,139,139,139,139,139,139,139,93,,
MAR002,61,18,61,61,18,18,61,61,61,61,61,143,143,143,143,143,143,143,143,143,60.6,,
MDA002,61,3,3,3,3,3,3,3,3,3,61,141,141,141,141,141,141,141,141,141,22.6,,
MDG001,3,3,3,3,3,3,3,3,3,3,3,139,139,139,139,139,139,139,139,139,16.6,,
MDG002,3,3,3,3,3,3,3,3,3,3,3,139,139,139,139,139,139,139,139,139,16.6,,
MDG006,3,3,3,3,3,3,3,3,3,3,3,139,139,139,139,139,139,139,139,139,16.6,,
MEX001,4,4,4,4,4,4,4,4,4,4,4,141,141,141,141,141,141,141,141,141,17.7,,
MEX002,3,3,3,3,3,3,3,3,3,3,3,141,141,141,141,141,141,141,141,141,16.8,,
MEX003,3,3,3,3,3,3,3,3,3,3,3,141,141,141,141,141,141,141,141,141,16.8,,
MLI001,30,25,18,25,30,18,18,18,18,18,30,158,158,158,158,158,158,158,158,158,35.1,,
MMR001,144,115,115,4,4,115,144,144,115,144,606,137,137,137,137,137,137,137,137,137,152.8,,
MMR002,144,115,115,4,4,115,115,250,115,250,606,137,137,137,137,137,137,137,137,137,171.1,,
MMR003,606,249,249,36,4,249,249,249,249,249,606,137,137,137,137,137,137,137,137,137,227.7,,
MMR004,144,115,144,4,4,115,144,144,144,144,464,137,137,137,137,137,137,137,137,137,144.4,,
MOZ001,242,242,161,65,65,161,161,161,161,161,189,140,140,140,140,140,140,140,140,140,142.5,,
MOZ004,581,442,242,65,65,189,189,189,189,189,442,140,140,140,140,140,140,140,140,140,189.9,,
MOZ008,189,189,161,161,161,161,161,161,161,161,189,140,140,140,140,140,140,140,140,140,161.7,,
MRT002,66,66,66,11,11,66,11,11,11,11,11,138,138,138,138,138,138,138,138,138,34.7,,
MRT003,732,66,66,765,11,66,66,66,66,66,33,138,138,138,138,138,138,138,138,138,134.3,,
MWI002,383,383,49,11,11,49,49,49,49,49,219,139,139,139,139,139,139,139,139,139,67.4,,
MWI004,242,242,31,40,31,87,39,39,39,39,242,139,139,139,139,139,139,139,139,139,72.6,,
MYS001,122,122,122,4,95,170,4,4,170,170,550,137,137,137,137,137,137,137,137,137,142.6,,
NAM002,11,277,277,966,11,277,277,277,277,277,446,139,139,139,139,139,139,139,139,139,322.4,,
