,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,90,90,90,0,0,90,90,90,90,90,823,189,189,189,188,192,189,188,188,187,155.2,,
AGO002,242,304,304,3,500,304,304,304,304,304,3,183,183,183,183,183,183,183,183,183,251.3,,
ARM002,326,326,326,326,0,326,326,326,823,823,823,182,182,182,182,182,182,182,182,182,428.1,,
AZE002,279,299,299,61,0,299,304,299,299,299,907,181,181,181,181,181,181,181,181,181,294.8,,
BDI001,44,44,44,44,44,44,44,44,44,44,61,181,181,181,181,181,181,181,181,181,59.4,,
BFA002,61,61,61,27,27,61,61,61,61,61,1535,183,183,183,183,183,183,183,183,183,213.8,,
BGD002,363,3,3,3,3,3,3,3,3,3,3,181,181,181,181,181,181,181,181,181,20.8,,
BRA001,29,29,29,29,29,29,29,29,29,29,29,183,183,183,183,183,183,183,183,183,44.4,,
BRA002,31,31,31,31,31,31,31,31,31,31,31,183,183,183,183,183,183,183,183,183,46.2,,
BRA003,31,31,31,31,31,31,31,31,31,31,31,183,183,183,183,183,183,183,183,183,46.2,,
CAF001,61,61,61,27,27,61,61,61,61,61,61,183,183,183,183,183,183,183,183,183,66.4,,
CHL002,61,61,61,61,61,61,61,61,61,61,61,183,183,183,183,183,183,183,183,183,73.2,,
CMR001,700,304,221,27,27,221,221,221,221,221,304,183,183,183,183,183,183,183,183,183,186.7,,
CMR002,1349,282,282,27,27,282,282,282,282,282,243,183,183,183,183,183,183,183,183,183,217.2,,
CMR003,405,282,282,27,27,282,282,282,282,282,243,183,183,183,183,183,183,183,183,183,217.2,,
CMR004,405,282,282,27,27,282,282,282,282,282,1537,183,183,183,183,183,183,183,183,183,346.6,,
COD001,61,61,61,27,27,61,61,61,61,61,1537,183,183,183,183,183,183,183,183,183,214,,
COG001,3,305,305,3,3,305,305,305,305,843,3,183,183,183,183,183,183,183,183,183,256,,
COL001,32,32,32,32,32,32,32,32,32,32,32,183,183,183,183,183,183,183,183,183,47.1,,
COL002,20,20,20,20,20,20,20,20,20,20,20,183,183,183,183,183,183,183,183,183,36.3,,
CRI002,0,0,0,0,0,0,0,0,0,0,0,183,183,183,183,183,183,183,183,183,18.3,,
DJI001,153,33,33,33,131,33,33,33,68,68,153,181,181,181,181,181,181,181,181,181,76.6,,
DJI002,153,153,33,33,131,33,33,33,33,33,153,181,181,181,181,181,181,181,181,181,69.6,,
DJI003,153,33,33,153,153,33,33,33,33,33,153,181,181,181,181,181,181,181,181,181,83.8,,
DOM002,4,4,4,4,4,4,4,4,4,4,4,183,183,183,183,183,183,183,183,183,21.9,,
DZA002,273,3,32,32,3,3,32,32,32,32,273,188,188,188,188,188,188,188,188,188,65.9,,
DZA003,273,273,273,249,3,249,249,249,249,249,273,188,188,188,188,188,188,188,188,188,223.1,,
DZA004,350,3,3,249,3,3,3,3,3,3,350,188,188,188,188,188,188,188,188,188,80.8,,
ECU002,61,61,61,61,61,61,61,61,61,61,61,183,183,183,183,183,183,183,183,183,73.2,,
EGY002,273,3,3,3,3,3,3,3,3,3,273,188,188,188,188,188,188,188,188,188,48.5,,
ERI001,61,61,61,61,61,61,61,61,61,61,347,181,181,181,181,181,181,181,181,181,101.6,,
ESP002,273,3,3,3,3,3,3,3,3,3,273,186,186,186,186,186,186,186,186,186,48.3,,
ETH001,68,0,0,0,0,0,0,0,0,0,310,175,175,175,175,175,175,175,175,175,48.5,,
ETH003,68,0,0,0,131,0,0,0,0,0,683,178,178,178,178,178,178,178,178,178,99.2,,
ETH004,214,31,31,31,0,31,31,31,31,31,532,177,177,177,177,177,177,177,177,177,92.6,,
ETH005,214,0,0,0,131,0,0,0,0,0,446,177,177,177,177,177,177,177,177,177,75.4,,
