,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
,,,,MAX,6,,1,,7.5,,1,,,7.5,,1,,6.5,,0.15,,3.5,,0.0001,,,
,,,,MIN,3,,0.02,,6,,0.01,,,4.5,,0.01,,3,,0,,0,,0,,,
CRISIS,DRIVERS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,,,,,,,,,,,
Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,4.7,1.0000107220537329,5,4.85,5,1,5,5,4.9,5,1,5,5,5,0.5316705336426915,5,5,3.9,1.2946635730858468e-05,0.6,2.3,4,4.6
Earthquake in Herat Province,Earthquake,AFG006,Afghanistan,AFG,2.9,0.08390466562509573,0.3,1.5999999999999999,1.8,0.08120649651972157,0.4,1.1,1.4,2.8,0.45714285714285713,2.3,2.55,x,x,x,x,4.5,0.00092625,5,4.8,4.8,3.9
Drought in South-West Angola,Drought,AGO002,Angola,AGO,5,1,5,5,1.5,0.07971014492753623,0.4,0.95,3.7,3.1,0.8243636363636364,4.1,3.5999999999999996,0,0,0,0,0,0,0,0,0,2.2
Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,2,0.581524411661398,2.9,2.45,1.1,0.6874797800064704,3.4,2.25,2.4,1.6,0.136,0.6,1.1,3,0.4463667820069204,5,4,1.3,2.7681660899653978e-05,1.4,1.4,2.9,2.1
Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,2,0.1990975406167209,0.9,1.45,0,0.09080908090809081,0.4,0.2,0.9,1.4,0.22687224669603523,1.1,1.25,3,0.6262135922330098,5,4,3.9,0.0026893203883495147,5,4.5,4.3,3.1
Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,2.3,1,5,3.65,3.6,1,5,4.3,4,4,0.6059077223533241,3,3.5,3.9,0.07735697018533441,2.6,3.3,2.6,8.998119795863551e-06,0.4,1.5,2.5,3
Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,3.7,0.6067251461988304,3,3.35,4.4,1,5,4.7,4.1,3.6,0.21442169290058968,1,2.3,4.8,0.4805110437418796,5,4.9,4.9,0.0006084885231702036,5,5,5,4
