,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,0.9,1.3,1.4,0,1.5,103.6,0,Very High
AGO002,2,1.8,4.2,0,1.7,305.3,0,High
ARM002,0.9,2.5,0.2,0,2,18.2,0,Very High
AZE002,2.4,3.8,1.6,1.7,2.5,116.1,1,Medium
BDI001,0.7,2,0.2,0,1.8,18.3,0,Very High
BFA002,0.2,0.3,0.3,0,1.1,24.8,0,Very High
BGD002,0.7,1.8,0.2,0,1.7,18.3,0,Very High
BRA001,0.6,1.8,0.1,0,1.7,7.5,0,Very High
BRA002,0.8,2.3,0.1,0,1.9,7.5,0,Very High
BRA003,1.5,2.8,0.1,1.7,2.1,7.5,1,High
CAF001,1.1,1.8,1.4,0,1.7,101,0,High
CHL002,0.6,1.8,0.1,0,1.7,7.6,0,Very High
CMR001,0.3,0.5,0.3,0,1.2,24.6,0,Very High
CMR002,0.2,0.3,0.3,0,1.1,24.6,0,Very High
CMR003,0.2,0.3,0.3,0,1.1,24.6,0,Very High
CMR004,0.2,0.3,0.3,0,1.1,24.6,0,Very High
COD001,0.2,0.3,0.3,0,1.1,24.8,0,Very High
COG001,1,2,1,0,1.8,76.5,0,Very High
COL001,0.1,0.3,0.1,0,1.1,7.5,0,Very High
COL002,0.7,2,0.1,0,1.8,7.5,0,Very High
CRI002,2.1,2.3,0.7,3.3,1.9,53.5,2,Medium
DJI001,0.9,2.3,0.4,0,1.9,32.1,0,Very High
DJI002,0.8,2,0.4,0,1.8,32.1,0,Very High
DJI003,0.9,2.3,0.4,0,1.9,32.1,0,Very High
DOM002,2.1,2.3,0.8,3.3,1.9,55.6,2,Medium
DZA002,1.1,2.5,0.8,0,2,60.3,0,High
DZA003,2.4,4.3,1.3,1.7,2.7,97.9,1,Medium
DZA004,1.4,3.5,0.8,0,2.4,61.4,0,High
ECU002,0.6,1.8,0.1,0,1.7,7.5,0,Very High
EGY004,0.9,2.5,0.1,0,2,5,0,Very High
ERI001,1.3,3,0.8,0,2.2,61,0,High
ESP002,1.1,2.5,0.7,0,2,51.3,0,High
ETH001,0.6,1.3,0.6,0,1.5,47.6,0,Very High
ETH003,1.7,2,1.5,1.7,1.8,107.2,1,High
ETH004,1,2,0.9,0,1.8,69.8,0,Very High
ETH005,1.1,2.3,1.1,0,1.9,83.5,0,High
GRC002,2,3.3,2.7,0,2.3,196.3,0,High
GTM001,0.9,2.3,0.5,0,1.9,40.2,0,Very High
HND001,0.9,2.3,0.5,0,1.9,34.1,0,Very High
HTI001,0.5,0.3,1.2,0,1.1,87.6,0,Very High
HTI002,1.1,2.3,1.1,0,1.9,80.4,0,High
HUN002,1,2.3,0.7,0,1.9,51.5,0,Very High
IDN002,1.2,3.5,0.2,0,2.4,18.3,0,High
IDN007,1.2,3.3,0.2,0,2.3,18.3,0,High
IDN008,0.8,2.3,0.2,0,1.9,18.3,0,Very High
IND002,3.6,2.5,5,3.3,2,608.8,2,Low
IRN004,3.4,4,2.9,3.3,2.6,210.6,2,Low
IRQ001,1.2,2,1.7,0,1.8,126.2,0,High
IRQ002,1.4,2.3,1.8,0,1.9,134.5,0,High
IRQ003,1.4,2,2.3,0,1.8,170.1,0,High
ITA002,1,2.3,0.7,0,1.9,51.5,0,Very High
JOR002,1.8,3.5,1.8,0,2.4,128.5,0,High
KEN001,2.7,3.8,0.9,3.3,2.5,68,2,Medium
KEN002,2,2,0.8,3.3,1.8,56.5,2,High
KEN003,2.9,2,1.7,5,1.8,127.5,3,Medium
LBN002,1.3,2,2,0,1.8,143.3,0,High
LBN004,1.3,2,2,0,1.8,147,0,High
LBY001,0.6,1,0.7,0,1.4,51.2,0,Very High
LBY002,0.9,2,0.7,0,1.8,51.2,0,Very High
LKA002,1.1,1.5,0.2,1.7,1.6,18.3,1,High
MAR002,1.6,4,0.7,0,2.6,51.2,0,High
MDA002,1,2.3,0.7,0,1.9,51.5,0,Very High
MDG001,0.9,1.8,0.8,0,1.7,62.4,0,Very High
MDG002,1.2,0.8,1.1,1.7,1.3,80,1,High
MDG008,1,2.3,0.8,0,1.9,56.3,0,Very High
