,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
,,,,MAX,,,,,,7,0.05,0.05,0.05,0.05,0.05,,
,,,,MIN,,,,,,4,,,,,,,
CRISIS,DRIVERS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,
Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,5.5,9.2,13.7,14.7,0,5,0.12761020881670534,0.21345707656612528,0.31786542923433875,0.34106728538283065,0,4,4.5
Drought in South-West Angola,Drought,AGO002,Angola,AGO,0.483,0.683,1.167,0.417,0,3.7,0.17563636363636365,0.24836363636363637,0.4243636363636364,0.15163636363636362,0,4,3.85
Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,1.593,0.007,0.027,0,0,0.7,0.9797047970479705,0.004305043050430504,0.016605166051660517,0,0,1,0.85
Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,0,2.826,0,0,0,0,0,1,0,0,0,2,1
Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,0,11.4,1.692,0.108,0,3.8,0,0.8636363636363636,0.12818181818181817,0.008181818181818182,0,3,3.4
Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,0,0,1.767,1.976,0.089,4.3,0,0,0.46111691022964507,0.5156576200417536,0.023225469728601254,4,4.15
Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,0,0,1.498,0,0,3.6,0,0,1,0,0,3,3.3
Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,99.076,0.56,0.308,0,0,2.5,0.9913151364764268,0.0056031377571440005,0.0030817257664292005,0,0,1,1.75
Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,99.493,0.153,0.298,0,0,2.5,0.9954874729848715,0.001530857280076843,0.002981669735051629,0,0,1,1.75
Floods in rainy season 2022,Floods,BRA003,Brazil,BRA,14.242,0.407,0.009,0,0,0,0.9715533119585238,0.02776451326829934,0.0006139572958591992,0,0,1,0.5
Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,0,2.665,2.649,0.778,0,4.2,0,0.43753078312264,0.4349039566573633,0.1277294368740765,0,4,4.1
Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,6.362,12.822,0.31,0,0,2.5,0.32637356999948697,0.6577745857487303,0.015903144718616938,0,0,2,2.25
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,23.845,0,2.072,1.683,0,4.3,0.8639492753623188,0,0.07507246376811594,0.06097826086956522,0,4,4.15
Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,2.557,0,0.166,1.08,0,3.5,0.6723639232185117,0,0.043649750197212726,0.2839863265842756,0,4,3.75
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,11.439,0,1.431,0.603,0,3.8,0.8489683835535105,0,0.10620454208104498,0.044752857354905744,0,3,3.4
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,5.183,0,0.475,0,0,2.8,0.9160480735242135,0,0.0839519264757865,0,0,3,2.9
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,82.155,0.529,10.3,10.8,4.8,5,0.7566031827893612,0.004871804317394828,0.0948574375598615,0.09946216753849554,0.04420540779488691,4,4.5
Complex crisis in Congo,Conflict,COG001,Congo,COG,5.507,0.159,0.134,0,0,1.9,0.9494827586206896,0.027413793103448277,0.023103448275862068,0,0,2,1.95
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,41.8,2.1,4.206,3.1,0.394,4.8,0.810077519379845,0.040697674418604654,0.08151162790697675,0.060077519379844964,0.007635658914728683,4,4.4
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,30.639,0.378,5.4,0,0,4.6,0.8413378367246066,0.010379767690913585,0.14828239558447978,0,0,3,3.8
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,0.886,0.047,0.2,0,0,2.2,0.7819947043248014,0.04148278905560459,0.176522506619594,0,0,3,2.6
