,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,121,121,121,1,1,121,121,121,121,121,854,22,22,22,16,22,22,16,16,16,160.4,,
AGO002,273,335,335,0,531,335,335,335,335,335,0,14,14,14,14,14,14,14,14,14,255.5,,
ARM002,357,357,357,357,1,357,357,357,1,1,854,13,13,13,13,13,13,13,13,13,265.5,,
AZE002,310,330,330,92,1,1,1,1,1,1,938,13,13,13,13,13,13,13,13,13,137.9,,
BDI001,75,8,8,8,8,8,8,8,8,8,92,14,14,14,14,14,14,14,14,14,17,,
BFA002,92,92,92,58,58,92,92,92,92,92,1566,16,16,16,16,16,16,16,16,16,225,,
BGD002,1,1,1,1,1,34,34,1,34,34,1,14,14,14,14,14,14,14,14,14,15.5,,
BRA001,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,8.6,,
BRA002,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,8.6,,
BRA003,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,8.6,,
CAF001,92,92,92,58,58,92,92,92,92,92,92,16,16,16,16,16,16,16,16,16,77.6,,
CHL002,8,8,8,8,8,8,8,8,8,8,8,15,15,15,15,15,15,15,15,15,8.7,,
CMR001,731,335,252,58,58,252,252,252,252,252,335,14,14,14,14,14,14,14,14,14,197.7,,
CMR002,1380,313,313,58,58,313,313,313,313,313,274,14,14,14,14,14,14,14,14,14,228.2,,
CMR003,436,313,313,58,58,313,313,313,313,313,274,14,14,14,14,14,14,14,14,14,228.2,,
CMR004,436,313,313,58,58,313,313,313,313,313,1568,14,14,14,14,14,14,14,14,14,357.6,,
COD001,92,92,92,58,58,92,92,92,92,92,1568,16,16,16,16,16,16,16,16,16,225.2,,
COG001,34,23,23,23,0,23,23,23,23,23,34,16,16,16,16,16,16,16,16,16,21.1,,
COL001,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,
COL002,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,
CRI002,31,31,31,31,31,31,31,31,31,31,31,14,14,14,14,14,14,14,14,14,29.3,,
DJI001,184,64,64,64,162,64,64,64,99,99,184,15,15,15,15,15,15,15,15,15,87.9,,
DJI002,184,184,64,64,162,64,64,64,64,64,184,15,15,15,15,15,15,15,15,15,80.9,,
DJI003,184,64,64,184,184,64,64,64,64,64,184,15,15,15,15,15,15,15,15,15,95.1,,
DOM002,35,35,35,35,35,35,35,35,35,35,35,15,15,15,15,15,15,15,15,15,33,,
DZA002,304,0,63,63,0,0,63,63,63,63,304,17,17,17,17,17,17,17,17,17,69.9,,
DZA003,304,304,304,280,0,280,280,280,280,280,304,17,17,17,17,17,17,17,17,17,230.5,,
