Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,652867,43100000,43100000,23324000,2010,x,539,21300,3330,#N/A,x,0,13900000,14500000,14700000,0,4,x,543000,0.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0
Earthquake in Herat Province,Earthquake,AFG006,Afghanistan,AFG,54778,3500000,1600000,x,2100,x,1482,21300,3330,#N/A,x,1900000,1486000,232000,43000,0,2,x,x,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0
Drought in South-West Angola,Drought,AGO002,Angola,AGO,1246700,2750000,2267000,0,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,483000,683000,1167000,417000,0,1,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0
Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,12168,513000,289000,129000,2,x,3,x,x,#N/A,x,224000,152000,136000,0,0,2,x,x,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0
Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,16458,908000,206000,129000,248,x,36,x,x,#N/A,x,703000,129000,77000,0,0,3,x,x,2.0,3.0,2.0,0.0,3.0,2.0,1.0,3.0,2.0
Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,25680,12289000,5330000,575000,x,283000,73,x,x,#N/A,444,6959000,4174000,1156000,0,0,5,x,x,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,166000,21537000,4618000,2219000,1,x,3464,x,x,#N/A,x,16919000,0,2582000,1947000,89000,4,x,x,0.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0
Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,730.46,1506000,1506000,968000,x,x,33,x,x,#N/A,x,0,0,1248000,257000,0,3,x,x,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0
Floods and Monsoon Rain in Chattogram Division,Floods,BGD009,Bangladesh,BGD,18370,2400000,1300000,213000,x,x,51,28070,x,#N/A,x,1100000,700000,600000,0,0,4,x,x,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Complex crisis in Bangladesh,"Socio-political,Displacement,Floods,Cyclone,Food Security,Epidemic,Other seasonal event",BGD010,Bangladesh,BGD,147570,170797000,153814000,1181000,x,x,89,71070,x,#N/A,35290000,16983000,116262000,27343000,10209000,0,5,x,x,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0
Cyclone Hamoon,Cyclone,BGD011,Bangladesh,BGD,7775,12927000,590000,0,85,x,5,43000,x,#N/A,190000,12337000,366000,224000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Displacement from Russia-Ukraine conflict in Bulgaria,"Conflict,Displacement",BGR002,Bulgaria,BGR,108560,6517000,52000,52000,x,x,0,x,x,#N/A,x,6465000,0,52000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Displacement from Russia-Ukraine conflict in Belarus,"Displacement,Conflict",BLR002,Belarus,BLR,207582,9241000,32000,32000,x,x,0,x,x,#N/A,x,9209000,0,32000,x,x,2,x,x,2.0,1.0,1.0,0.0,3.0,2.0,0.0,3.0,0.0
Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,8358140,103885000,1404000,493000,940,x,46,x,x,#N/A,x,102481000,420000,984000,x,x,5,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,3551558,99944000,451000,478000,x,x,0,x,x,#N/A,x,99493000,90000,361000,x,x,5,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Floods in rainy season 2022,Floods,BRA003,Brazil,BRA,377437,18850000,355000,20000,940,x,46,x,x,#N/A,x,18496000,329000,25000,x,x,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Drought in the Amazonas,Drought,BRA004,Brazil,BRA,1559256,3941000,598000,12000,x,x,x,x,x,#N/A,x,3343000,0,598000,x,x,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,2344860,6100000,6100000,1543000,1,x,281,x,x,#N/A,x,0,2700000,2100000,1300000,0,6,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,1.0,3.0
Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,743532,19604000,13131000,444000,x,x,16,x,x,#N/A,x,6472000,12822000,310000,x,x,3,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,475440,25680000,3849000,2306000,150,x,497,x,x,#N/A,x,21831000,0,2477000,1372000,x,5,x,x,1.0,3.0,3.0,0.0,2.0,3.0,3.0,1.0,3.0
Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,34513,5179000,1555000,772000,x,x,279,x,x,#N/A,5.2,3623000,0,493000,1063000,x,4,x,x,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,2.0
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,88019,14851000,1686000,1179000,x,x,211,x,x,#N/A,x,13165000,0,1377000,309000,x,4,x,377500,1.0,3.0,3.0,0.0,2.0,3.0,3.0,1.0,3.0
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,231318,5650000,607000,354000,0,x,7,0,0,#N/A,x,5043000,0,607000,x,x,1,x,x,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,2344860,108584000,26429000,10499000,1,x,1827,x,x,#N/A,1700,82155000,529000,10300000,10800000,4800000,4,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,2.0,3.0
Complex crisis in Congo,Conflict,COG001,Congo,COG,341500,5800000,293000,226000,x,x,1,x,x,#N/A,x,5507000,159000,134000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,1109500,51600000,9800000,5447000,99,x,283,96400,x,#N/A,x,41800000,2100000,4206000,3100000,394000,3,x,x,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,34507,25541000,22318000,2890000,x,x,11,x,x,#N/A,x,3222000,16918000,2950000,2174000,276000,3,x,x,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,1003.42,2451000,235000,235000,x,x,x,x,x,#N/A,x,2215000,0,235000,x,x,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
