,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
,,,,MAX,,,,,,7,0.05,0.05,0.05,0.05,0.05,,
,,,,MIN,,,,,,4,,,,,,,
CRISIS,DRIVERS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,
Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,0,13.9,14.5,14.7,0,5,0,0.3225058004640371,0.33642691415313225,0.34106728538283065,0,4,4.5
Earthquake in Herat Province,Earthquake,AFG006,Afghanistan,AFG,1.9,1.486,0.071,0.043,0,1.8,0.5428571428571428,0.42457142857142854,0.020285714285714285,0.012285714285714285,0,2,1.9
Drought in South-West Angola,Drought,AGO002,Angola,AGO,0.483,0.683,1.167,0.417,0,3.7,0.17563636363636365,0.24836363636363637,0.4243636363636364,0.15163636363636362,0,4,3.85
Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,0.25,0.152,0.108,0,0,1.7,0.4892367906066536,0.2974559686888454,0.21135029354207435,0,0,3,2.35
Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,9.821,0.142,0.063,0,0,1.3,0.9795531617793737,0.014163175743068024,0.0062836624775583485,0,0,1,1.15
Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,6.959,4.174,1.156,0,0,3.4,0.5662787859060949,0.33965334852306944,0.09406786557083571,0,0,3,3.2
Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,16.919,0,2.582,1.947,0.089,4.4,0.7855783070994103,0,0.11988670659794771,0.09040256303106282,0.0041324232715791425,4,4.2
Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,0,0,1.246,0.257,0,3.6,0,0,0.8290086493679308,0.1709913506320692,0,4,3.8
Floods and Monsoon Rain in Chattogram Division,Floods,BGD009,Bangladesh,BGD,1.1,0.7,0.6,0,0,3,0.4583333333333333,0.2916666666666667,0.25,0,0,3,3
Complex crisis in Bangladesh,"Socio-political,Displacement,Floods,Cyclone,Food Security,Epidemic,Other seasonal event",BGD010,Bangladesh,BGD,16.983,116.262,27.341,10.209,0,5,0.09943557736220242,0.6807147792077005,0.16008173589236155,0.059773762544351676,0,4,4.5
Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,99.138,0.42,0.386,x,x,2.6,0.9919354838709677,0.004202353317858,0.0038621628111742577,x,x,1,1.8
Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,99.493,0.09,0.361,x,x,2.6,0.9954874729848715,0.000900504282398143,0.003612022732730329,x,x,1,1.8
Floods in rainy season 2022,Floods,BRA003,Brazil,BRA,18.496,0.329,0.025,x,x,0.7,0.9812201591511936,0.017453580901856763,0.001326259946949602,x,x,1,0.85
Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,0,2.665,2.649,0.778,0,4.2,0,0.43753078312264,0.4349039566573633,0.1277294368740765,0,4,4.1
Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,6.472,12.822,0.31,x,x,2.5,0.3301367067945317,0.6540501938379922,0.015813099367476026,x,x,2,2.25
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,21.831,0,2.477,1.372,x,4.3,0.8501168224299065,0,0.09645638629283489,0.053426791277258565,x,4,4.15
Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,3.623,0,0.493,1.063,x,3.7,0.6995558988221664,0,0.09519212203128016,0.20525197914655338,x,4,3.85
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,13.165,0,1.377,0.309,x,3.7,0.8864722914281866,0,0.09272102888694364,0.020806679684869704,x,3,3.35
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,5.043,0,0.607,x,x,3,0.892566371681416,0,0.10743362831858407,x,x,3,3
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,82.155,0.529,10.3,10.8,4.8,5,0.7566031827893612,0.004871804317394828,0.0948574375598615,0.09946216753849554,0.04420540779488691,4,4.5
