,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
,,,,MAX,6,,1,,7.5,,1,,,7.5,,1,,6.5,,0.15,,3.5,,0.0001,,,
,,,,MIN,3,,0.02,,6,,0.01,,,4.5,,0.01,,3,,0,,0,,0,,,
CRISIS,DRIVERS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,,,,,,,,,,,
Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,4.7,1.0000107220537329,5,4.85,5,1,5,5,4.9,5,1,5,5,5,0.5411600928074246,5,5,4,1.3874709976798143e-05,0.7,2.4,4.1,4.6
Earthquake in Herat Province,Earthquake,AFG006,Afghanistan,AFG,2.9,0.08390466562509573,0.3,1.5999999999999999,1.8,0.08120649651972157,0.4,1.1,1.4,2.8,0.45714285714285713,2.3,2.55,x,x,x,x,4.5,0.000925,5,4.8,4.8,3.9
Drought in South-West Angola,Drought,AGO002,Angola,AGO,5,1,5,5,1.5,0.07971014492753623,0.4,0.95,3.7,3.1,0.8243636363636364,4.1,3.5999999999999996,0,0,0,0,0,0,0,0,0,2.2
Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,1.8,0.4273972602739726,2.1,1.9500000000000002,0,0.16569390402075226,0.8,0.4,1.2,1.5,0.5107632093933464,2.5,2,2.9,0.38697318007662834,5,4,0.7,1.1494252873563218e-05,0.6,0.7,2.7,2.4
Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,2,0.1990975406167209,0.9,1.45,3.3,1,5,4.15,3.1,1.4,0.02054657889487333,0.1,0.75,2.9,0.49029126213592233,5,4,2.2,0.00017475728155339805,5,3.6,3.8,2.6
Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,2.3,1,5,3.65,3.6,1,5,4.3,4,3.7,0.4337212140939051,2.1,2.9000000000000004,4,0.11969981238273922,4,4,2.7,1.4821763602251408e-05,0.7,1.7,3.1,3
Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,3.7,0.6067251461988304,3,3.35,4.4,1,5,4.7,4.1,3.6,0.21442169290058968,1,2.3,4.8,0.47856214811606756,5,4.9,5,0.0007782589865742746,5,5,5,4
