,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,6,6,6,6,7,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,5.7,,
AFG006,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,6.5,,
AGO002,426,488,488,0,684,488,488,488,488,488,0,167,167,167,167,167,167,167,167,167,377.9,,
ARM002,104,0,0,0,0,0,0,0,0,0,104,166,166,166,166,166,166,166,166,166,27,,
AZE002,103,0,0,0,0,0,0,0,0,0,1091,166,166,166,166,166,166,166,166,166,125.7,,
BDI001,104,104,104,4,4,104,104,104,104,104,104,167,167,167,167,167,167,167,167,167,90.3,,
BFA002,245,118,118,0,0,118,118,118,118,118,0,169,169,169,169,169,169,169,169,169,87.7,,
BGD002,4,4,4,4,4,4,4,4,4,4,4,167,167,167,167,167,167,167,167,167,20.3,,
BGD009,4,4,4,4,4,4,4,4,4,4,4,63,63,63,63,63,63,63,63,63,9.9,,
BGD010,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,4.2,,
BRA001,31,31,31,31,31,31,31,31,31,31,31,167,167,167,167,167,167,167,167,167,44.6,,
BRA002,31,31,31,31,31,31,31,31,31,31,31,167,167,167,167,167,167,167,167,167,44.6,,
BRA003,31,31,31,31,31,31,31,31,31,31,31,167,167,167,167,167,167,167,167,167,44.6,,
CAF001,245,245,245,0,0,245,245,245,245,245,0,169,169,169,169,169,169,169,169,169,163.9,,
CHL002,31,31,31,31,18,31,31,31,31,31,31,168,168,168,168,168,168,168,168,168,43.4,,
CMR001,118,61,61,0,0,61,61,61,61,61,0,167,167,167,167,167,167,167,167,167,53.3,,
CMR002,118,61,61,0,0,61,61,61,61,61,0,167,167,167,167,167,167,167,167,167,53.3,,
CMR003,118,61,61,0,0,61,61,61,61,61,0,167,167,167,167,167,167,167,167,167,53.3,,
CMR004,118,61,61,0,0,61,61,61,61,61,0,167,167,167,167,167,167,167,167,167,53.3,,
