Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,652860,44500000,44500000,22915000,2010,x,1916,21300,3330,#N/A,x,0,20800000,11400000,12300000,0,4,x,543000,0.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0
Earthquake in Herat Province,Earthquake,AFG006,Afghanistan,AFG,54778,3500000,1600000,0,2100,x,1482,21300,3330,#N/A,x,1900000,1325000,232000,43000,0,2,x,x,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0
Drought in South-West Angola,Drought,AGO002,Angola,AGO,1246700,2750000,2267000,0,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,483000,683000,1167000,417000,0,1,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0
Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,16556,2165000,302000,150000,2,x,6,x,x,#N/A,x,1863000,152000,150000,0,0,2,x,x,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0
Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,16458,895000,206000,142000,248,x,2,x,x,#N/A,x,689000,201000,5000,0,0,3,x,x,2.0,3.0,2.0,0.0,3.0,2.0,1.0,3.0,2.0
Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,25680,12289000,6791000,595000,x,58,121,x,x,#N/A,444,5498000,5556000,1130000,105000,0,5,x,x,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,274220,23300000,6300000,2285000,1,x,3955,x,x,#N/A,x,17000000,0,3528000,2646000,126000,4,x,x,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0
Mutliple crises in Bangladesh,"Conflict,Violence,Displacement,Floods",BGD001,Bangladesh,BGD,147570,170807000,100780000,978000,x,x,26,x,x,#N/A,x,70027000,60895000,28746000,11139000,0,3,x,x,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0
Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,710.46,1522000,1522000,978000,x,x,26,x,x,#N/A,x,0,0,1300000,222000,x,3,x,x,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0
Chronic Food Security Crisis in Bangladesh,"Food Security,Socio-political,Cyclone,Floods,Other seasonal event",BGD012,Bangladesh,BGD,147570,169285000,99258000,0,0,x,0,x,x,#N/A,x,70027000,60895000,27446000,10917000,0,1,x,x,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Displacement from Russia-Ukraine conflict in Bulgaria,"Conflict,Displacement",BGR002,Bulgaria,BGR,108560,6538000,73000,73000,x,x,x,0,0,#N/A,x,6465000,0,73000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Displacement from Russia-Ukraine conflict in Belarus,"Displacement,Conflict",BLR002,Belarus,BLR,77187,11011000,339000,339000,x,x,0,0,0,#N/A,x,10672000,0,339000,0,0,2,x,x,2.0,1.0,1.0,0.0,3.0,2.0,0.0,3.0,0.0
Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,8358140,109824000,1099000,29000,x,x,1,x,x,#N/A,x,108725000,138000,961000,0,0,5,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,4494716,105883000,499000,510000,x,x,1,x,x,#N/A,x,105384000,138000,361000,0,0,5,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
