CRISIS,CRISIS ID,COUNTRY,Iso3,Total sq.km.,Total population,Ethnic Fractionalisation Index,Empowerment Rights Index,size of excluded ethnic groups,BTI - Democracy Status,Gender Inequality Index,Income Gini coefficient,Conflict Intensity (HIIK),People killed in all crises,Rule of Law (WGI),Rule of Law (BTI),Freedom in the World Index,CPI
,,,,Index,Index,%,Index,Index,Index,Index,Number,Index,Index,Index,Index,Number,sq. Km
Lake Chad basin regional crisis,REG001,"Nigeria, Niger, Chad, Cameroon","NGA, NER, TCD, CMR",3909380,21538000,0.8092625009250001,6.25,0.075,4.0333333335,0.6381952533333334,39.825,4.25,1766,-0.9582950472749999,3.9375,26.75,26
Venezuela Regional Crisis,REG002,"Venezuela, Brazil, Colombia, Ecuador, Peru, Trinidad and Tobago, Chile, Dominican Republic, Panama","VEN, BRA, COL, ECU, PER, TTO, CHL, DOM, PAN",12748423,837127000,0.37539587784444445,10,0.2035888888888889,6.737037037,0.39423033085555553,45.900000000000006,2.111111111111111,4004,-0.38842570284444444,6.25,68.55555555555556,37.111111111111114
Syrian Regional Crisis,REG004,"Syria, Türkiye, Iraq, Egypt, Jordan, Lebanon","SYR, TUR, IRQ, EGY, JOR, LBN",2481862,284679000,0.5096342366,3.5,0.32666666666666666,3.847222222166667,0.44548120716666667,34.31666666666667,3.8333333333333335,3143,-0.8694431111166668,3.4583333333333335,26.166666666666668,29.166666666666668
Eastern Mediterranean Route ,REG006,"Türkiye, Greece","TUR, GRC",898530,95407000,0.2414492393,8,0.18350000000000002,4.233333333,0.2136633259,37.4,3.5,6,-0.04206264765000001,3.5,59,41.5
Central Mediterranean Route,REG007,"Algeria, Tunisia, Libya, Italy","DZA, TUN, LBY, ITA",4592358,125889000,0.210782986625,5.75,0.068875,3.8777777776666666,0.2460642436,32.1,2,870,-0.580277027575,4.166666666666667,45.5,37.5
Western Mediterranean Route,REG008,"Algeria, Morocco, Spain","DZA, MAR, ESP",3327774.2,133023000,0.46699264916666666,6.333333333333333,0.324,4.0583333335,0.33649607749999993,33.93333333333334,2,156,0.009313091633333334,3.75,53,44.666666666666664
Rohingya Regional Crisis,REG011,"Bangladesh, Myanmar","BGD, MMR",782840,226778000,0.35558001200000006,3.5,0.2125,2.883333333,0.49717238359999993,31.549999999999997,4,8760,-0.84954610465,3.125,24,22
Southern Africa Regional Food Security Crisis,REG012,"Madagascar, Malawi, Namibia, Eswatini, Zambia, Zimbabwe, Tanzania","MDG, MWI, NAM, SWZ, ZMB, ZWE, TZA",3532610,164721000,0.49510271395714284,6.714285714285714,0.027285714285714285,5.2809523810000005,0.5429379452,49.84285714285715,1,3252,-0.5469783927857143,4.5,47.857142857142854,34.142857142857146
Nagorno-Karabakh Conflict,REG013,"Armenia, Azerbaijan","ARM, AZE",111120,13106000,0.0971256067,5,0.0365,5.2416666665000005,0.28972985065,28.25,3,6,-0.35427304355,4.5,30.5,35
Eastern Africa Regional Drought Crisis,REG014,"Ethiopia, Somalia, Kenya","ETH, SOM, KEN",2325051.3,208553000,0.5373860179333333,3.5,0.1178,3.75,0.52623597955,37.53333333333333,5,8820,-1.0927180548666666,3.25,26.666666666666668,26.333333333333332
Turkiye / Syria earthquake,REG015,"Türkiye, Syria","TUR, SYR",953260,107143000,0.47417823485,4,0.595,2.9916666665,0.42590098114999997,39.7,4.5,0,-1.1795133203000001,2.5,17,23.5
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
