,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,98,98,98,0,0,31,31,31,31,31,94,72,72,72,72,72,72,72,72,72,41.9,,
AFG006,99,99,99,99,62,0,0,0,0,0,94,72,72,72,72,72,72,72,72,72,42.6,,
AGO002,518,580,580,0,776,580,580,580,580,580,0,64,64,64,64,64,64,64,64,64,432,,
ARM002,31,0,0,0,0,0,0,0,0,0,196,65,65,65,65,65,65,65,65,65,26.1,,
AZE002,195,0,0,0,0,0,0,0,0,0,1183,65,65,65,65,65,65,65,65,65,124.8,,
BDI001,196,5,5,5,5,5,5,5,5,5,196,65,65,65,65,65,65,65,65,65,30.1,,
BFA002,337,210,210,0,0,210,210,210,210,210,0,64,64,64,64,64,64,64,64,64,132.4,,
BGD002,5,5,5,5,5,5,5,5,5,5,5,65,65,65,65,65,65,65,65,65,11,,
BGD010,77,35,35,35,35,35,35,35,35,35,77,65,65,65,65,65,65,65,65,65,42.2,,
BGR002,1,1,1,1,1,1,1,1,1,1,1,84,84,84,84,84,84,84,84,84,9.3,,
BLR002,1,1,1,1,1,1,1,1,1,1,1,84,84,84,84,84,84,84,84,84,9.3,,
BRA001,33,33,33,33,33,33,33,33,33,33,33,68,68,68,68,68,68,68,68,68,36.5,,
BRA002,33,33,33,33,33,33,33,33,33,33,33,68,68,68,68,68,68,68,68,68,36.5,,
BRA003,33,33,33,33,33,33,33,33,33,33,33,68,68,68,68,68,68,68,68,68,36.5,,
