,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,62,62,62,62,0,62,62,62,62,62,62,45,45,45,45,45,45,45,45,45,54.1,,
AFG006,104,104,104,104,38,104,104,104,104,104,276,45,45,45,45,45,45,45,45,45,108.7,,
AGO002,0,0,0,1,958,0,0,0,0,0,1,23,23,23,23,23,23,23,23,23,98.3,,
ARM002,62,62,62,62,0,62,62,62,62,62,62,49,49,49,49,49,49,49,49,49,54.5,,
AZE002,62,62,62,62,0,62,62,62,62,62,1365,48,48,48,48,48,48,48,48,48,184.7,,
BDI001,2,2,2,2,2,2,2,2,2,2,2,47,47,47,47,47,47,47,47,47,6.5,,
BEN002,110,110,110,110,110,110,110,110,110,110,110,38,38,38,38,38,38,38,38,38,102.8,,
BFA002,104,104,104,1,1,104,104,104,104,104,1,38,38,38,38,38,38,38,38,38,66.5,,
BGD001,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,5.5,,
BGD002,41,6,6,6,6,6,6,6,41,41,41,48,48,48,48,48,48,48,48,48,20.7,,
BGD012,41,6,41,41,41,41,41,41,41,41,41,48,48,48,48,48,48,48,48,48,41.7,,
BGD013,41,41,41,41,41,41,41,41,41,41,41,48,48,48,48,48,48,48,48,48,41.7,,
BGD014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
BGR002,6,6,6,6,6,6,6,6,6,6,6,43,43,43,43,43,43,43,43,43,9.7,,
BLR002,6,6,6,6,6,6,6,6,6,6,6,43,43,43,43,43,43,43,43,43,9.7,,
BRA001,0,0,0,0,0,0,0,0,0,0,0,44,44,44,44,44,44,44,44,44,4.4,,
BRA002,0,0,0,0,0,0,0,0,0,0,0,44,44,44,44,44,44,44,44,44,4.4,,
BRA004,0,0,0,0,0,0,0,0,0,0,0,44,44,44,44,44,44,44,44,44,4.4,,
CAF001,76,76,76,1,1,76,76,76,76,76,1,42,42,42,42,42,42,42,42,42,50.1,,
CHL002,0,0,0,0,0,0,0,0,0,0,0,43,43,43,43,43,43,43,43,43,4.3,,
CMR001,104,55,55,1,1,55,55,55,55,55,1,38,38,38,38,38,38,38,38,38,37.1,,
CMR002,392,55,55,1,1,55,55,55,55,55,1,40,40,40,40,40,40,40,40,40,37.3,,
CMR003,392,55,55,1,1,55,55,55,55,55,1,41,40,40,40,41,41,40,40,40,37.4,,
CMR004,392,55,55,1,1,55,55,55,55,55,1,38,38,38,38,38,38,25,38,38,37.1,,
COD001,104,76,76,1,1,76,76,76,76,76,1,42,42,42,42,42,42,42,42,42,50.1,,
COG001,92,92,92,1,1,92,92,92,92,92,1,30,30,30,30,30,30,30,30,30,58.5,,
COL001,4,4,4,4,4,4,4,4,4,4,4,43,43,43,43,43,43,43,43,43,7.9,,
COL002,4,4,4,4,4,4,4,4,4,4,4,43,43,43,43,43,43,43,43,43,7.9,,
CRI002,182,182,182,182,182,182,182,182,182,182,182,43,43,43,43,43,43,43,43,43,168.1,,
CZE002,6,6,6,6,6,6,6,6,6,6,6,43,43,43,43,43,43,43,43,43,9.7,,
DJI001,0,0,0,0,0,0,0,0,0,0,611,47,47,47,47,47,47,47,47,47,65.8,,
DJI002,0,0,0,0,0,0,0,0,0,0,611,47,47,47,47,47,47,47,47,47,65.8,,
DJI003,0,0,0,0,0,0,0,0,0,0,611,47,47,47,47,47,47,47,47,47,65.8,,
DOM002,0,0,0,0,0,0,0,0,0,0,0,43,43,43,43,43,43,43,43,43,4.3,,
DZA002,397,0,0,0,0,0,0,0,0,0,731,51,51,51,51,51,51,51,51,51,78.2,,
DZA003,397,0,0,0,0,0,0,0,0,0,731,51,51,51,51,51,51,51,51,51,78.2,,
DZA004,397,0,0,0,0,0,0,0,0,0,808,51,51,51,51,51,51,51,51,51,85.9,,
ECU002,0,0,0,0,0,0,0,0,0,0,0,43,43,43,43,43,43,43,43,43,4.3,,
EGY004,371,0,0,0,0,0,0,0,0,0,371,51,51,51,51,51,51,51,51,51,42.2,,
ERI001,2,2,2,2,2,2,2,2,2,2,805,48,48,48,48,48,48,48,48,48,86.9,,
ESP002,731,0,0,0,0,0,0,0,0,0,731,44,44,44,44,44,44,44,44,44,77.5,,
EST002,6,6,6,6,6,6,6,6,6,6,6,43,43,43,43,43,43,43,43,43,9.7,,
ETH001,0,0,0,0,0,0,0,0,0,0,103,43,43,43,43,43,43,43,43,43,14.6,,
ETH003,0,0,0,0,589,0,0,0,0,0,103,43,43,43,43,43,43,43,43,43,73.5,,
ETH004,0,0,0,0,0,0,0,0,0,0,103,43,43,43,43,43,43,43,43,43,14.6,,
ETH005,0,0,0,0,589,0,0,0,0,0,103,43,43,43,43,43,43,43,43,43,73.5,,
GRC002,31,31,31,31,31,31,31,31,31,31,31,49,49,49,49,49,49,49,49,49,32.8,,
GTM001,4,4,4,4,4,4,4,4,4,4,4,43,43,43,43,43,43,43,43,43,7.9,,
HND001,4,4,4,4,4,4,4,4,4,4,4,43,43,43,43,43,43,43,43,43,7.9,,
HTI001,4,4,4,4,4,4,4,4,4,4,4,43,43,43,43,43,43,43,43,43,7.9,,
HUN002,6,6,6,6,6,6,6,6,6,6,6,43,43,43,43,43,43,43,43,43,9.7,,
