,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,31,31,31,31,7,31,31,31,31,31,31,14,14,14,14,14,14,14,14,14,26.9,,
AFG006,73,73,73,73,7,73,73,73,73,73,245,14,14,14,14,14,14,14,14,14,77.7,,
AGO002,669,731,731,0,927,731,731,731,731,731,0,7,7,215,7,7,7,215,7,7,532,,
ARM002,31,31,31,31,7,31,31,31,31,31,31,18,18,18,18,18,18,18,18,18,27.3,,
AZE002,31,31,31,31,7,31,31,31,31,31,1334,17,17,17,17,17,17,17,17,17,157.5,,
BDI001,3,3,3,3,3,3,3,3,3,3,3,16,16,16,16,16,16,16,16,16,4.3,,
BEN002,79,79,79,79,79,79,79,79,79,79,79,7,7,7,7,7,7,7,7,7,71.8,,
BFA002,73,73,73,0,0,73,73,73,73,73,0,7,7,7,7,7,7,7,7,7,44.5,,
BGD001,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,17,17,17,17,17,10.7,,
BGD002,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,17,17,17,17,17,10.7,,
BGD012,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,17,17,17,17,17,10.7,,
BGD013,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,17,17,17,17,17,10.7,,
BGR002,66,44,44,44,44,44,66,44,66,66,66,12,12,12,12,12,12,12,12,12,49.6,,
BLR002,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,3.9,,
BRA001,32,32,32,32,32,32,32,32,32,32,32,13,13,13,13,13,13,13,13,13,30.1,,
BRA002,32,32,32,32,32,32,32,32,32,32,32,13,13,13,13,13,13,13,13,13,30.1,,
BRA004,32,32,32,32,32,32,32,32,32,32,32,13,13,13,13,13,13,13,13,13,30.1,,
CAF001,45,45,45,0,0,45,45,45,45,45,0,11,11,11,11,11,11,11,11,11,28.1,,
CHL002,61,61,61,61,61,61,61,61,61,61,61,12,12,12,12,12,12,12,12,12,56.1,,
CMR001,73,24,24,0,0,24,24,24,24,24,0,7,7,7,7,7,7,7,7,7,15.1,,
CMR002,361,24,24,0,0,24,24,24,24,24,0,9,9,9,9,9,9,9,9,9,15.3,,
CMR003,361,24,24,0,0,24,24,24,24,24,0,10,9,9,9,10,10,9,9,9,15.4,,
CMR004,361,24,24,0,0,24,24,24,24,24,0,7,7,7,7,7,7,7,7,7,15.1,,
COD001,73,45,45,0,0,45,45,45,45,45,0,11,11,11,11,11,11,11,11,11,28.1,,
COG001,61,61,61,0,0,61,61,61,61,61,0,215,215,215,215,3,215,215,215,215,58.1,,
COL001,72,72,72,72,72,72,72,72,72,72,72,12,12,12,12,12,12,12,12,12,66,,
COL002,72,72,72,72,72,72,72,72,72,72,72,12,12,12,12,12,12,12,12,12,66,,
CRI002,151,151,151,151,151,151,151,151,151,151,151,12,12,12,12,12,12,12,12,12,137.1,,
CZE002,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,3.9,,
DJI001,30,30,30,30,30,30,30,30,30,30,580,16,16,16,16,16,16,16,16,16,83.6,,
DJI002,30,30,30,30,30,30,30,30,30,30,580,16,16,16,16,16,16,16,16,16,83.6,,
DJI003,30,30,30,30,30,30,30,30,30,30,580,16,16,16,16,16,16,16,16,16,83.6,,
DOM002,32,32,32,32,32,32,32,32,32,32,32,12,12,12,12,12,12,12,12,12,30,,
DZA002,366,1,1,1,1,1,1,1,1,1,700,20,20,20,20,20,20,20,20,20,72.8,,
DZA003,366,1,1,1,1,1,1,1,1,1,700,20,20,20,20,20,20,20,20,20,72.8,,
DZA004,366,1,1,1,1,1,1,1,1,1,777,20,20,20,20,20,20,20,20,20,80.5,,
ECU002,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,10.2,,
EGY004,340,1,1,1,1,1,1,1,1,1,340,20,20,20,20,20,20,20,20,20,36.8,,
ERI001,3,3,3,3,3,3,3,3,3,3,774,17,17,17,17,17,17,17,17,17,81.5,,
ESP002,700,1,1,30,1,1,1,1,1,1,700,13,13,13,13,13,13,13,13,13,75,,
EST002,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,3.9,,
ETH001,30,30,30,30,30,30,30,30,30,30,72,12,12,12,12,12,12,12,12,12,32.4,,
ETH003,30,30,30,30,558,30,30,30,30,30,72,12,12,12,12,12,12,12,12,12,85.2,,
ETH004,30,30,30,30,30,30,30,30,30,30,72,12,12,12,12,12,219,12,12,12,32.4,,
