,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
,,,,MAX,,,,,,7,0.05,0.05,0.05,0.05,0.05,,
,,,,MIN,,,,,,4,,,,,,,
CRISIS,DRIVERS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,
Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,0,19.4,9,14.7,0,5,0,0.45011600928074247,0.2088167053364269,0.34106728538283065,0,4,4.5
Earthquake in Herat Province,Earthquake,AFG006,Afghanistan,AFG,1.9,1.325,0.232,0.043,0,2.4,0.5428571428571428,0.37857142857142856,0.06628571428571428,0.012285714285714285,0,3,2.7
Drought in South-West Angola,Drought,AGO002,Angola,AGO,0.483,0.683,1.167,0.417,0,3.7,0.17563636363636365,0.24836363636363637,0.4243636363636364,0.15163636363636362,0,4,3.85
Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,1.863,0.152,0.15,0,0,2,0.8605080831408776,0.07020785219399538,0.06928406466512702,0,0,3,2.5
Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,0.689,0.201,0.005,0,0,0,0.7698324022346369,0.2245810055865922,0.00558659217877095,0,0,2,1
Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,5.498,5.556,1.13,0.105,0,3.5,0.4473919765644072,0.4521116445601758,0.09195215233135325,0.008544226544063798,0,3,3.25
Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,16.919,0,2.582,1.947,0.089,4.4,0.7855783070994103,0,0.11988670659794771,0.09040256303106282,0.0041324232715791425,4,4.2
Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,0,0,1.263,0.257,0,3.6,0,0,0.8303747534516766,0.16896778435239973,0,4,3.8
Complex crisis in Bangladesh,"Socio-political,Displacement,Floods,Cyclone,Food Security,Epidemic,Other seasonal event",BGD010,Bangladesh,BGD,16.983,116.256,27.358,10.209,0,5,0.09942917361903926,0.680635812768947,0.1601709551828108,0.059769913058751206,0,4,4.5
Displacement from Russia-Ukraine conflict in Bulgaria,"Conflict,Displacement",BGR002,Bulgaria,BGR,6.465,0,0.073,0,0,1.4,0.9888345059651269,0,0.01116549403487305,0,0,1,1.2
Displacement from Russia-Ukraine conflict in Belarus,"Displacement,Conflict",BLR002,Belarus,BLR,9.228,0,0.043,0,0,1.1,0.9953618811347211,0,0.004638118865278826,0,0,1,1.05
Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,108.725,0.138,0.961,0,0,3.3,0.9899930798368298,0.001256555944055944,0.00875036421911422,0,0,1,2.15
Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,105.384,0.138,0.361,0,0,2.6,0.9952872510223548,0.001303325368567192,0.0034094236090779447,0,0,1,1.8
Drought in the Amazonas,Drought,BRA004,Brazil,BRA,3.341,0,0.6,0,0,3,0.8477543770616595,0,0.1522456229383405,0,0,3,3
Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,0,2.7,2.1,1.3,0,4.2,0,0.4426229508196721,0.3442622950819672,0.21311475409836064,0,4,4.1
Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,6.472,12.758,0.373,0,0,2.6,0.3301367067945317,0.6507855539685778,0.01902672923893083,0,0,2,2.3
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,21.831,0,2.477,1.372,x,4.3,0.8501168224299065,0,0.09645638629283489,0.053426791277258565,x,4,4.15
Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,3.623,0,0.493,1.063,x,3.7,0.6995558988221664,0,0.09519212203128016,0.20525197914655338,x,4,3.85
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,13.165,0,1.377,0.309,x,3.7,0.8864722914281866,0,0.09272102888694364,0.020806679684869704,x,3,3.35
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,5.043,0,0.607,x,x,3,0.892566371681416,0,0.10743362831858407,x,x,3,3
