CRISIS,CRISIS ID,COUNTRY,Iso3,Total sq.km.,Total population,Ethnic Fractionalisation Index,Empowerment Rights Index,size of excluded ethnic groups,BTI - Democracy Status,Gender Inequality Index,Income Gini coefficient,Conflict Intensity (HIIK),People killed in all crises,Rule of Law (WGI),Rule of Law (BTI),Freedom in the World Index,CPI
,,,,Index,Index,%,Index,Index,Index,Index,Number,Index,Index,Index,Index,Number,sq. Km
Lake Chad basin regional crisis,REG001,"Nigeria, Niger, Chad, Cameroon","NGA, NER, TCD, CMR",3909380,21538000,0.8092625009250001,6.25,0.075,4.0333333335,0.6381952533333334,38.35,4.25,1935,-0.9541311267500001,3.9200000000000004,26.75,26
Venezuela Regional Crisis,REG002,"Venezuela, Brazil, Colombia, Ecuador, Peru, Trinidad and Tobago, Chile, Dominican Republic, Panama","VEN, BRA, COL, ECU, PER, TTO, CHL, DOM, PAN",12748423,837127000,0.37539587784444445,10,0.2035888888888889,6.737037037,0.39423033085555553,45.277777777777786,2.111111111111111,4004,-0.44251449988888886,6.488888888888889,68.55555555555556,37.111111111111114
Syrian Regional Crisis,REG004,"Syria, Türkiye, Iraq, Egypt, Jordan, Lebanon","SYR, TUR, IRQ, EGY, JOR, LBN",2481862,284679000,0.5096342366,3.5,0.32666666666666666,3.847222222166667,0.44548120716666667,32.5,3.8333333333333335,3143,-0.9045622371666667,3.9600000000000004,26.166666666666668,29.166666666666668
Eastern Mediterranean Route ,REG006,"Türkiye, Greece","TUR, GRC",898530,95407000,0.2414492393,8,0.18350000000000002,4.233333333,0.2136633259,37.4,3.5,6,-0.06626562750000001,4.96,59,41.5
Central Mediterranean Route,REG007,"Algeria, Tunisia, Libya, Italy","DZA, TUN, LBY, ITA",4592358,125934000,0.210782986625,5.75,0.068875,3.8777777776666666,0.2460642436,32.1,2,839,-0.60580522575,4.1433333333333335,45.5,37.5
Western Mediterranean Route,REG008,"Algeria, Morocco, Spain","DZA, MAR, ESP",3327774.2,133006000,0.46699264916666666,6.333333333333333,0.324,4.0583333335,0.33649607749999993,33.93333333333334,2,75,-0.07661466300000001,4.77,53,44.666666666666664
Rohingya Regional Crisis,REG011,"Bangladesh, Myanmar","BGD, MMR",782840,226783000,0.35558001200000006,3.5,0.2125,2.883333333,0.49717238359999993,32.05,4,9702,-1.0649465915,3.14,24,22
Southern Africa Regional Food Security Crisis,REG012,"Madagascar, Malawi, Namibia, Eswatini, Zambia, Zimbabwe, Tanzania","MDG, MWI, NAM, SWZ, ZMB, ZWE, TZA",3532610,165238000,0.49510271395714284,6.714285714285714,0.027285714285714285,5.2809523810000005,0.5429379452,49.042857142857144,1,3252,-0.5082438311428571,4.805714285714286,47.857142857142854,34.142857142857146
Nagorno-Karabakh Conflict,REG013,"Armenia, Azerbaijan","ARM, AZE",111120,13106000,0.0971256067,5,0.0365,5.2416666665000005,0.28972985065,27.25,3,6,-0.39660640799999997,5.585,30.5,35
Eastern Africa Regional Drought Crisis,REG014,"Ethiopia, Somalia, Kenya","ETH, SOM, KEN",2325051.3,208921000,0.5373860179333333,3.5,0.1178,3.75,0.52623597955,37.53333333333333,5,8537,-1.0774211983333333,3.776666666666667,26.666666666666668,26.333333333333332
Turkiye / Syria earthquake,REG015,"Türkiye, Syria","TUR, SYR",953260,107143000,0.47417823485,4,0.595,2.9916666665,0.42590098114999997,34.25,4.5,0,-1.2637791185,3.2199999999999998,17,23.5
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
