,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,0.8,2.3,0.2,0,1.9,17.8,0,Very High
AFG006,1.2,1.8,0.2,1.7,1.7,16,1,High
AGO002,0.9,0.8,2,0,1.3,147.7,0,Very High
ARM002,0.9,2.5,0.2,0,2,15.5,0,Very High
AZE002,2.5,3.8,2.1,1.7,2.5,157.5,1,Medium
BDI001,0.7,2,0.2,0,1.8,13.5,0,Very High
BEN002,0.6,0.3,1.5,0,1.1,113.7,0,Very High
BFA002,0.8,1,1.5,0,1.4,110.1,0,Very High
BGD001,0.4,1,0.1,0,1.4,9.8,0,Very High
BGD002,0.5,1,0.4,0,1.4,28.9,0,Very High
BGD012,0.5,1,0.5,0,1.4,38.4,0,Very High
BGD013,0.8,1.8,0.6,0,1.7,43.3,0,Very High
BGD014,0.7,2,0.1,0,1.8,6.2,0,Very High
BGR002,0.7,2,0.2,0,1.8,12.2,0,Very High
BLR002,0.8,2.3,0.2,0,1.9,12.2,0,Very High
BRA001,1.3,3.8,0.2,0,2.5,17.2,0,High
BRA002,0.9,2.5,0.3,0,2,24.9,0,Very High
BRA004,2.5,3.8,0.3,3.3,2.5,24.9,2,Medium
BRA005,0.7,2,0.2,0,1.8,18.5,0,Very High
CAF001,1,1.8,1.3,0,1.7,93.7,0,Very High
CHL002,0.7,1.8,0.2,0,1.7,14.9,0,Very High
CMR001,1,1.8,1.1,0,1.7,80.7,0,Very High
CMR002,1,1.8,1.1,0,1.7,80.9,0,Very High
CMR003,1,1.8,1.1,0,1.7,81,0,Very High
CMR004,1,1.8,1.1,0,1.7,80.7,0,Very High
COD001,1,1.8,1.3,0,1.7,93.7,0,Very High
COG001,1.1,1.8,1.4,0,1.7,102.1,0,High
COL001,0.9,2,0.6,0,1.8,41.9,0,Very High
COL002,1,2.5,0.6,0,2,41.9,0,Very High
CRI002,1.4,3.5,0.6,0,2.4,41.9,0,High
CZE002,0.8,2.3,0.2,0,1.9,12.2,0,Very High
DJI001,1.1,2.3,1.1,0,1.9,78,0,High
DJI002,1,2,1.1,0,1.8,78,0,Very High
DJI003,1.1,2.3,1.1,0,1.9,78,0,High
DOM002,2.1,2.3,0.6,3.3,1.9,41.9,2,Medium
DZA002,1.6,3.5,1.2,0,2.4,91.2,0,High
DZA003,1.8,4.3,1.2,0,2.7,91.2,0,High
DZA004,1.7,3.8,1.3,0,2.5,98.9,0,High
ECU002,0.8,2.3,0.2,0,1.9,14.9,0,Very High
EGY004,1.1,2.5,0.8,0,2,56,0,High
ERI001,1.6,3.3,1.4,0,2.3,99.9,0,High
ESP002,1.2,2.5,1.2,0,2,91.3,0,High
EST002,0.8,2.3,0.2,0,1.9,12.2,0,Very High
ETH001,1,2.5,0.4,0,2,26.8,0,Very High
ETH003,2,3,1.2,1.7,2.2,91.8,1,High
ETH004,1.1,3,0.4,0,2.2,26.8,0,High
ETH005,1.2,2.5,1.2,0,2,91.8,0,High
GRC002,1.3,2.8,1.1,0,2.1,84.6,0,High
GTM001,1.1,2.8,0.6,0,2.1,41.9,0,High
HND001,1.5,3.8,0.6,0,2.5,41.9,0,High
HTI001,1.1,3,0.2,0,2.2,14.9,0,High
HUN002,0.8,2.3,0.2,0,1.9,12.2,0,Very High
IDN002,1.2,3,0.5,0,2.2,39.8,0,High
IND006,0.7,2,0,0,1.8,3,0,Very High
IRN004,1.5,4.3,0.2,0,2.7,14.9,0,High
IRQ001,0.8,2.3,0.2,0,1.9,15.4,0,Very High
IRQ002,0.9,2.5,0.2,0,2,14.8,0,Very High
IRQ003,0.9,2,0.6,0,1.8,45.4,0,Very High
ITA002,1.2,2.3,1.2,0,1.9,91.3,0,High
JOR002,1.3,3.8,0.2,0,2.5,15.4,0,High
KEN001,1.3,3.5,0.5,0,2.4,37.8,0,High
KEN002,1.3,2,0.2,1.7,1.8,16.8,1,High
KEN003,0.8,2.3,0.2,0,1.9,13.7,0,Very High
LAO004,0.7,2,0,0,1.8,2.4,0,Very High
LBN002,0.8,2.3,0.2,0,1.9,15,0,Very High
LBN006,0.7,2,0.2,0,1.8,15,0,Very High
LBY001,0.7,2,0.1,0,1.8,10,0,Very High
LBY002,1.1,2,1.2,0,1.8,91.4,0,High
LBY003,0.8,1.8,0.7,0,1.7,49.3,0,Very High
LBY004,0.2,0.5,0.1,0,1.2,10.1,0,Very High
LKA004,0.8,1.8,0.5,0,1.7,39.8,0,Very High
LSO004,1.4,2.5,0.1,1.7,2,6.2,1,High
LTU002,0.8,2.3,0.2,0,1.9,12.2,0,Very High
LVA002,0.8,2.3,0.2,0,1.9,12.2,0,Very High
MAR001,1.5,3.8,0.7,0,2.5,49.8,0,High
MAR002,1.7,4,1.2,0,2.6,91.3,0,High
MAR003,1.2,3,0.7,0,2.2,49,0,High
MDA002,0.7,2,0.2,0,1.8,12.2,0,Very High
MDG001,0.7,1.8,0.3,0,1.7,23.2,0,Very High
MDG002,0.9,2.3,0.5,0,1.9,35.4,0,Very High
MDG009,0.9,2.3,0.3,0,1.9,23.2,0,Very High
MEX001,1.4,4,0.2,0,2.6,13.1,0,High
MEX002,1.2,3.5,0.2,0,2.4,13.1,0,High
MEX003,1.3,3.8,0.2,0,2.5,13.1,0,High
MLI001,0.5,0.3,1.2,0,1.1,87,0,Very High
MMR001,0.7,1.8,0.2,0,1.7,15.5,0,Very High
MMR002,0.8,2,0.5,0,1.8,39.9,0,Very High
MMR003,0.8,1.8,0.5,0,1.7,39.9,0,Very High
MMR004,0.8,1.8,0.5,0,1.7,39.9,0,Very High
MMR006,0.9,2.5,0.2,0,2,15.5,0,Very High
MOZ001,1,2.8,0.1,0,2.1,10.6,0,Very High
MOZ004,1.1,3,0.4,0,2.2,26.9,0,High
MOZ011,0.9,2.3,0.4,0,1.9,26.9,0,Very High
MOZ012,1.2,2.8,0.8,0,2.1,59.4,0,High
MRT002,0.8,1.5,0.9,0,1.6,63.8,0,Very High
MRT003,1.2,0.8,1,1.7,1.3,74.6,1,High
MWI002,0.9,1.8,0.9,0,1.7,63,0,Very High
MYS001,0.9,2.3,0.4,0,1.9,30.5,0,Very High
NAM002,2.4,1.5,4.1,1.7,1.6,298.3,1,Medium
NER002,0.9,1.5,1.2,0,1.6,88.5,0,Very High
NER003,0.9,1.5,1.2,0,1.6,88.5,0,Very High
NER004,0.9,1.5,1.2,0,1.6,88.5,0,Very High
NER006,1,2.3,0.7,0,1.9,51.5,0,Very High
NGA001,1.5,4,0.4,0,2.6,29.8,0,High
NGA003,0.8,2.3,0.2,0,1.9,13.7,0,Very High
NGA004,1.1,3,0.2,0,2.2,13.7,0,High
NGA007,1.2,3.5,0.2,0,2.4,13.7,0,High
NGA008,1.4,2.3,0.2,1.7,1.9,13.7,1,High
NIC001,1.6,2.5,0.6,1.7,2,41.9,1,High
PAK001,0.7,2,0.2,0,1.8,15.3,0,Very High
PAK004,2.6,1.3,3.3,3.3,1.5,239.8,2,Medium
PAK005,0.9,2.5,0.2,0,2,14.7,0,Very High
PAN002,1,2.5,0.6,0,2,41.9,0,Very High
PER002,0.8,2.3,0.2,0,1.9,14.9,0,Very High
PHL001,0.8,2.3,0.1,0,1.9,8.5,0,Very High
PHL003,1.1,3,0.4,0,2.2,29,0,High
PHL015,0.8,2.3,0.1,0,1.9,8.5,0,Very High
PNG001,0.8,2,0.5,0,1.8,36.5,0,Very High
PNG003,0.9,2,0.6,0,1.8,43,0,Very High
PNG005,0.6,1.3,0.5,0,1.5,40,0,Very High
POL002,0.7,2,0.2,0,1.8,12.2,0,Very High
PRK001,1.2,3.5,0.2,0,2.4,15.8,0,High
PSE002,0.8,2.3,0.2,0,1.9,15.5,0,Very High
PSE003,0.4,1,0.2,0,1.4,15.5,0,Very High
PSE004,0.7,2,0.2,0,1.8,15.5,0,Very High
REG001,1.4,0.3,3.9,0,1.1,282.3,0,High
REG002,2.6,2.8,5,0,2.1,713.9,0,Medium
REG004,2.1,2.5,3.8,0,2,279.8,0,Medium
REG006,1.4,2.8,1.3,0,2.1,93.1,0,High
REG007,1.2,2.3,1.2,0,1.9,87.7,0,High
REG008,1.2,2.3,1.2,0,1.9,87.7,0,High
REG011,0.7,1.8,0.4,0,1.7,27.4,0,Very High
REG012,0.5,1.5,0.1,0,1.6,10.3,0,Very High
REG013,1.3,2.5,1.3,0,2,94.5,0,High
