,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
AFG001,701,77,674,15,31,77,77,77,77,77,90,34,34,34,34,34,34,34,34,34,122.9
DZA002,398,329,204,204,37,398,398,398,398,398,204,34,34,34,34,34,34,34,34,34,267.3
DZA003,329,685,398,398,37,398,398,398,398,398,685,34,34,34,34,34,34,34,34,34,354.2
DZA004,191,191,191,191,37,191,191,191,191,191,191,34,34,34,34,34,34,34,34,34,159.9
REG008,615,615,615,615,14,615,615,615,615,615,615,31,31,31,31,31,31,31,31,31,496.5
REG007,615,615,615,615,14,615,615,615,615,615,615,31,31,31,31,31,31,31,31,31,496.5
ARM002,36,14,14,14,36,57,57,57,57,57,57,36,36,36,36,36,36,36,36,36,44.2
REG013,36,9,9,9,57,57,57,57,57,57,57,36,36,36,36,36,36,36,36,36,45.3
AZE002,57,14,14,9,36,57,57,57,57,57,57,36,36,36,36,36,36,36,36,36,43.7
BGD002,588,15,34,15,31,15,15,15,15,15,276,34,34,34,34,34,34,34,34,34,46.5
REG011,276,15,15,15,31,15,15,15,15,15,64,31,31,31,31,31,31,31,31,31,23.1
BRA002,398,86,86,86,86,86,86,86,86,86,685,426,426,426,426,426,426,426,426,426,179.9
BFA002,195,36,36,36,9,77,77,77,77,77,685,36,36,36,36,36,36,36,36,36,118.7
BFA003,93,93,62,93,9,62,62,62,62,62,93,36,36,36,36,36,36,36,36,36,60.3
BFA004,62,36,36,36,9,62,62,62,62,62,62,36,36,36,36,36,36,36,36,36,48.9
BDI001,86,62,62,35,35,62,62,62,62,62,673,35,35,35,35,35,35,35,35,35,115
CMR001,499,62,62,31,31,127,127,127,127,127,687,35,35,35,35,35,35,35,35,35,148.1
CMR002,499,127,127,31,31,127,127,127,127,127,612,35,35,35,35,35,35,35,35,35,147.1
CMR003,687,127,127,31,31,127,127,127,127,127,499,35,35,35,35,35,35,35,35,35,135.8
CMR004,687,31,31,31,31,31,31,31,31,31,687,35,35,35,35,35,35,35,35,35,97
CAF001,688,9,9,9,9,65,65,65,65,65,276,36,36,36,36,36,36,36,36,36,66.4
TCD001,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
TCD003,685,9,9,9,9,77,77,77,77,77,685,35,35,35,35,35,35,35,35,35,113.2
TCD004,282,282,282,9,685,282,282,282,282,282,685,35,35,35,35,35,35,35,35,35,310.6
TCD005,282,282,282,9,9,282,282,282,282,282,685,35,35,35,35,35,35,35,35,35,243
TCD006,685,282,282,685,9,155,155,155,155,155,427,35,35,35,35,35,35,35,35,35,221.3
TCD008,62,62,62,90,90,62,62,62,62,62,90,35,35,35,35,35,35,35,35,35,67.7
COL001,85,13,246,13,31,77,77,77,77,77,686,426,426,426,426,426,426,426,426,426,178.7
COL002,13,13,13,13,329,13,86,13,13,86,686,426,426,426,426,426,426,426,426,426,167.8
COL003,13,13,13,31,31,13,13,13,31,31,31,31,31,31,31,31,31,31,31,31,23.8
COG004,57,56,36,57,57,36,36,36,36,36,57,36,36,36,36,36,36,36,36,36,42.3
CRI002,329,86,86,86,184,86,86,86,86,86,630,427,427,427,427,427,427,427,427,427,184.3
DJI001,85,380,132,380,34,76,85,85,85,85,380,32,32,32,32,32,32,32,32,32,137.4
DJI002,85,398,398,398,34,521,611,398,521,686,686,426,426,426,426,426,426,426,426,426,467.9
DJI003,85,85,398,645,34,85,85,85,85,85,584,426,426,426,426,426,426,426,426,426,251.2
PRK001,703,407,407,426,31,276,276,276,276,276,703,34,34,34,34,34,34,34,34,34,298.1
COD001,87,154,426,35,31,77,77,77,77,77,687,35,35,35,35,35,35,35,35,35,159.9
COD003,185,185,185,185,185,185,185,185,185,185,185,35,35,35,35,57,35,35,35,35,170
ECU002,329,329,34,34,184,34,34,34,34,34,686,31,31,31,31,31,31,31,31,31,113.9
EGY002,246,204,204,204,32,204,204,204,204,246,689,32,32,32,32,32,32,32,32,32,222.3
SLV001,85,86,86,86,31,86,86,86,86,86,687,427,427,427,427,427,427,427,427,427,174.7
ERI001,85,406,406,32,32,32,32,32,32,32,687,32,32,32,32,32,32,32,32,32,134.9
SWZ001,86,62,62,322,62,62,62,62,62,62,328,35,35,35,35,35,35,35,35,35,111.9
ETH001,85,246,246,185,31,85,85,85,85,85,685,32,32,32,32,32,32,32,32,32,160.4
ETH002,209,73,85,85,209,132,132,132,132,132,209,209,208,209,208,209,208,209,209,209,145.7
ETH003,183,183,132,132,183,132,132,132,132,132,132,178,178,178,178,178,178,178,178,178,141.7
ETH004,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
GRC002,611,9,9,9,9,9,9,9,9,9,695,35,35,35,35,35,35,35,35,35,80.2
GTM001,85,86,86,86,13,13,13,13,13,86,552,427,427,427,427,427,427,427,427,427,130.2
GTM003,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
HTI001,703,86,86,86,32,86,86,86,86,86,703,56,56,56,56,56,56,56,56,56,139.3
HND001,85,86,86,86,31,13,13,13,13,86,687,427,427,427,427,427,427,427,427,427,145.5
HND002,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
IND001,34,34,34,34,31,34,34,34,34,34,209,34,34,34,34,34,34,34,34,34,51.2
