,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
,,,,MAX,,,,,,7,0.05,0.05,0.05,0.05,0.05,,
,,,,MIN,,,,,,4,,,,,,,
CRISIS,TYPE OF CRISIS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,
Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,0,21.7,10.447,3.553,0,5,0,0.6078431372549019,0.2926330532212885,0.09952380952380953,0,4,4.5
Mixed migration flows in Algeria,International displacement,DZA002,Algeria,DZA,x,x,x,x,x,x,x,x,x,x,x,x,x
Sahrawi refugees in Algeria,International displacement,DZA003,Algeria,DZA,0.049,0.084,0.09,0,0,1.6,0.21973094170403587,0.37668161434977576,0.40358744394618834,0,0,3,2.3
Multiple crises in Algeria,Multiple crises country,DZA004,Algeria,DZA,x,x,x,x,x,x,x,x,x,x,x,x,x
Western Mediterranean Route,Regional crisis,REG008,"Algeria, Morocco, Spain","DZA, MAR, ESP",x,x,x,x,x,x,x,x,x,x,x,x,x
Central Mediterranean Route,Regional crisis,REG007,"Algeria, Tunisia, Libya, Italy","DZA, TUN, LBY, ITA",x,x,x,x,x,x,x,x,x,x,x,x,x
Nagorno-Karabakh Conflict in Armenia,Conflict,ARM002,Armenia,ARM,x,x,x,x,x,x,x,x,x,x,x,x,x
Nagorno-Karabakh Conflict,Regional crisis,REG013,"Armenia, Azerbaijan","ARM, AZE",x,x,x,x,x,x,x,x,x,x,x,x,x
Nagorno-Karabakh conflict in Azerbaijan,Conflict,AZE002,Azerbaijan,AZE,x,x,x,x,x,x,x,x,x,x,x,x,x
Rohingya refugee crisis,International displacement,BGD002,Bangladesh,BGD,0,0.472,0.657,0.207,0,3.2,0,0.3532934131736527,0.49176646706586824,0.15494011976047903,0,4,3.6
Rohingya Regional Crisis,Regional crisis,REG011,"Bangladesh, Myanmar","BGD, MMR",2.318,1.281,0.908,0.711,0,3.7,0.44423150632426217,0.24549635875814488,0.17401303181295516,0.1362591031046378,0,4,3.85
Venezuela displacement in Brazil,International displacement,BRA002,Brazil,BRA,0.207,0.399,0.264,0,0,2.4,0.23793103448275862,0.4586206896551724,0.30344827586206896,0,0,3,2.7
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,3.459,3.107,0.49,0.764,0.916,3.9,0.3959478021978022,0.3556547619047619,0.05608974358974359,0.08745421245421245,0.10485347985347986,5,4.45
Floods in Burkina Faso,Flood,BFA003,Burkina Faso,BFA,21.032,0.056,0.05,0,0,1.2,0.9949853344687293,0.0026492572618033875,0.00236540826946731,0,0,1,1.1
Multiple crises in Burkina Faso,Multiple crises country,BFA004,Burkina Faso,BFA,15.755,3.163,0.54,0.764,0.916,3.9,0.7453048867023038,0.14962864846965324,0.02554520081366195,0.03614172855858839,0.043332229528359904,4,3.95
Complex in Burundi,Complex crisis,BDI001,Burundi,BDI,6.368,3.955,1.206,0.128,0,3.5,0.5462812044265248,0.33928111864115984,0.10345715021017414,0.010980526722141202,0,3,3.25
Multiple crises in Cameroon,Multiple crises country,CMR001,Cameroon,CMR,5.124,3.855,1.543,0.185,0,3.7,0.49670414889492054,0.37369135323768904,0.14957347809228383,0.017933307483520743,0,3,3.35
Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,1.857,1.879,0.553,0.089,0,3,0.4241662859753312,0.4291914116034719,0.12631338510735496,0.020328917313841937,0,3,3
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,1.611,1.976,0.69,0.097,0,3.2,0.3683127572016461,0.45176040237768633,0.15775034293552812,0.02217649748513946,0,3,3.1
CAR refugees in Cameroon,International displacement,CMR004,Cameroon,CMR,1.277,0,0.288,0,0,2.4,0.8159744408945687,0,0.1840255591054313,0,0,3,2.7
Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,0,2.1,0.9,1.9,0,4.1,0,0.42857142857142855,0.1836734693877551,0.3877551020408163,0,4,4.05
Multiple crises in Chad,Multiple crises country,TCD001,Chad,TCD,9.175,1.207,4.736,1.472,0.192,4.7,0.5467167202955547,0.07192229769991658,0.2822071266833512,0.08771302586104159,0.01144082946013586,4,4.35
