,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.3,2.3,1.7,0,1.9,122.9,0,High
DZA002,4.4,x,3.7,5,x,267.3,3,Very Low
DZA003,2.9,3.8,4.9,0,2.5,354.2,0,Medium
DZA004,3.6,x,2.2,5,x,159.9,3,Low
REG008,5,x,5,5,x,496.5,5,Very Low
REG007,5,x,5,5,x,496.5,5,Very Low
ARM002,2,x,0.6,3.3,x,44.2,2,High
REG013,2,x,0.6,3.3,x,45.3,2,High
AZE002,2,x,0.6,3.3,x,43.7,2,High
BGD002,0.8,1.8,0.6,0,1.7,46.5,0,Very High
REG011,0.8,2,0.3,0,1.8,23.1,0,Very High
BRA002,1.7,2.5,2.5,0,2,179.9,0,High
BFA002,1.3,2.3,1.6,0,1.9,118.7,0,High
BFA003,1.6,2.3,0.8,1.7,1.9,60.3,1,High
BFA004,1.6,2.5,0.7,1.7,2,48.9,1,High
BDI001,1.2,2,1.6,0,1.8,115,0,High
CMR001,1.3,2,2,0,1.8,148.1,0,High
CMR002,1.3,1.8,2,0,1.7,147.1,0,High
CMR003,1.4,2.3,1.9,0,1.9,135.8,0,High
CMR004,1.8,2.3,1.3,1.7,1.9,97,1,High
CAF001,1.6,3.8,0.9,0,2.5,66.4,0,High
TCD001,1.2,3.5,0.1,0,2.4,9,0,High
TCD003,1.8,4,1.5,0,2.6,113.2,0,High
TCD004,2.2,2.3,4.3,0,1.9,310.6,0,Medium
TCD005,1.9,2.5,3.3,0,2,243,0,High
TCD006,2.3,3.8,3,0,2.5,221.3,0,Medium
TCD008,1.6,3.8,0.9,0,2.5,67.7,0,High
COL001,1.6,2.3,2.4,0,1.9,178.7,0,High
COL002,2.1,2.3,2.3,1.7,1.9,167.8,1,Medium
COL003,1.4,2.3,0.3,1.7,1.9,23.8,1,High
COG004,3.1,3.8,0.6,5,2.5,42.3,3,Low
CRI002,1.6,2.3,2.5,0,1.9,184.3,0,High
DJI001,2.2,3,1.9,1.7,2.2,137.4,1,Medium
DJI002,2.6,2.8,5,0,2.1,467.9,0,Medium
DJI003,2.3,3.5,3.4,0,2.4,251.2,0,Medium
PRK001,2.9,2.8,4.1,1.7,2.1,298.1,1,Medium
COD001,1.6,2.5,2.2,0,2,159.9,0,High
COD003,3.1,3.8,2.3,3.3,2.5,170,2,Low
ECU002,1.3,2.3,1.6,0,1.9,113.9,0,High
EGY002,1.7,2,3,0,1.8,222.3,0,High
SLV001,1.5,2,2.4,0,1.8,174.7,0,High
ERI001,1.9,4,1.8,0,2.6,134.9,0,High
SWZ001,2.8,2,1.5,5,1.8,111.9,3,Medium
ETH001,1.6,2.5,2.2,0,2,160.4,0,High
ETH002,1.2,1.5,2,0,1.6,145.7,0,High
ETH003,2,2.3,1.9,1.7,1.9,141.7,1,High
ETH004,1.1,3,0.4,0,2.2,31,0,High
GRC002,1,1.8,1.1,0,1.7,80.2,0,Very High
GTM001,1.1,1.5,1.8,0,1.6,130.2,0,High
GTM003,0.9,2.3,0.4,0,1.9,31,0,Very High
HTI001,1.3,2,1.9,0,1.8,139.3,0,High
HND001,1.2,1.5,2,0,1.6,145.5,0,High
HND002,0.9,2.3,0.4,0,1.9,31,0,Very High
IND001,2.1,3.8,0.7,1.7,2.5,51.2,1,Medium
IND002,4.5,3.5,5,5,2.4,493.8,3,Very Low
IND005,1.5,3.8,0.8,0,2.5,59.9,0,High
REG003,4.2,x,5,3.3,x,404.6,2,Very Low
IDN002,3.7,x,4,3.3,x,294.4,2,Low
IRN004,2.4,4.3,2.9,0,2.7,209.1,0,Medium
IRQ001,1.1,2.5,0.8,0,2,59.1,0,High
IRQ002,1.3,2.3,1.6,0,1.9,118,0,High
IRQ003,1.3,2.5,1.4,0,2,99.9,0,High
ITA002,3.5,2.3,5,3.3,1.9,631,2,Low
JOR002,1,2.5,0.6,0,2,46.3,0,Very High
KEN001,1.5,2,2.6,0,1.8,189.3,0,High
KEN002,2.7,2,4.3,1.7,1.8,314.9,1,Medium
KEN003,3.4,2,4.9,3.3,1.8,355.9,2,Low
