,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.2,2.3,1.3,0,1.9,93.8,0,High
DZA002,4.1,x,3.2,5,x,236.3,3,Very Low
DZA003,2.7,3.8,4.4,0,2.5,323.2,0,Medium
DZA004,3.4,x,1.8,5,x,128.9,3,Low
REG008,5,x,5,5,x,467.2,5,Very Low
REG007,5,x,5,5,x,467.2,5,Very Low
ARM002,1.8,x,0.2,3.3,x,17.6,2,High
REG013,1.8,x,0.3,3.3,x,19.7,2,High
AZE002,1.8,x,0.3,3.3,x,21.8,2,High
BGD001,1.3,3.5,0.3,0,2.4,20.2,0,High
BGD002,0.6,1.5,0.4,0,1.6,26.9,0,Very High
BGD003,0.8,2,0.3,0,1.8,24.9,0,Very High
REG011,0.7,2,0.1,0,1.8,5.4,0,Very High
BRA002,1.5,2.5,2,0,2,148.9,0,High
BFA002,1.2,2.3,1.2,0,1.9,89.9,0,High
BFA003,1.5,2.3,0.5,1.7,1.9,34.6,1,High
BFA004,1.5,2.5,0.3,1.7,2,20.1,1,High
BDI001,1,2,1.1,0,1.8,84,0,Very High
CMR001,1.2,2,1.6,0,1.8,117.1,0,High
CMR002,1.1,1.8,1.6,0,1.7,116.1,0,High
CMR003,1.2,2.3,1.4,0,1.9,104.8,0,High
CMR004,1.6,2.3,0.9,1.7,1.9,66,1,High
CAF001,1.6,3.8,1.1,0,2.5,82,0,High
TCD001,1.8,3.5,1.8,0,2.4,131.7,0,High
TCD003,1.7,4,1.2,0,2.6,90,0,High
TCD004,2.1,2.3,3.9,0,1.9,282.2,0,Medium
TCD005,1.8,2.5,3,0,2,217.2,0,High
TCD006,2.1,3.8,2.6,0,2.5,192.9,0,Medium
TCD008,1.3,3.5,0.5,0,2.4,36.7,0,High
COL001,1.3,2,2,0,1.8,149.5,0,High
COL002,2,2.3,2,1.7,1.9,145.8,1,High
COL003,1.3,2.3,0,1.7,1.9,0,1,High
COG004,3,3.8,0.1,5,2.5,11.3,3,Medium
CRI002,1.5,2.3,2.1,0,1.9,153.3,0,High
DJI001,2,3,1.4,1.7,2.2,106.4,1,High
DJI002,2.6,2.8,5,0,2.1,436.9,0,Medium
DJI003,2.2,3.5,3,0,2.4,220.2,0,Medium
PRK001,2.7,2.8,3.7,1.7,2.1,267.1,1,Medium
COD001,1.4,2.5,1.8,0,2,128.9,0,High
COD003,3,3.8,1.9,3.3,2.5,139,2,Medium
ECU002,1.1,2.3,1.1,0,1.9,82.9,0,High
EGY002,1.5,2,2.6,0,1.8,191.3,0,High
SLV001,1.3,2,2,0,1.8,143.7,0,High
ERI001,1.8,4,1.4,0,2.6,103.9,0,High
SWZ001,2.7,2,1.1,5,1.8,80.9,3,Medium
ETH001,1.4,2.5,1.8,0,2,129.4,0,High
ETH002,1,1.5,1.6,0,1.6,114.7,0,Very High
ETH003,1.8,2.3,1.5,1.7,1.9,110.7,1,High
ETH004,1,3,0,0,2.2,0,0,Very High
GRC002,1,1.8,1.3,0,1.7,96,0,Very High
GTM001,1.1,1.5,1.8,0,1.6,130.2,0,High
GTM003,0.8,2.3,0,0,1.9,0,0,Very High
HTI001,1.2,2,1.5,0,1.8,108.3,0,High
HND001,1.2,1.5,2,0,1.6,143.7,0,High
HND002,0.8,2.3,0,0,1.9,0,0,Very High
IND001,1.9,3.8,0.3,1.7,2.5,20.2,1,High
IND002,4.5,3.5,5,5,2.4,462.8,3,Very Low
IND005,1.4,3.8,0.4,0,2.5,28.9,0,High
REG003,4.2,x,5,3.3,x,373.6,2,Very Low
IDN002,3.5,x,3.6,3.3,x,263.4,2,Low
IRN004,2.2,4.3,2.4,0,2.7,178.1,0,Medium
IRQ001,1,2.5,0.4,0,2,28.1,0,Very High
IRQ002,1.2,2.3,1.2,0,1.9,87,0,High
IRQ003,1.1,2.5,0.9,0,2,68.9,0,High
JOR002,0.9,2.5,0.2,0,2,15.3,0,Very High
KEN001,1.4,2,2.2,0,1.8,158.3,0,High
KEN002,2.5,2,3.9,1.7,1.8,283.9,1,Medium
KEN003,3.2,2,4.4,3.3,1.8,324.9,2,Low
KEN005,2.7,3.8,2.5,1.7,2.5,185.4,1,Medium
LBN002,1.4,3.3,1,0,2.3,73.5,0,High
LBN004,2.1,3.5,1.1,1.7,2.4,83.2,1,Medium
LBN005,1.5,3.5,1.1,0,2.4,84.4,0,High
LSO002,1.5,2.3,2.2,0,1.9,158.2,0,High
REG012,0.8,2,0.4,0,1.8,29.5,0,Very High
LBY001,1.4,2,2.2,0,1.8,157.7,0,High
LBY002,1,2,0.9,0,1.8,63.4,0,Very High
MDG002,2,2,2.3,1.7,1.8,171.8,1,High
MDG004,1.8,2,3.3,0,1.8,238.4,0,High
MDG005,1.4,2.3,2,0,1.9,145.2,0,High
MWI002,1.7,2,1.5,1.7,1.8,111.1,1,High
MLI001,1.5,2,2.6,0,1.8,188.4,0,High
MRT002,2.5,2.3,1.9,3.3,1.9,142.4,2,Medium
MRT003,2.7,2.3,0.7,5,1.9,50.1,4,Medium
MEX001,4.9,x,4.7,5,x,343,3,Very Low
MEX002,3.9,x,4.5,3.3,x,326.4,2,Low
MEX003,3.1,x,4.4,1.7,x,323.8,1,Low
MEX004,0.7,2,0,0,1.8,0,0,Very High
MAR002,4.5,x,3.9,5,x,284.4,3,Very Low
MOZ001,1.1,2.3,1,0,1.9,74.8,0,High
MOZ004,0.8,2,0.5,0,1.8,40.7,0,Very High
