CRISIS,ISO3,Ethnic Fractionalisation Index,Empowerment Rights Index,size of excluded ethnic groups,BTI - Democracy Status,Gender Inequality Index,Income Gini coefficient,Conflict Intensity (HIIK),People killed in all crises,Rule of Law (WGI),Rule of Law (BTI),Freedom in the World Index,CPI,Total Population,Land area (sq. km)
Year,,2017,2011,2004-2006,2020,2018,2006-2018,2019,2020,2019,2020,2020,2019,2020,
Unit of Measurament,,Index,Index,%,Index,Index,Index,Index,Number,Index,Index,Index,Index,Number,sq. Km
Afghanistan,AFG,0.7497860033955295,4,0,3.2833333333333337,0.5747417060582192,x,5,11393,-1.713526964187622,3,27,16,35700000,652860
Albania,ALB,0.32080001203417774,9,0.04,7.15,0.23407785371782353,33.2000007629395,3,x,-0.41117939352989197,5.5,67,35,x,27400
Algeria,DZA,0.4031999581336967,3,0.27,4.7,0.4430680424365795,27.6000003814697,3,651,-0.8154637813568115,4.25,34,35,43100000,2381741
Angola,AGO,0.7626000091969966,4,0.62,4.65,0.5779989037523888,51.2999992370605,3,x,-1.0543431043624878,3.75,32,26,x,1246700
Antigua and Barbuda,ATG,0,13,0,x,x,x,0,x,0.4052046537399292,x,85,x,x,440
Argentina,ARG,0.05887494450621222,12,0.01,8.15,0.35376096784432753,41.4000015258789,1,x,-0.430725634098053,7.5,85,45,x,2736690
Armenia,ARM,0.04138924414458833,6,0.018,7.1,0.2586943178917801,34.4000015258789,3,2,-0.13127575814723969,6,53,42,3039000,28470
Australia,AUS,0.29240004414915977,14,0.02,x,0.10287730818702834,34.4000015258789,0,x,1.7341445684432983,x,97,77,x,7682300
Austria,AUT,0.13506398669561737,12,0.0078,x,0.0731482022437403,29.7000007629395,0,x,1.8830512762069702,x,93,77,x,82523
Azerbaijan,AZE,0.15286196929562068,4,0.055,3.4333333333333336,0.3207653834434461,x,3,91,-0.5772703289985657,3,10,30,9977000,82663
Bahamas,BHS,0.2752909596201176,12,0,x,0.3525419084372948,x,0,x,0.07653187960386276,x,91,64,x,10010
Bahrain,BHR,0.8550000023841857,3,0,3,0.2072959704593026,x,3,x,0.4943777918815613,2.75,11,42,x,771
Bangladesh,BGD,0.18887103384760728,7,0.122,4.416666666666666,0.5358462135243087,32.4000015258789,3,48,-0.6363083720207214,3.5,39,26,14181000,130170
Barbados,BRB,0,12,0,x,0.2560242744203335,x,0,x,0.3570292294025421,x,95,62,x,430
Belarus,BLR,0.3724950447279207,2,0.041,4.383333333333334,0.1190763397280794,25.2000007629395,2,x,-0.7944577932357788,4,19,45,x,202910
Belgium,BEL,0.4918000261828296,12,0.01,x,0.04544399669544508,27.3999996185303,0,x,1.3637149333953857,x,96,75,x,30280
Belize,BLZ,0.6365880152801868,14,0,x,0.3914097942214343,x,2,x,-0.7755124568939209,x,86,x,x,22810
Benin,BEN,0.8118749868869779,9,0.33,7.75,0.6125146689321419,47.7999992370605,0,x,-0.6641258597373962,6.5,66,41,x,112760
Bhutan,BTN,0.7599999928474426,6,0,6.85,0.4363777708338611,37.4000015258789,0,x,0.5897077322006226,7.25,58,68,x,38117
Bolivia,BOL,0.6724000014945865,11,0.035,6.8,0.4461371293463908,42.2000007629395,3,x,-1.1213886737823486,5.25,63,31,x,1083300
