,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
AFG001,645,21,618,9,9,21,21,21,21,21,34,373,373,373,373,373,373,373,373,373,114.8
DZA002,342,273,148,148,7,342,342,342,342,342,148,373,373,373,373,373,373,373,373,373,253.4
DZA003,273,629,342,342,7,342,342,342,342,342,629,373,373,373,373,373,373,373,373,373,340.3
DZA004,135,135,135,135,7,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,122.2
REG008,559,559,559,559,0,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,503.1
REG007,559,559,559,559,0,559,559,559,559,559,559,373,373,373,373,373,373,373,373,373,484.5
ARM002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
REG013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AZE002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BGD001,153,8,8,8,8,8,8,8,8,8,153,125,125,125,125,125,125,125,125,125,34.2
BGD002,532,8,8,8,8,8,8,8,8,8,220,373,373,373,373,373,373,373,373,373,65.7
BGD003,52,52,52,52,34,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,50.2
BGD006,153,34,34,153,153,34,34,153,153,153,153,125,125,125,125,125,125,125,125,125,114.5
REG011,220,8,8,8,8,8,8,8,8,8,8,373,373,373,373,373,373,373,373,373,44.5
