,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,0.3,,,,
(a-z),,,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,Complex crisis,4.6,5,Very High,Increasing,High,5,4.9,5,4.5,5,4,4.3,4,4.5,Asia,2020-10-27 00:00:00
Mixed migration flows in Algeria,Mixed Migration,DZA002,Algeria,DZA,International displacement,x,x,x,-,Very Low,4.4,5,4,x,x,x,2.1,3,1,Africa,2020-10-29 00:00:00
Sahrawi refugees in Algeria,Sahrawi refugees,DZA003,Algeria,DZA,International displacement,2.2,3,Medium,Stable,Medium,2.2,1.1,2.6,2.3,1.6,3,2.1,3,1,Africa,2020-10-29 00:00:00
Multiple crises in Algeria,Country level,DZA004,Algeria,DZA,Multiple crises country,x,x,x,-,Low,4.4,5,4,x,x,x,2.5,3,2,Africa,2020-10-29 00:00:00
Western Mediterranean Route,Western Mediterranean Route,REG008,"Algeria, Morocco, Spain","DZA, MAR, ESP",Regional crisis,x,x,x,-,Very Low,x,x,2.6,x,x,x,2.1,2.6,1.5,Europe,2020-11-05 00:00:00
Central Mediterranean Route,Central Mediterranean Route,REG007,"Algeria, Tunisia, Libya, Italy","DZA, TUN, LBY, ITA",Regional crisis,x,x,x,-,Very Low,x,x,3.6,x,x,x,2.3,2.6,2,Europe,2020-11-05 00:00:00
Nagorno-Karabakh Conflict in Armenia,Conflict,ARM002,Armenia,ARM,Conflict,x,x,x,-,High,2.3,0.6,2.9,x,x,x,1.7,1.8,1.5,Middle east,2020-11-04 00:00:00
Nagorno-Karabakh Conflict,Regional conflict,REG013,"Armenia, Azerbaijan","ARM, AZE",Regional crisis,x,x,x,-,High,3,1.9,3.4,x,x,x,2.3,2.6,2,Asia,2020-11-04 00:00:00
Nagorno-Karabakh conflict in Azerbaijan,Conflcit,AZE002,Azerbaijan,AZE,Conflict,x,x,x,-,High,2.9,1.8,3.3,x,x,x,2.5,2.9,2,Middle east,2020-11-04 00:00:00
Mutliple crises in Bangladesh,Country Level,BGD001,Bangladesh,BGD,Multiple crises country,2.9,3,Medium,Decreasing,High,2.9,3.3,2.6,2.85,3.7,2,3.1,2.7,3.5,Asia,2020-10-28 00:00:00
Rohingya refugee crisis,Rohingya Refugees,BGD002,Bangladesh,BGD,International displacement,3.2,4,High,Stable,Very High,2.7,0.1,3.5,3.6,3.2,4,2.9,2.7,3,Asia,2020-10-28 00:00:00
Floods in Bangladesh,Floods,BGD003,Bangladesh,BGD,Flood,2.1,3,Medium,-,High,2.2,2.9,1.8,1.8,1.6,2,2.6,2.7,2.5,Asia,2020-10-28 00:00:00
Cyclone Amphan Bangladesh,Cyclone Amphan,BGD006,Bangladesh,BGD,Tropical cyclone,2.5,3,Medium,Stable,High,2.5,2.4,2.5,2.55,3.1,2,2.4,2.7,2,Asia,2020-10-28 00:00:00
Rohingya Regional Crisis,Rohingya Regional Crisis,REG011,"Bangladesh, Myanmar","BGD, MMR",Regional crisis,3.6,4,High,Decreasing,Very High,3,1.4,3.6,3.85,3.7,4,3.6,3.1,4,Asia,2020-10-28 00:00:00
Venezuela displacement in Brazil,Venezuelan refugees,BRA002,Brazil,BRA,International displacement,2.3,3,Medium,Increasing,High,2.4,1.1,2.9,2.7,2.4,3,1.6,2.2,1,Americas,2020-10-06 00:00:00
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,Conflict,3.8,4,High,Increasing,High,3.8,2.9,4.1,4.45,3.9,5,2.9,2.8,3,Africa,2020-10-30 00:00:00
Floods in Burkina Faso,Floods,BFA003,Burkina Faso,BFA,Flood,2.3,3,Medium,-,High,3.3,4.6,2.4,1.1,1.2,1,3.2,2.8,3.5,Africa,2020-10-30 00:00:00
Multiple crises in Burkina Faso,Country level,BFA004,Burkina Faso,BFA,Multiple crises country,3.8,4,High,-,High,4.1,4.6,3.8,3.95,3.9,4,3.2,2.8,3.5,Africa,2020-10-30 00:00:00
Complex in Burundi,Complex crisis ,BDI001,Burundi,BDI,Complex crisis,3.4,4,High,Stable,High,3.4,4,3.1,3.25,3.5,3,3.6,3.1,4,Africa,2020-10-30 00:00:00
Multiple crises in Cameroon,Country level,CMR001,Cameroon,CMR,Multiple crises country,3.7,4,High,Increasing,High,3.8,3.2,4,3.35,3.7,3,4.1,3.5,4.5,Africa,2020-10-30 00:00:00
Boko Haram in Cameroon,Boko Haram,CMR002,Cameroon,CMR,Conflict,3.2,4,High,Decreasing,High,3,1.5,3.6,3,3,3,3.5,3.5,3.5,Africa,2020-10-30 00:00:00
Anglophone Crisis in Cameroon,Anglophone crisis,CMR003,Cameroon,CMR,Conflict,3.3,4,High,Increasing,High,3.3,1.7,3.9,3.1,3.2,3,3.5,3.5,3.5,Africa,2020-10-30 00:00:00
CAR refugees in Cameroon,CAR refugees,CMR004,Cameroon,CMR,International displacement,2.6,3,Medium,Stable,High,2,1.7,2.1,2.7,2.4,3,2.8,3.5,2,Africa,2020-10-30 00:00:00
Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,Complex crisis,4,4,High,Stable,High,4.2,4.3,4.1,4.05,4.1,4,3.9,3.7,4,Africa,2020-10-29 00:00:00
Complex crisis in Chad,Complex crisis,TCD001,Chad,TCD,Multiple crises country,4.2,5,Very High,Stable,High,4.2,4.8,3.9,4.35,4.7,4,3.8,3.5,4,Africa,2020-11-04 00:00:00
Boko Haram in Chad,Boko Haram ,TCD003,Chad,TCD,Conflict,3.7,4,High,Stable,High,3.2,0.6,4,3.8,2.6,5,3.8,3.5,4,Africa,2020-11-04 00:00:00
CAR refugees in Chad,CAR refugees,TCD004,Chad,TCD,International displacement,3.4,4,High,Stable,High,2.8,1.9,3.2,3.65,3.3,4,3.3,3.5,3,Africa,2020-11-04 00:00:00
Darfur refugees in Chad,Darfur refugees,TCD005,Chad,TCD,International displacement,3.2,4,High,Decreasing,High,2.4,1.7,2.7,3.7,3.4,4,3,3.5,2.5,Africa,2020-11-04 00:00:00
Tibesti Conflict in Chad,Tibesti conflict,TCD006,Chad,TCD,Conflict,2.5,3,Medium,Decreasing,Medium,2.6,1.3,3.1,2.2,0.4,4,3,3.5,2.5,Africa,2020-11-04 00:00:00
Floods in Chad,Floods,TCD008,Chad,TCD,Flood,2.6,3,Medium,-,High,2.9,4.1,2,1.7,2.4,1,3.8,3.5,4,Africa,2020-11-04 00:00:00
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,Complex crisis,4.2,5,Very High,Stable,Medium,4.5,5,4.2,4.45,4.9,4,3.5,2.9,4,Americas,2020-10-15 00:00:00
Venezuela displacement in Colombia,Venezuelan refugees ,COL002,Colombia,COL,International displacement,3.4,4,High,Stable,Medium,3.6,3,3.9,3.6,4.2,3,3,2.9,3,Americas,2020-10-06 00:00:00
Floods in Congo,Floods,COG004,Congo,COG,Flood,2,2,Low,-,Medium,1.2,1.1,1.3,2.2,1.4,3,2.4,2.8,2,Africa,2020-11-05 00:00:00
