Country,Crisis,Crisis ID,ISO3 code,Region,Type of crisis,Website name,Country level,,Indicator,Reliability,Type of entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Complex crisis in Afghanistan,AFG001,AFG,Asia,Complex crisis,Complex crisis,Yes,Individual,Total population,x,Humanitarian development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Mixed migration flows in Algeria,DZA002,DZA,Africa,International displacement,Mixed Migration,No,Individual,Landmass affected,Low,Change in the data/methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Sahrawi refugees in Algeria,DZA003,DZA,Africa,International displacement,Sahrawi refugees,No,Individual,People exposed,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Multiple crises in Algeria,DZA004,DZA,Africa,Multiple crises country,Country level,Yes,Aggregated,People affected,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Algeria, Morocco, Spain",Western Mediterranean Route,REG008,"DZA, MAR, ESP",Europe,Regional crisis,Western Mediterranean Route,,Individual,People displaced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Algeria, Tunisia, Libya, Italy",Central Mediterranean Route,REG007,"DZA, TUN, LBY, ITA",Europe,Regional crisis,Central Mediterranean Route,,Individual,Injuries reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,Nagorno-Karabakh Conflict in Armenia,ARM002,ARM,Middle east,Conflict,Conflict,Yes,Individual,Illness cases reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Armenia, Azerbaijan",Nagorno-Karabakh Conflict,REG013,"ARM, AZE",Asia,Regional crisis,Regional conflict,,Individual,Fatalities reported,,,,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries,Crisis related Injuries
Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,AZE002,AZE,Middle east,Conflict,Conflcit,Yes,Individual,Buildings damaged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,Mutliple crises in Bangladesh,BGD001,BGD,Asia,Multiple crises country,Country Level,Yes,Aggregated,Buildings destroyed,,,,People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3),People  facing moderate humanitarian needs (level 3)
Bangladesh,Rohingya refugee crisis,BGD002,BGD,Asia,International displacement,Rohingya Refugees,No,Individual,Economic Losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,Floods in Bangladesh,BGD003,BGD,Asia,Flood,Floods,No,Individual,People in Need,,,,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported,Total # of illness cases reported
Bangladesh,Cyclone Amphan Bangladesh,BGD006,BGD,Asia,Tropical cyclone,Cyclone Amphan,No,Individual,Minimal humanitarian conditions - Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bangladesh, Myanmar",Rohingya Regional Crisis,REG011,"BGD, MMR",Asia,Regional crisis,Rohingya Regional Crisis,No,Individual,Stressed humanitarian conditions - Level 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Venezuela displacement in Brazil,BRA002,BRA,Americas,International displacement,Venezuelan refugees,Yes,Individual,Moderate humanitarian conditions - Level 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,Conflict in Burkina Faso,BFA002,BFA,Africa,Conflict,Conflict,Yes,Individual,Severe humanitarian conditions - Level 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,Floods in Burkina Faso,BFA003,BFA,Africa,Flood,Floods,No,Individual,Extreme humanitarian conditions - Level 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
