,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.3,2.3,1.6,0,1.9,114.8,0,High
DZA002,4.3,x,3.5,5,x,253.4,3,Very Low
DZA003,2.8,3.8,4.7,0,2.5,340.3,0,Medium
DZA004,3.4,x,1.7,5,x,122.2,3,Low
REG008,5,x,5,5,x,503.1,5,Very Low
REG007,5,x,5,5,x,484.5,5,Very Low
ARM002,1.7,x,0,3.3,x,1,2,High
REG013,1.7,x,0,3.3,x,1,2,High
AZE002,1.7,x,0,3.3,x,1,2,High
BGD001,1.3,3.5,0.5,0,2.4,34.2,0,High
BGD002,0.9,1.8,0.9,0,1.7,65.7,0,Very High
BGD003,1.5,2,0.7,1.7,1.8,50.2,1,High
BGD006,1.5,3,1.6,0,2.2,114.5,0,High
REG011,0.9,2,0.6,0,1.8,44.5,0,Very High
BRA002,1.4,2.5,1.7,0,2,123.9,0,High
BFA002,1.1,2.3,1.1,0,1.9,82,0,High
BFA003,1.4,2.3,0.2,1.7,1.9,12.2,1,High
BFA004,1.4,2.5,0.1,1.7,2,6,1,High
BDI001,1.1,2,1.4,0,1.8,103.8,0,High
CMR001,1.2,1.8,1.9,0,1.7,137.7,0,High
CMR002,1.2,1.8,1.9,0,1.7,136.7,0,High
CMR003,1.2,2,1.7,0,1.8,125.4,0,High
CMR004,1.3,2,2,0,1.8,148.9,0,High
CAF001,1.6,3.8,0.9,0,2.5,66,0,High
TCD001,1.7,3.5,1.6,0,2.4,114.3,0,High
TCD003,1.7,4,1,0,2.6,75.3,0,High
TCD004,2,2.3,3.6,0,1.9,262.1,0,High
TCD005,1.7,2.5,2.7,0,2,199.8,0,High
TCD006,2.1,3.8,2.4,0,2.5,172.8,0,Medium
TCD008,1.3,3.8,0.2,0,2.5,13.9,0,High
COL001,2.6,2,2.4,3.3,1.8,172.5,2,Medium
COL002,2.4,2,2,3.3,1.8,148.3,2,Medium
COG004,2.9,3.8,0,5,2.5,1,3,Medium
CRI002,1.3,2.3,1.7,0,1.9,128.3,0,High
DJI001,1.9,2.5,1.6,1.7,2,118.4,1,High
DJI002,2.5,2.5,5,0,2,446.5,0,Medium
DJI003,2.2,3.5,3.1,0,2.4,229.8,0,Medium
PRK001,4.1,2.5,4.8,5,2,348.5,3,Very Low
COD001,1.3,2.5,1.5,0,2,110.9,0,High
COD003,2.9,3.8,1.6,3.3,2.5,116.2,2,Medium
ECU002,1.4,2.3,1.8,0,1.9,133.8,0,High
EGY002,1.6,2,2.9,0,1.8,215.7,0,High
SLV001,1.2,2,1.7,0,1.8,124.2,0,High
ERI001,3.5,3.8,5,1.7,2.5,402.7,1,Low
SWZ001,2.7,2,1.2,5,1.8,85.2,3,Medium
ETH001,1.5,2.5,2,0,2,146.3,0,High
ETH002,0.9,1.5,1.2,0,1.6,89.7,0,Very High
ETH003,1.7,2.3,1.2,1.7,1.9,85.7,1,High
GRC002,1,1.8,1.2,0,1.7,85.7,0,Very High
GTM001,1,1.5,1.5,0,1.6,110.7,0,Very High
HTI001,1.1,2,1.2,0,1.8,88.7,0,High
HND001,1.2,1.5,2,0,1.6,148.5,0,High
IND001,2,3.8,0.5,1.7,2.5,37,1,High
IND002,4.6,3.8,5,5,2.5,480.6,3,Very Low
IND003,3.3,3.3,1.6,5,2.3,115.5,3,Low
IND005,1.3,3.8,0.2,0,2.5,14.6,0,High
REG003,4.2,x,5,3.3,x,391.7,2,Very Low
IDN002,3.6,x,3.8,3.3,x,280.9,2,Low
IRN004,2.2,4.3,2.4,0,2.7,177.6,0,Medium
IRQ001,1.1,2.5,0.9,0,2,64,0,High
IRQ002,1.4,2.3,1.8,0,1.9,128.5,0,High
IRQ003,1.4,2.8,1.5,0,2.1,107.9,0,High
JOR002,1.2,2.5,1.1,0,2,79.9,0,High
KEN001,1.4,1.8,2.4,0,1.7,175.4,0,High
KEN002,2.6,2,4,1.7,1.8,288.9,1,Medium
KEN003,3.1,2,4.1,3.3,1.8,299.9,2,Low
KEN005,2.6,3.8,2.2,1.7,2.5,160.4,1,Medium
LBN002,1.5,3.3,1.2,0,2.3,88,0,High
LBN004,2.1,3.5,1.1,1.7,2.4,79.4,1,Medium
LBN005,1.5,3.5,0.9,0,2.4,69.2,0,High
LSO002,1.5,2,2.4,0,1.8,172.7,0,High
REG012,1,2,0.9,0,1.8,63.1,0,Very High
LBY001,1.5,2,2.4,0,1.8,175.1,0,High
LBY002,1,2,1.1,0,1.8,80.8,0,Very High
MDG002,2.1,2,2.5,1.7,1.8,186.3,1,Medium
MDG004,2,2.3,3.7,0,1.9,272,0,High
MDG005,1.5,2.3,2.1,0,1.9,152.2,0,High
MWI002,1.8,2,1.7,1.7,1.8,128.2,1,High
MLI001,1.5,1.8,2.8,0,1.7,208,0,High
MRT002,2.5,2,2.1,3.3,1.8,156.7,2,Medium
MRT003,2.6,2.3,0.5,5,1.9,34.4,4,Medium
MEX001,4.7,x,4.4,5,x,318,3,Very Low
MEX002,4.8,x,4.5,5,x,331.2,3,Very Low
MEX003,3,x,4.2,1.7,x,304.3,1,Medium
MAR002,4.6,x,4.1,5,x,301.1,3,Very Low
MOZ001,1.4,2.5,1.6,0,2,113.9,0,High
MOZ004,1.2,2,1.7,0,1.8,126.1,0,High
MOZ006,2.2,3.5,1.4,1.7,2.4,103.3,1,Medium
MMR001,1.5,2.3,2.1,0,1.9,150.5,0,High
MMR002,1.5,2,2.4,0,1.8,173,0,High
MMR003,1.4,2,2.1,0,1.8,150.5,0,High
NAM002,2.7,2,1.2,5,1.8,85.8,3,Medium
NIC001,3.4,x,5,1.7,x,414.8,1,Low
NER001,1.4,3.3,0.9,0,2.3,68.1,0,High
NER002,1.6,3.5,1.4,0,2.4,104.6,0,High
NER003,1.7,3.8,1.3,0,2.5,94.8,0,High
NER004,1.4,3.8,0.5,0,2.5,37.4,0,High
NER005,1.9,3.5,0.4,1.7,2.4,28,1,High
NGA001,1.3,2,1.9,0,1.8,136.4,0,High
NGA003,4.2,x,5,3.3,x,397.1,2,Very Low
NGA004,2.1,1.8,2.9,1.7,1.7,208.6,1,Medium
NGA007,1.2,2,1.6,0,1.8,115,0,High
NGA008,1.7,2,1.4,1.7,1.8,104.6,1,High
REG001,1.1,2,1.3,0,1.8,95.7,0,High
PAK001,1.5,2.3,2.2,0,1.9,159.6,0,High
PAK004,3.5,3.8,5,1.7,2.5,470.8,1,Low
PSE002,1.4,2.3,2,0,1.9,145.3,0,High
PER002,2.3,3.5,3.4,0,2.4,245.4,0,Medium
PHL001,1,1.8,1.2,0,1.7,89.6,0,Very High
PHL003,1.5,3.3,1.2,0,2.3,89.3,0,High
PHL004,1.1,2,1.4,0,1.8,104.1,0,High
RWA002,2.2,2,1.4,3.3,1.8,104.8,2,Medium
SEN002,2.4,1.8,3.8,1.7,1.7,275.2,1,Medium
SOM001,1.8,2,3.3,0,1.8,241.9,0,High
SOM002,2.5,2.3,3.6,1.7,1.9,263.5,1,Medium
SOM004,2.2,2,4.6,0,1.8,337.2,0,Medium
SSD001,2.2,1.8,4.7,0,1.7,343.3,0,Medium
SDN001,1.5,1.8,2.8,0,1.7,203.5,0,High
SDN005,2.3,2,3.3,1.7,1.8,240.8,1,Medium
SDN006,1.9,3.5,0.4,1.7,2.4,28.2,1,High
SYR001,2.4,3.5,3.7,0,2.4,268.2,0,Medium
REG004,1.4,2.5,1.6,0,2,115.5,0,High
TZA002,1.3,1.8,2.2,0,1.7,159.4,0,High
THA001,1.1,2,1.4,0,1.8,106.5,0,High
THA002,3.8,x,4.2,3.3,x,303.7,2,Low
THA003,1.7,2,1.5,1.7,1.8,108.7,1,High
TTO002,2.5,3.3,4.2,0,2.3,303.8,0,Medium
TUN002,3.7,2.8,5,3.3,2.1,444.6,2,Low
TUR001,1.6,3.5,1.4,0,2.4,101,0,High
TUR002,1.9,3.5,2.2,0,2.4,163.8,0,High
TUR003,1.6,3.5,1.4,0,2.4,100.2,0,High
TUR004,2.4,2.3,5,0,1.9,540.5,0,Medium
REG006,5,x,5,5,x,466.9,6,Very Low
UGA001,1.7,2.3,1.2,1.7,1.9,86.3,1,High
UGA005,1.8,2.3,1.5,1.7,1.9,112.8,1,High
UGA006,2.7,x,2.1,3.3,x,153,2,Medium
UKR002,1.5,1.5,2.9,0,1.6,213.3,0,High
VUT002,1.5,2,2.6,0,1.8,187.8,0,High
VEN001,1.4,2.5,1.6,0,2,113.9,0,High
REG002,2.4,2,2,3.3,1.8,147.7,2,Medium
VNM002,0.8,2.3,0,0,1.9,0,0,Very High
YEM001,1.5,2,2.6,0,1.8,189.5,0,High
YEM002,2.2,2.3,4.3,0,1.9,316.1,0,Medium
ZMB002,3.6,2.5,5,3.3,2,365.6,2,Low
ZWE001,1.3,2.3,1.7,0,1.9,125.6,0,High
ZWE003,2.4,3.3,0.6,3.3,2.3,46.9,2,Medium
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
