,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrisisID,Data Reliability,Information gaps (# indicator missing),Impact of the crisis,Area affected,People in the affected area,Geographical,People affected,People displaced,Crisis related fatalities,People affected by categories,Human,Conditions of people affected,# of people facing minimal humanitarian needs (level 1),# of people facing stressed humanitarian conditions and needs (level 2),# of people facing moderate humanitarian conditions and needs (level 3),# of people facing severe humanitarian conditions and needs (level 4),# of people facing extreme humanitarian conditions and needs (level 5),Complexity of the crisis,Society and safety,Social cohesion,Conflict Intensity,Total killed in all crisis,Safety and security,Rule of Law,Operating environment,Diversity of groups affected,Humanitarian Access,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Access of Humanitarian Actors to Affected Populations,Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Access of People in need to Aid,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Physical and Security Constraints
AFG001,1.9,0,2.2,1,2,1.5,3,2,2,2,2.5,2,2,2,2,2,2,1.4,1.1666666666666667,1,1,2,1.5,1,1.7222222222222223,2,1.4444444444444444,2,1,2,1,1.5,2,1,1.5,1,2,1,1.3333333333333333
DZA002,x,3,2.7,2,2,2,x,x,3,3,3,x,x,x,x,x,x,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
DZA003,2.5,0,2.7,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
DZA004,x,3,2.7,2,2,2,x,x,3,3,3,x,x,x,x,x,x,1.4,1.3333333333333333,1,1,3,2,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
REG008,x,5,x,x,x,x,x,x,3,3,3,x,x,x,x,x,x,1.4,1.3333333333333333,1,1,3,2,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
REG007,x,5,x,x,x,x,x,x,3,3,3,x,x,x,x,x,x,1.4,1.3333333333333333,1,1,3,2,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
BGD001,2.4,0,2.3,2,2,2,2,3,3,3,2.5,2.8,3,3,3,3,2,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
BGD002,1.8,0,2.2,2,2,2,2,2,3,2.5,2.3,2,2,2,2,2,2,1.2,1.3333333333333333,1,1,3,2,1,1.1111111111111112,1,1.2222222222222223,1,1,1,1,1,1,1,1,1,2,2,1.6666666666666667
BGD003,1.8,1,1.7,2,1,1.5,2,1,2,1.5,1.8,2,2,2,2,2,2,1.7,1.3333333333333333,1,1,3,2,1,2,2,x,x,x,x,x,x,x,x,x,x,x,x,x
BGD006,2.2,0,2.1,2,2,2,2,3,1,2.1,2.1,2.6,2,2,3,3,3,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
REG011,1.8,0,1.8,1,2,1.5,2,2,2,2,2,2,2,2,2,2,2,1.4,1.1666666666666667,1,1,2,1.5,1,1.6805555555555554,2,1.361111111111111,1,2,2,2,1.75,1,1,1,1,2,1,1.3333333333333333
BRA002,2,0,2.2,2,2,2,2,2,3,2.5,2.3,2,2,2,2,2,2,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
BFA002,1.9,0,2,1,2,1.5,2,3,2,2.5,2.3,2,2,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
BFA003,2.4,1,1.8,1,2,1.5,2,x,2,2,2,3,3,3,3,3,3,1.9,1.1666666666666667,1,1,2,1.5,1,2.5,3,2,2,2,2,2,2,2,2,2,2,2,2,2
BDI001,1.8,0,1.8,1,2,1.5,2,2,2,2,2,2,2,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CMR001,1.7,0,1.8,1,2,1.5,2,2,2,2,2,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
CMR002,1.7,0,1.8,1,2,1.5,2,2,2,2,2,2,2,2,2,2,2,1.1,1.1666666666666667,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMR003,1.8,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
CMR004,1.8,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
CAF001,2,0,2.6,1,2,1.5,3,3,3,3,3,2,2,2,2,2,2,1.4,1.3333333333333333,1,1,3,2,1,1.5,2,1,1,1,1,1,1,1,1,1,1,x,1,1
TCD001,2.3,0,2,1,2,1.5,2,2,3,2.5,2.3,3,3,3,3,3,3,1.4,1.3333333333333333,1,1,3,2,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
TCD003,2.5,0,2.8,2,3,2.5,3,3,3,3,3,3,3,3,3,3,3,1.4,1.3333333333333333,1,1,3,2,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
TCD004,1.8,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.4,1.3333333333333333,1,1,3,2,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
TCD005,1.9,0,2.2,2,2,2,2,2,3,2.5,2.3,2,2,2,2,2,2,1.4,1.3333333333333333,1,1,3,2,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
TCD006,2.4,0,2.7,2,3,2.5,3,2,3,2.5,2.8,3,3,3,3,3,3,1.2,1.3333333333333333,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TCD008,2.5,0,2.7,3,3,3,2,3,3,3,2.5,3,3,3,3,3,3,1.4,1.3333333333333333,1,1,3,2,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
CHN002,2.4,0,2.4,2,3,2.5,2,3,2,2.5,2.3,3,3,3,3,3,3,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
COL001,1.8,2,1.7,1,1,1,2,2,x,2,2,2,2,2,2,2,2,1.5,1,1,1,x,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
COL002,1.8,2,1.8,2,1,1.5,2,2,x,2,2,2,2,2,2,2,2,1.5,1,1,1,x,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
COG002,2.4,0,2.6,2,2,2,3,3,2,2.5,2.8,3,3,3,3,3,3,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
CRI002,1.9,0,2.5,3,3,3,2,2,3,2.5,2.3,2,2,2,2,2,2,1.4,1.3333333333333333,1,1,3,2,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
DJI001,2,1,2.3,2,2,2,3,x,2,2,2.5,2.2,3,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
DJI002,2,0,2,2,2,2,2,2,2,2,2,2.25,3,2,2,x,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
DJI003,2.4,0,2.4,2,3,2.5,2,2,3,2.5,2.3,3,3,3,3,3,3,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PRK001,2,3,2.7,1,3,2.1,3,x,x,x,3,2,2,2,2,2,2,1.3,1,1,1,x,1,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
COD001,1.9,0,2.2,1,2,1.5,2,3,3,3,2.5,2,2,2,2,2,2,1.4,1.3333333333333333,1,1,3,2,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
COD003,2.5,2,2.7,2,2,2,3,x,x,x,3,3,3,3,3,3,3,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ECU002,1.9,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
EGY002,1.8,0,2.2,2,3,2.5,2,2,2,2,2,1.8,2,2,2,2,1,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
SLV001,1.8,0,1.9,1,1,1,2,2,3,2.5,2.3,2,2,2,2,2,2,1.4,1.3333333333333333,1,1,3,2,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
ERI001,2.5,2,2.7,2,2,2,3,3,x,3,3,3,3,3,3,3,3,1.5,1,1,1,x,1,1,2,2,2,2,x,x,2,2,x,x,x,2,2,x,2
SWZ002,1.8,1,1.8,1,2,1.5,2,x,2,2,2,2,2,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ETH001,2,0,2.5,2,3,2.5,3,2,2,2,2.5,2,2,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,x,2,2,2,2,2
ETH002,1.6,0,1.6,1,3,2.1,1,1,2,1.5,1.3,2,2,2,2,2,2,1.1,1.1666666666666667,1,1,2,1.5,1,1,1,1,x,x,x,x,x,x,x,x,x,x,1,1
ETH003,1.9,1,2,2,2,2,2,2,x,2,2,2,2,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,x,2
GRC002,1.7,0,1.4,2,1,1.5,1,1,2,1.5,1.3,2,2,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
GTM001,1.6,0,1.3,1,1,1,1,2,2,2,1.5,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,False,1,1,1,1,1,1,1,1,1
HTI001,1.8,0,2.1,1,1,1,2,3,3,3,2.5,2,2,2,2,2,2,1.2,1.3333333333333333,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HND001,1.6,0,1.3,1,1,1,1,2,2,2,1.5,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
IND001,2,1,2.6,2,2,2,3,3,2,2.5,2.8,2,2,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,x,2,x,2,x,x,2,x,x,x,x,x,x,x
IND002,2.5,3,2.6,1,2,1.5,x,x,3,3,3,2.8,3,3,3,3,2,2,1.1666666666666667,1,1,2,1.5,1,2.722222222222222,x,2.722222222222222,1,3,3,3,2.5,3,3,3,3,3,2,2.6666666666666665
IND003,2.3,3,2.7,3,2,2.5,3,3,2,2.5,2.8,2.8,2,3,3,3,3,1.1666666666666667,1.1666666666666667,1,1,2,1.5,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
IND005,1.9,0,2.2,2,2,2,2,3,2,2.5,2.3,2,2,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
REG003,x,2,2,2,2,2,2,x,2,2,2,x,x,3,3,3,3,1.8,1.1666666666666667,1,1,2,1.5,1,2.3611111111111107,2,2.722222222222222,1,3,3,3,2.5,3,3,3,3,3,2,2.6666666666666665
IDN002,x,2,3,3,3,3,3,x,3,3,3,x,x,x,x,x,x,1.2,1.3333333333333333,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IRN004,2.7,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.9,1.3333333333333333,1,1,3,2,1,2.5,3,2,2,2,2,2,2,2,2,2,2,2,2,2
IRQ001,2,0,2.6,1,3,2.1,3,2,3,2.5,2.8,2,2,2,2,2,2,1.4,1.3333333333333333,1,1,3,2,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
IRQ002,1.8,0,2,1,2,1.5,2,2,3,2.5,2.3,2,2,2,2,2,2,1.4,1.3333333333333333,1,1,3,2,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
IRQ003,2.1,0,2.7,2,3,2.5,3,2,3,2.5,2.8,2,2,2,2,2,2,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
JOR002,2,0,2.3,2,2,2,3,2,2,2,2.5,2,2,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
KEN001,1.7,0,1.8,2,1,1.5,2,2,2,2,2,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
KEN002,1.8,1,2,2,2,2,2,2,x,2,2,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
KEN003,1.8,2,2,2,2,2,2,x,x,x,2,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
KEN005,2.5,1,2.6,2,2,2,3,3,2,2.5,2.8,3,3,3,3,3,3,1.6,1.1666666666666667,1,1,2,1.5,1,2,x,2,2,2,2,2,2,2,2,2,2,2,2,2
LBN002,2.3,0,2,1,2,1.5,2,2,3,2.5,2.3,3,3,3,3,3,3,1.4,1.3333333333333333,1,1,3,2,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
LBN004,2.4,1,2.6,1,2,1.5,3,x,3,3,3,3,3,3,3,3,3,1.4,1.3333333333333333,1,1,3,2,1,1.375,1,1.75,3,1,1,2,1.75,2,1,1.5,2,2,2,2
LBN005,2.5,0,2.7,3,2,2.5,3,2,3,2.5,2.8,3,3,3,3,3,3,1.4,1.3333333333333333,1,1,3,2,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
LSO002,1.8,0,2.2,2,2,2,2,3,2,2.5,2.3,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
REG012,1.8,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
LBY001,1.8,0,1.9,1,1,1,2,2,3,2.5,2.3,2,2,2,2,2,2,1.4,1.3333333333333333,1,1,3,2,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
LBY002,1.8,0,2,1,2,1.5,2,2,3,2.5,2.3,2,2,2,2,2,2,1.4,1.3333333333333333,1,1,3,2,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
MDG002,1.8,0,2.2,1,2,1.5,2,3,3,3,2.5,2,2,2,2,2,2,1.2,1.3333333333333333,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MDG004,1.9,0,1.8,1,2,1.5,2,2,2,2,2,2,2,2,2,2,2,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MDG005,1.9,0,2,1,2,1.5,2,2,3,2.5,2.3,2,2,2,2,2,2,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MWI002,1.8,1,1.8,1,2,1.5,2,2,2,2,2,2,2,2,2,2,2,1.4,1.1666666666666667,1,1,2,1.5,1,1.5555555555555556,x,1.5555555555555556,1,1,1,1,1,2,2,2,1,2,2,1.6666666666666667
