,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Crisis,Crisis ID,Trend,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01,2020-11-01,2020-12-01
Afghanistan,Complex crisis in Afghanistan,AFG001,Stable,4.4,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.5,4.6,,,
Afghanistan,Conflict in Afghanistan,AFG002,-,4.1,4.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Afghanistan,Drought in Afghanistan,AFG003,-,3.9,3.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Afghanistan,Floods in Afghanistan,AFG004,-,-,-,2.5,2.2,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Albania,N/A,ALB001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Algeria,Multiple crises in Algeria,DZA001,-,-,2.4,2.4,1.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Algeria,Mixed migration flows in Algeria,DZA002,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
Algeria,Sahrawi refugees in Algeria,DZA003,Stable,-,2.2,2.2,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,,,
Algeria,Multiple crises in Algeria,DZA004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,,,
"Algeria, Morocco, Spain",Western Mediterranean Route,REG008,-,-,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
"Algeria, Tunisia, Libya, Italy",Central Mediterranean Route,REG007,-,-,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
Angola,N/A,AGO001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Antigua and Barbuda,N/A,ATG001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Argentina,N/A,ARG001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Argentina,Venezuela displacement in Argentina,ARG002,-,-,0.9,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Armenia,N/A,ARM001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Azerbaijan,N/A,AZE001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Bahamas,N/A,BHS001,-,-,-,-,-,-,-,-,-,1.7,-,-,-,-,-,-,-,-,-,-,-,-,,,
Bahamas,Hurricane Dorian in Bahamas ,BHS002,-,-,-,-,-,-,-,-,-,-,1.7,1.7,1.7,1.7,1.7,1.7,-,-,-,-,-,-,,,
Bahrain,N/A,BHR001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Bangladesh,Mutliple crises in Bangladesh,BGD001,Stable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.9,3.2,3.2,3.2,2.9,,,
Bangladesh,Rohingya refugee crisis,BGD002,Stable,-,3.3,3.3,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.2,3.2,3.2,3.2,3.2,,,
Bangladesh,Floods in Bangladesh,BGD003,-,-,-,-,-,-,-,-,2.7,-,-,-,-,-,-,-,-,-,-,-,-,2.1,,,
Bangladesh,Multiple Crises in Bangladesh,BGD004,-,-,-,-,-,-,-,-,3.1,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
