Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Type of crisis,First country,Website name,Crisis description,Related crisis,Starting date,Duration (days)
AFG001,,,Afghanistan,Complex crisis in Afghanistan,AFG,Asia,Complex crisis,Afghanistan,Complex crisis,,,,
ARM002,,,Armenia,Nagorno-Karabakh Conflict in Armenia,ARM,Middle east,Conflict,Armenia,Nagorno-Karabakh Conflict in Armenia,,,,
AZE002,,,Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,AZE,Middle east,Conflict,Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,,,,
BDI001,,,Burundi,Complex in Burundi,BDI,Africa,Complex crisis,Burundi,Complex crisis ,,,,
BFA002,,,Burkina Faso,Conflict in Burkina Faso,BFA,Africa,Conflict,Burkina Faso,Conflict,,,,
BGD002,,,Bangladesh,Rohingya refugee crisis,BGD,Asia,International displacement,Bangladesh,Rohingya Refugees,,,,
BRA002,,,Brazil,Venezuela displacement in Brazil,BRA,Americas,International displacement,Brazil,Venezuelan refugees,,,,
CAF001,,,CAR,Complex crisis in CAR,CAF,Africa,Complex crisis,CAR,Complex crisis,,,,
CMR001,,,Cameroon,Multiple crises in Cameroon,CMR,Africa,Multiple crises country,Cameroon,Country level,,,,
CMR002,,,Cameroon,Boko Haram in Cameroon,CMR,Africa,Conflict,Cameroon,Boko Haram,,,,
CMR003,,,Cameroon,Anglophone Crisis in Cameroon,CMR,Africa,Conflict,Cameroon,Anglophone crisis,,,,
CMR004,,,Cameroon,CAR refugees in Cameroon,CMR,Africa,International displacement,Cameroon,CAR refugees,,,,
COD001,,,DRC,Complex crisis in DRC,COD,Africa,Complex crisis,DRC,Complex crisis,,,,
COG001,,,Congo,Complex crisis in Congo,COG,Africa,Complex crisis,Congo,Complex crisis,,,,
COL001,,,Colombia,Complex crisis in Colombia,COL,Americas,Complex crisis,Colombia,Complex crisis,,,,
COL002,,,Colombia,Venezuela displacement in Colombia,COL,Americas,International displacement,Colombia,Venezuelan refugees ,,,,
COL003,,,Colombia,Hurricane Eta and Iota in Colombia,COL,Americas,Tropical cyclone,Colombia,Hurricane Eta and Iota,,,,
CRI002,,,Costa Rica,Nicaraguan refugees in Costa Rica,CRI,Americas,International displacement,Costa Rica,Nicaraguan refugees,,,,
DJI001,,,Djibouti,Multiple crises in Djibouti,DJI,Africa,Multiple crises country,Djibouti,Country level,,,,
DJI002,,,Djibouti,Mixed migration in Djibouti,DJI,Africa,International displacement,Djibouti,Mixed Migration,,,,
DJI003,,,Djibouti,Drought in Djibouti,DJI,Africa,Drought,Djibouti,Drought,,,,
DZA002,,,Algeria,Mixed migration flows in Algeria,DZA,Africa,International displacement,Algeria,Mixed Migration,,,,
DZA003,,,Algeria,Sahrawi refugees in Algeria,DZA,Africa,International displacement,Algeria,Sahrawi refugees,,,,
DZA004,,,Algeria,Multiple crises in Algeria,DZA,Africa,Multiple crises country,Algeria,Country level,,,,
ECU002,,,Ecuador,Venezuela displacement in Ecuador,ECU,Americas,International displacement,Ecuador,Venezuelan refugees ,,,,
EGY002,,,Egypt,Refugee Crisis in Egypt,EGY,Africa,International displacement,Egypt,Refugee crisis,,,,
ERI001,,,Eritrea,Complex crisis in Eritrea,ERI,Africa,Complex crisis,Eritrea,Complex crisis,,,,
ESP002,,,Spain,Mixed migration flows in spain,ESP,Europe,International displacement,Spain,Mixed Migration,,,,
ETH001,,,Ethiopia,Complex crisis in Ethiopia,ETH,Africa,Complex crisis,Ethiopia,Complex crisis,,,,
ETH002,,,Ethiopia,Flood Crisis in Ethiopia,ETH,Africa,Flood,Ethiopia,Floods,,,,
ETH003,,,Ethiopia,International Displacement,ETH,Africa,International displacement,Ethiopia,International Displacement,,,,
ETH004,,,Ethiopia,Crisis in Tigray,ETH,Africa,Conflict,Ethiopia,Crisis in Tigray,,,,
FJI002,,,Fiji,Tropical cyclone Yasa in Fiji,FJI,Pacific,Tropical cyclone,Fiji,Tropical cyclone Yasa,,,,
GRC002,,,Greece,Mixed migration flows in Greece,GRC,Europe,International displacement,Greece,Mixed Migration,,,,
GTM001,,,Guatemala,Complex crisis in Guatemala,GTM,Americas,Complex crisis,Guatemala,Complex crisis,,,,
GTM003,,,Guatemala,Hurricane Eta and Iota in Guatemala,GTM,Americas,Tropical cyclone,Guatemala,Hurricane Eta and Iota,,,,
HND001,,,Honduras,Complex crisis in Honduras,HND,Americas,Complex crisis,Honduras,Complex crisis,,,,
HND002,,,Honduras,Hurricane Eta and Iota in Honduras,HND,Americas,Tropical cyclone,Honduras,Hurricane Eta and Iota,,,,
HTI001,,,Haiti,Complex crisis in Haiti,HTI,Americas,Complex crisis,Haiti,Complex crisis,,,,
IDN002,,,Indonesia,Papua Conflict,IDN,Asia,Conflict,Indonesia,Papua Conflict,,,,
IDN006,,,Indonesia,Sulawesi Earthquake,IDN,Asia,Earthquake,Indonesia,Sulawesi Earthquake,,,,
IDN007,,,Indonesia,Country Level,IDN,Asia,Multiple crises country,Indonesia,Country Level,,,,
IND002,,,India,Conflict in Jammu and Kashmir,IND,Asia,Conflict,India,Kashmir conflict ,,,,
IRN004,,,Iran,Afghan Refugees in Iran,IRN,Middle east,International displacement,Iran,Afghan Refugees,,,,
IRQ001,,,Iraq,Multiple crises in Iraq,IRQ,Middle east,Multiple crises country,Iraq,Country level,,,,
IRQ002,,,Iraq,Conflict  in Iraq,IRQ,Middle east,Conflict,Iraq,Conflict,,,,
IRQ003,,,Iraq,Syrian and Palestinian refugees in iraq,IRQ,Middle east,International displacement,Iraq,Syrian Refugees,,,,
ITA002,,,Italy,Mixed migration flows in Italy,ITA,Europe,International displacement,Italy,Mixed Migration,,,,
JOR002,,,Jordan,Syrian refugees in Jordan,JOR,Middle east,International displacement,Jordan,Syrian refugees,,,,
KEN002,,,Kenya,Refugee situation in Kenya,KEN,Africa,International displacement,Kenya,Refugee situation,,,,
LBN002,,,Lebanon,Syrian refugees in Lebanon,LBN,Middle east,International displacement,Lebanon,Syrian refugees,,,,
LBN004,,,Lebanon,Socioeconomic crisis in Lebanon,LBN,Middle east,Political and economic crisis,Lebanon,Socioeconomic crisis,,,,
LBY001,,,Libya,Complex crisis in Libya,LBY,Africa,Multiple crises country,Libya,Complex crisis,,,,
LBY002,,,Libya,Mixed migration flows in Libya,LBY,Africa,International displacement,Libya,Mixed Migration,,,,
