,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.1,2,1.2,0,1.8,85.3,0,High
ARM002,1,2.3,0.8,0,1.9,61.1,0,Very High
AZE002,2.7,x,2.1,3.3,x,155.5,2,Medium
BDI001,1.3,2.3,1.7,0,1.9,124.4,0,High
BFA002,1.7,2.3,2.8,0,1.9,206,0,High
BGD002,1.1,2,1.2,0,1.8,91,0,High
BRA002,2.2,3.5,3,0,2.4,219.4,0,Medium
CAF001,2,3.8,2.3,0,2.5,167.6,0,High
CMR001,1.3,2,1.9,0,1.8,141.6,0,High
CMR002,1.2,1.8,1.8,0,1.7,134.1,0,High
CMR003,1.3,2.3,1.7,0,1.9,122.8,0,High
CMR004,2.1,2.3,2.2,1.7,1.9,163.4,1,Medium
COD001,1.7,2.8,2.3,0,2.1,170.4,0,High
COG001,2.7,3.3,1.5,3.3,2.3,113,2,Medium
COL001,2.1,2.3,4,0,1.9,288.7,0,Medium
COL002,2.6,2.3,3.7,1.7,1.9,267.3,1,Medium
COL003,2.1,3,1.7,1.7,2.2,127.4,1,Medium
CRI002,2.1,3,3.4,0,2.2,247.3,0,Medium
DJI001,2.6,3.8,2.3,1.7,2.5,169.8,1,Medium
DJI002,2.4,3.8,3.3,0,2.5,241.6,0,Medium
DJI003,2.6,2.5,3.5,1.7,2,256.1,1,Medium
DZA002,5,x,5,5,x,387.3,3,Very Low
DZA003,2.9,3.8,5,0,2.5,474.2,0,Medium
DZA004,4.4,x,3.8,5,x,279.9,3,Very Low
ECU002,2.1,3.8,2.6,0,2.5,189.8,0,Medium
EGY002,1.7,3.8,1.4,0,2.5,102.5,0,High
ERI001,2.2,4,2.7,0,2.6,199.2,0,Medium
ESP002,2.2,3.5,3.2,0,2.4,234.8,0,Medium
ETH001,1.4,2.5,1.7,0,2,125.3,0,High
ETH002,1.7,1.5,3.6,0,1.6,265.7,0,High
ETH003,2.5,2.3,3.6,1.7,1.9,261.7,1,Medium
ETH004,1.7,3.5,1.5,0,2.4,107.8,0,High
FJI002,1.5,3.3,1.2,0,2.3,91,0,High
GRC002,1.2,2.3,1.3,0,1.9,98.6,0,High
GTM001,1.6,1.8,3.1,0,1.7,229.7,0,High
GTM003,1.3,2.3,1.6,0,1.9,115.6,0,High
HND001,1.8,1.8,3.6,0,1.7,259.6,0,High
HND002,1.4,2.5,1.7,0,2,121.5,0,High
HTI001,1.4,2,2.2,0,1.8,161.7,0,High
IDN002,4.2,x,5,3.3,x,403.1,2,Very Low
IDN006,1.2,2.3,1.3,0,1.9,92.6,0,High
IDN007,1.7,3.8,1.2,0,2.5,87.4,0,High
IND002,3.2,2.8,1.9,5,2.1,136.3,3,Low
IRN004,1.8,4.3,1.2,0,2.7,91.5,0,High
IRQ001,1,2.3,0.8,0,1.9,62.6,0,Very High
IRQ002,0.8,1.3,1.1,0,1.5,83.6,0,Very High
IRQ003,1.3,2.5,1.5,0,2,112.8,0,High
ITA002,3.5,2.3,5,3.3,1.9,751,2,Low
JOR002,1.2,2.8,0.8,0,2.1,62,0,High
KEN002,2.9,2,4.9,1.7,1.8,359.9,1,Medium
LBN002,1.2,2.5,1.2,0,2,86.7,0,High
LBN004,1.6,2,1.1,1.7,1.8,78.2,1,High
