INFORM Severity Index - all countries. Release: April 2021,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Complex crisis in Afghanistan,AFG001,Afghanistan,AFG,Complex crisis,4.6,5,Very High,Stable,High,5,4.9,5,4.5,5,4,4.3,4,4.5,Asia,2021-04-28
Nagorno-Karabakh Conflict in Armenia,ARM002,Armenia,ARM,Conflict,1.7,2,Low,Stable,Very High,2.3,3.5,1.6,1.2,1.4,1,1.8,2,1.5,Middle east,2021-04-26
Nagorno-Karabakh conflict in Azerbaijan,AZE002,Azerbaijan,AZE,Conflict,x,x,x,-,Medium,3.1,2.5,3.4,x,x,x,3,2.9,3,Middle east,2021-03-14
Complex in Burundi,BDI001,Burundi,BDI,Complex crisis,3.8,4,High,Increasing,High,3.9,4,3.8,4,4,4,3.3,3.1,3.5,Africa,2021-03-24
Conflict in Burkina Faso,BFA002,Burkina Faso,BFA,Conflict,3.9,4,High,Stable,High,3.8,2.9,4.1,4.45,3.9,5,3.1,2.7,3.5,Africa,2021-03-23
Rohingya refugee crisis,BGD002,Bangladesh,BGD,International displacement,3.2,4,High,Decreasing,High,2.7,0.1,3.6,3.6,3.2,4,3,2.5,3.5,Asia,2021-03-23
Venezuela displacement in Brazil,BRA002,Brazil,BRA,International displacement,2.4,3,Medium,Increasing,Medium,2.3,1.2,2.8,2.9,2.8,3,1.6,2.2,1,Americas,2021-01-29
Complex crisis in CAR,CAF001,CAR,CAF,Complex crisis,4.1,5,Very High,Increasing,High,4.3,4.3,4.3,4.05,4.1,4,3.9,3.8,4,Africa,2021-03-26
Multiple crises in Cameroon,CMR001,Cameroon,CMR,Multiple crises country,3.7,4,High,Stable,High,3.8,3.2,4,3.4,3.8,3,4.1,3.5,4.5,Africa,2021-03-26
Complex crisis in DRC,COD001,DRC,COD,Complex crisis,4.5,5,Very High,Stable,High,4.5,5,4.1,4.5,5,4,4.4,4.3,4.5,Africa,2021-03-26
Complex crisis in Congo,COG001,Congo,COG,Complex crisis,3.2,4,High,Stable,Medium,3.6,4.2,3.3,3.25,3.5,3,2.7,2.8,2.5,Africa,2021-01-07
Complex crisis in Colombia,COL001,Colombia,COL,Complex crisis,3.9,4,High,Decreasing,Medium,4.2,5,3.6,3.95,4.9,3,3.5,2.9,4,Americas,2021-01-28
Nicaraguan refugees in Costa Rica,CRI002,Costa Rica,CRI,International displacement,1.1,2,Low,Stable,Medium,1.3,1,1.5,1.05,1.1,1,1,0.9,1,Americas,2021-01-28
Multiple crises in Djibouti,DJI001,Djibouti,DJI,Multiple crises country,2.7,3,Medium,Decreasing,Medium,2.2,3.1,1.6,2.65,2.3,3,3.2,2.8,3.5,Africa,2021-02-11
Multiple crises in Algeria,DZA004,Algeria,DZA,Multiple crises country,x,x,x,-,Very Low,4.4,5,4,x,x,x,2.5,3,2,Africa,2020-11-27
Venezuela displacement in Ecuador,ECU002,Ecuador,ECU,International displacement,2.3,3,Medium,Decreasing,Medium,1.9,1.4,2.2,2.85,2.7,3,1.8,2.1,1.5,Americas,2021-01-29
Refugee Crisis in Egypt,EGY002,Egypt,EGY,International displacement,2.4,3,Medium,Increasing,High,2.3,2.4,2.3,2.4,2.8,2,2.6,3.2,2,Africa,2021-04-29
Complex crisis in Eritrea,ERI001,Eritrea,ERI,Complex crisis,3.7,4,High,Stable,Medium,3.4,3.8,3.1,3.5,4,3,4.1,2.6,5,Africa,2021-01-29
Mixed migration flows in spain,ESP002,Spain,ESP,International displacement,1.5,2,Low,Stable,Medium,2.4,2.2,2.5,1,1,1,1.5,2,1,Europe,2021-01-28
Complex crisis in Ethiopia,ETH001,Ethiopia,ETH,Complex crisis,4.5,5,Very High,Increasing,High,4.6,5,4.3,5,5,5,3.7,3.4,4,Africa,2021-03-24
Tropical cyclone Yasa in Fiji,FJI002,Fiji,FJI,Tropical cyclone,1.4,2,Low,Stable,High,1.7,3.1,0.8,1.1,0.2,2,1.7,1.9,1.5,Pacific,2021-01-29
Mixed migration flows in Greece,GRC002,Greece,GRC,International displacement,1.5,2,Low,Decreasing,High,2,0.3,2.7,1.2,0.4,2,1.7,1.8,1.5,Europe,2021-04-28
Complex crisis in Guatemala,GTM001,Guatemala,GTM,Complex crisis,3.4,4,High,Stable,High,3.7,4.3,3.4,3.6,4.2,3,2.9,3.3,2.5,Americas,2021-01-28
Complex crisis in Honduras,HND001,Honduras,HND,Complex crisis,3.2,4,High,Stable,High,3.7,4.2,3.4,3.25,3.5,3,2.8,3.1,2.5,Americas,2021-01-28
Complex crisis in Haiti,HTI001,Haiti,HTI,Complex crisis,3.8,4,High,Increasing,High,3.2,4,2.7,4.7,4.4,5,2.5,2.9,2,Americas,2021-03-28
Country Level,IDN007,Indonesia,IDN,Multiple crises country,2.1,3,Medium,Stable,High,2.8,2,3.1,1.8,1.6,2,2,2.8,1,Asia,2021-03-23
Conflict in Jammu and Kashmir,IND002,India,IND,Conflict,x,x,x,-,Low,2.6,2,2.9,x,x,x,2.8,2.6,3,Asia,2021-03-23
Afghan Refugees in Iran,IRN004,Iran,IRN,International displacement,3.4,4,High,Stable,High,2.8,2.7,2.8,4.05,4.1,4,2.7,2.8,2.5,Middle east,2021-03-15
Multiple crises in Iraq,IRQ001,Iraq,IRQ,Multiple crises country,4.2,5,Very High,Increasing,Very High,4.3,4.9,3.9,4.2,4.4,4,4,3.4,4.5,Middle east,2021-04-28
Mixed migration flows in Italy,ITA002,Italy,ITA,International displacement,x,x,x,-,Low,2.9,1.7,3.4,x,x,x,1.5,1.4,1.5,Europe,2019-04-17
Syrian refugees in Jordan,JOR002,Jordan,JOR,International displacement,3.2,4,High,Increasing,High,2.8,3,2.7,3.75,3.5,4,2.5,2.5,2.5,Middle east,2021-04-28
Refugee situation in Kenya,KEN002,Kenya,KEN,International displacement,2.7,3,Medium,Stable,Medium,2.9,1.9,3.3,2.95,2.9,3,2.1,2.9,1,Africa,2021-02-26
Socioeconomic crisis in Lebanon,LBN004,Lebanon,LBN,Political and economic crisis,3.7,4,High,Increasing,High,3.3,3.6,3.1,4.25,4.5,4,2.9,2.8,3,Middle east,2021-04-28
Complex crisis in Libya,LBY001,Libya,LBY,Multiple crises country,4,4,High,Decreasing,High,4,4.6,3.7,3.75,3.5,4,4.4,3.6,5,Africa,2021-04-26
Drought in Lesotho,LSO002,Lesotho,LSO,Drought,2.5,3,Medium,Stable,Medium,2.2,3,1.8,3.45,2.9,4,1.2,1.4,1,Africa,2020-11-26
Mixed migration flows in Morocco,MAR002,Morocco,MAR,International displacement,x,x,x,-,Very Low,3.9,4.8,3.2,x,x,x,2.2,3.1,1,Africa,2021-03-31
Drought in Madagascar,MDG002,Madagascar,MDG,Drought,3,3,Medium,Increasing,High,3,1.6,3.55,3.8,3.6,4,1.7,2.3,1,Africa,2021-01-29
Multiple crisis in Mexico,MEX001,Mexico,MEX,Multiple crises country,x,x,x,-,Very Low,4.6,4.6,4.6,x,x,x,3.1,3.2,3,Americas,2021-01-28
Complex crisis in Mali,MLI001,Mali,MLI,Complex crisis,4.1,5,Very High,Increasing,High,4.1,4.9,3.6,4.3,4.6,4,3.9,3.1,4.5,Africa,2021-03-26
Multiple crises in Myanmar,MMR001,Myanmar,MMR,Multiple crises country,3.7,4,High,Increasing,High,3.3,2.7,3.5,3.85,3.7,4,3.7,3.4,4,Asia,2021-03-23
Complex crisis in Mozambique,MOZ001,Mozambique,MOZ,Complex crisis,3.6,4,High,Increasing,High,4,4.5,3.7,3.5,4,3,3.3,3.5,3,Africa,2021-02-26
Food Security in Mauritania,MRT003,Mauritania,MRT,Drought,2.8,3,Medium,Stable,Low,3.2,4.4,2.3,2.9,2.8,3,2.3,2.6,2,Africa,2021-02-11
Complex crisis in Malawi,MWI002,Malawi,MWI,Complex crisis,2.8,3,Medium,Stable,Medium,3.1,4.3,2.2,3.5,4,3,1.5,2,1,Africa,2021-01-29
International Refugees in Malaysia,MYS001,Malaysia,MYS,International displacement,1.6,2,Low,-,Very High,1.5,1,1.8,1.55,2.1,1,1.9,1.7,2,Asia,2021-03-29
Food Security Crisis in Namibia,NAM002,Namibia,NAM,Food Security,2.1,3,Medium,Stable,Low,1.5,1.6,1.4,2.85,2.7,3,1.3,1.5,1,Africa,2020-11-26
Multiple crises in Niger,NER001,Niger,NER,Multiple crises country,3.7,4,High,Stable,High,4.1,4.9,3.6,3.65,4.3,3,3.4,2.6,4,Africa,2021-03-26
Complex crisis in Nigeria,NGA001,Nigeria,NGA,Complex crisis,4.1,5,Very High,Increasing,High,4.1,4.3,4,4,5,3,4.1,3.5,4.5,Africa,2021-03-26
Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,NIC,Political and economic crisis,x,x,x,-,Low,2.9,4.1,2,x,x,x,2.3,2.9,1.5,Americas,2021-01-28
Complex crisis in Pakistan,PAK001,Pakistan,PAK,Complex crisis,3.4,4,High,Stable,High,3.7,5,2.6,3.05,4.1,2,3.6,3.2,4,Asia,2021-04-28
Venezuela displacement in Peru,PER002,Peru,PER,International displacement,2.7,3,Medium,Stable,Medium,2.6,2.8,2.5,3.25,3.5,3,1.9,2.3,1.5,Americas,2021-01-29
Multiple crises in the Philippines,PHL001,Philippines,PHL,Multiple crises country,3,3,Medium,Stable,High,3.4,4.6,2.5,2.75,3.5,2,3,2.9,3,Asia,2021-03-26
Complex crisis in DPRK,PRK001,DPRK,PRK,Complex crisis,3.8,4,High,Increasing,Medium,3.9,4.6,3.5,4.5,5,4,2.5,2.9,2,Asia,2021-03-23
Conflict in Palestine,PSE002,Palestine,PSE,Conflict,4,4,High,Increasing,Very High,3.8,3.4,4,4.5,4,5,3.2,2.2,4,Middle east,2021-04-28
