,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
AFG001,821,93,93,46,2,93,93,93,93,93,93,154,154,154,154,154,154,154,154,154,85.3
ARM002,156,4,4,4,156,4,4,4,93,93,93,156,156,156,156,156,156,156,156,156,61.1
AZE002,177,134,134,47,156,177,177,177,177,177,177,156,156,156,156,156,156,156,156,156,155.5
BDI001,206,37,37,37,37,37,37,37,37,37,793,155,155,155,155,155,155,155,155,155,124.4
BFA002,315,38,38,38,38,197,197,197,197,197,805,156,156,156,156,156,156,156,156,156,206
BGD002,93,46,46,46,38,46,46,46,46,46,396,154,154,154,154,154,154,154,154,154,91
BRA002,518,91,91,91,206,91,91,91,91,91,805,546,546,546,546,546,546,546,546,546,219.4
CAF001,808,129,129,35,35,185,185,185,185,185,396,156,156,156,156,156,156,156,156,156,167.6
CMR001,619,64,64,35,35,64,64,64,64,64,807,155,155,155,155,155,155,155,155,155,141.6
CMR002,619,64,64,35,35,64,64,64,64,64,732,155,155,155,155,155,155,155,155,155,134.1
CMR003,807,64,64,35,35,64,64,64,64,64,619,155,155,155,155,155,155,155,155,155,122.8
CMR004,807,91,91,35,91,91,91,91,91,91,807,155,155,155,155,155,155,155,155,155,163.4
COD001,207,35,112,35,35,112,112,112,112,112,807,155,155,155,155,155,155,155,155,155,170.4
COG001,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
COL001,205,133,366,92,92,197,197,197,197,197,806,546,546,546,546,546,546,546,546,546,288.7
COL002,92,92,92,92,449,92,206,92,92,206,806,546,546,546,546,546,546,546,546,546,267.3
COL003,92,92,92,151,151,92,92,92,151,151,151,151,151,151,151,151,151,151,151,151,127.4
CRI002,449,206,92,92,304,92,92,92,206,206,750,547,547,547,547,547,547,547,547,547,247.3
DJI001,205,78,78,500,78,78,78,78,78,78,500,152,152,152,152,152,152,152,152,152,169.8
