,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.5,2.3,2.3,0,1.9,171.5,0,High
ARM002,1.3,2,1.9,0,1.8,140,0,High
AZE002,3.5,x,3.6,3.3,x,259.6,2,Low
BDI001,1.8,2.3,3.1,0,1.9,227.9,0,High
BFA002,0.9,0.5,2.1,0,1.2,150.8,0,Very High
BGD002,1.3,1.5,2.3,0,1.6,166.2,0,High
BRA002,2.5,3.5,3.9,0,2.4,283.6,0,Medium
CAF001,2.3,3.5,3.4,0,2.4,248.1,0,Medium
CHN003,0.8,2,0.4,0,1.8,26.8,0,Very High
CMR001,1,0.5,2.4,0,1.2,175.6,0,Very High
CMR002,1.7,1.8,3.3,0,1.7,238.1,0,High
CMR003,1.8,2.3,3.1,0,1.9,226.9,0,High
CMR004,2.6,2.3,3.7,1.7,1.9,267.5,1,Medium
COD001,1.9,2.3,3.4,0,1.9,251.1,0,High
COG001,3.2,3.3,3,3.3,2.3,220.7,2,Low
COL001,1.7,2.3,2.7,0,1.9,195.6,0,High
COL002,2.8,2.3,4.5,1.7,1.9,331.1,1,Medium
CRI002,2.5,3.3,4.3,0,2.3,312.1,0,Medium
DJI001,1,2.3,0.8,0,1.9,57.4,0,Very High
DJI002,1,2.3,0.8,0,1.9,57.4,0,Very High
DJI003,1,2.3,0.8,0,1.9,57.4,0,Very High
DZA002,5,x,5,5,x,465.6,3,Very Low
DZA003,2.9,3.8,5,0,2.5,552.5,0,Medium
DZA004,5,x,5,5,x,383.4,3,Very Low
ECU002,2.6,3.8,4,0,2.5,294.5,0,Medium
EGY002,1.9,3.8,1.9,0,2.5,139.2,0,High
ERI001,2.7,3.8,4.2,0,2.5,303.6,0,Medium
ESP002,1.5,2.3,2.1,0,1.9,152.6,0,High
ETH001,1.1,2.3,1,0,1.9,72.3,0,High
ETH002,1,2,1,0,1.8,76.3,0,Very High
ETH003,1.1,2.3,1,0,1.9,72.3,0,High
ETH004,1.4,3.3,0.9,0,2.3,68.3,0,High
GRC002,1.7,2.3,2.7,0,1.9,195.9,0,High
GTM001,1.9,1.8,4,0,1.7,294.6,0,High
GTM003,1.8,2.3,3,0,1.9,219,0,High
HND001,2.1,2,4.4,0,1.8,324.2,0,Medium
HND002,1.9,2.5,3.1,0,2,224.9,0,High
HTI001,1.2,3.3,0.2,0,2.3,13.4,0,High
HTI002,1.3,3.8,0.1,0,2.5,10.5,0,High
IDN002,3.4,x,5,1.7,x,444.9,1,Low
IND002,3.5,2.3,3.2,5,1.9,233,3,Low
IRN004,2,4.3,1.6,0,2.7,120.4,0,High
IRQ001,1.3,2.3,1.7,0,1.9,123.1,0,High
IRQ002,1.2,1.3,2.3,0,1.5,172,0,High
IRQ003,1.6,2.5,2.4,0,2,173.3,0,High
ITA002,1.5,2.3,2.1,0,1.9,152.3,0,High
JOR002,1.5,2.8,1.7,0,2.1,122.4,0,High
KEN002,3,2.3,5,1.7,1.9,424,1,Medium
LBN002,1.6,3.5,1.3,0,2.4,98.3,0,High
LBN004,2.1,3.5,1.2,1.7,2.4,89.8,1,Medium
LBY001,1.5,1.8,2.6,0,1.7,188.3,0,High
LBY002,1,1.8,1.1,0,1.7,79.5,0,Very High
LSO002,1,2,1.1,0,1.8,81.7,0,Very High
MAR002,5,x,5,5,x,513.8,3,Very Low
MDG002,0.5,0.8,0.8,0,1.3,59.2,0,Very High
MEX001,4.2,x,5,3.3,x,518.1,2,Very Low
MEX002,4.2,x,5,3.3,x,538.2,2,Very Low
MEX003,3.4,x,5,1.7,x,535.6,1,Low
MLI001,1.6,2,2.9,0,1.8,213.7,0,High
MMR001,1.2,2.3,1.3,0,1.9,92.1,0,High
MMR002,1.6,2.3,2.4,0,1.9,172.2,0,High
MMR003,1.6,2.3,2.4,0,1.9,172.2,0,High
MMR004,1.2,2.8,0.7,0,2.1,51.9,0,High
MOZ004,1.3,3.3,0.7,0,2.3,50.4,0,High
MRT002,1.3,2.3,1.6,0,1.9,117.2,0,High
MRT003,2.4,2.3,1.6,3.3,1.9,114.4,2,Medium
MWI002,0.7,0.5,1.7,0,1.2,123.3,0,Very High
MYS001,1.2,2.3,1.4,0,1.9,102.5,0,High
NAM002,1.7,2,1.4,1.7,1.8,106.2,1,High
NER001,1.9,2,3.6,0,1.8,261.4,0,High
NER002,2.3,3.3,3.6,0,2.3,261.4,0,Medium
NER003,2.4,3.5,3.6,0,2.4,261.4,0,Medium
NER004,2.3,3.8,3.2,0,2.5,230.7,0,Medium
NGA001,1.8,3.8,1.5,0,2.5,108.2,0,High
NGA003,1.7,3.5,1.7,0,2.4,122,0,High
NGA004,2.1,3,1.5,1.7,2.2,108.4,1,Medium
NGA007,1.6,3.5,1.4,0,2.4,105.3,0,High
NGA008,2.2,3.3,1.6,1.7,2.3,116.6,1,Medium
NIC001,3.4,x,5,1.7,x,643.8,1,Low
NIC002,1.8,2.3,3.2,0,1.9,236.7,0,High
PAK001,2,3.5,2.4,0,2.4,175,0,High
PAK004,3.4,3.5,5,1.7,2.4,686.2,1,Low
PER002,2.6,3.8,3.9,0,2.5,284.9,0,Medium
PHL003,1.6,2.5,2.2,0,2,160,0,High
PRK001,2.5,2.5,5,0,2,387,0,Medium
PSE002,1.9,3.3,2.4,0,2.3,176.8,0,High
REG001,1.7,2,3,0,1.8,219.8,0,High
REG002,3.6,3.3,4.2,3.3,2.3,307.7,2,Low
REG003,4.2,x,5,3.3,x,617,2,Very Low
REG004,2.1,4,2.2,0,2.6,162.2,0,Medium
REG006,5,x,5,5,x,683.1,6,Very Low
REG007,5,x,5,5,x,709.9,5,Very Low
REG008,5,x,5,5,x,709.9,5,Very Low
REG011,1.5,2.3,2.2,0,1.9,159.5,0,High
REG012,1,2.3,0.7,0,1.9,53.8,0,Very High
REG013,3.5,x,3.6,3.3,x,261.5,2,Low
RWA002,3,2,3.8,3.3,1.8,281.2,2,Medium
SDN001,0.6,0.8,0.9,0,1.3,66.2,0,Very High
SDN005,1,2.3,0.6,0,1.9,46.6,0,Very High
SDN006,3.1,3.5,4,1.7,2.4,289.9,1,Low
SDN007,1,2.3,0.7,0,1.9,49.4,0,Very High
SDN008,0.9,2,0.7,0,1.8,49.7,0,Very High
SEN002,2.8,1.8,5,1.7,1.7,389.5,1,Medium
SLV001,2.2,2.3,4.2,0,1.9,308.1,0,Medium
SOM001,1.7,2,3.2,0,1.8,231.3,0,High
SOM002,1.1,2,1.3,0,1.8,98,0,High
SOM004,1.4,3,1.1,0,2.2,83.4,0,High
SSD001,2,1.8,4.2,0,1.7,306.2,0,High
SWZ001,1.3,0.8,1.4,1.7,1.3,105.6,1,High
SYR001,1.1,1,2.3,0,1.4,165.3,0,High
TCD001,2.2,3.5,3,0,2.4,216.2,0,Medium
TCD003,2.7,4,4.2,0,2.6,308.4,0,Medium
TCD004,2.4,2.3,5,0,1.9,524.6,0,Medium
TCD005,2.5,2.5,5,0,2,447.5,0,Medium
TCD006,2.9,3.8,5,0,2.5,435.2,0,Medium
THA001,1.8,2.3,3.1,0,1.9,230.2,0,High
THA002,4.2,x,5,3.3,x,533.2,2,Very Low
THA003,2.4,2.3,3.2,1.7,1.9,232.8,1,Medium
TLS002,1.1,1.8,1.6,0,1.7,117,0,High
TTO002,2.8,3.3,5,0,2.3,539,0,Medium
TUN002,3.4,2,5,3.3,1.8,657.4,2,Low
TUR001,1.5,2.5,2.1,0,2,150.7,0,High
TUR002,1.8,2.3,3.2,0,1.9,237.3,0,High
TUR003,1.5,2.5,2.1,0,2,150.7,0,High
TUR004,2.5,2.5,5,0,2,756.9,0,Medium
TZA002,0.6,1,0.7,0,1.4,55.1,0,Very High
UGA005,2.9,2.3,4.6,1.7,1.9,335.8,1,Medium
UKR002,1.6,1.8,3.1,0,1.7,229.8,0,High
VCT002,1.2,2,1.7,0,1.8,121.6,0,High
VEN001,2.5,3.3,4.3,0,2.3,312.3,0,Medium
YEM001,1.5,2,2.5,0,1.8,185.4,0,High
YEM002,1.7,2.3,2.7,0,1.9,199.4,0,High
ZMB002,0.7,0.5,1.7,0,1.2,122.4,0,Very High
ZWE001,1.1,2.5,0.8,0,2,58.8,0,High
