,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
AFG001,944,216,216,62,62,216,216,216,216,216,216,79,79,79,79,79,79,79,79,79,171.5
ARM002,279,127,127,127,26,127,127,127,216,216,216,91,91,91,91,91,91,91,91,91,140
AZE002,300,257,257,170,279,300,300,300,300,300,300,90,90,90,90,90,90,90,90,90,259.6
BDI001,329,160,160,160,160,160,160,160,160,160,916,83,83,83,83,83,83,83,83,83,227.9
BFA002,62,62,62,62,62,62,62,62,62,62,928,84,84,84,84,84,84,84,84,84,150.8
BGD002,216,105,105,105,6,169,169,169,169,169,519,82,84,84,84,84,84,84,84,82,166.2
BRA002,641,214,214,214,329,214,214,214,214,214,928,81,81,81,81,81,81,81,81,81,283.6
CAF001,931,252,252,43,43,308,308,308,308,308,519,84,84,84,84,84,84,84,84,84,248.1
CHN003,27,27,27,27,27,27,27,27,27,27,27,25,25,25,25,25,25,25,25,25,26.8
CMR001,93,93,93,93,92,92,92,92,92,92,930,88,88,88,85,88,88,85,85,85,175.6
CMR002,742,187,187,158,158,187,187,187,187,187,855,88,88,88,88,88,88,88,88,88,238.1
CMR003,930,187,187,158,158,187,187,187,187,187,742,89,89,89,89,89,89,89,89,89,226.9
CMR004,930,214,214,158,214,214,214,214,214,214,930,89,89,89,89,89,89,89,89,89,267.5
COD001,330,158,235,43,43,235,235,235,235,235,930,85,85,85,85,85,85,85,85,85,251.1
COG001,236,236,236,236,236,236,236,236,236,236,236,83,83,83,83,83,83,83,83,83,220.7
COL001,328,104,104,104,215,104,104,104,104,104,929,84,84,84,84,84,84,84,84,84,195.6
COL002,215,215,215,215,572,215,329,215,215,329,929,77,77,77,77,77,77,77,77,77,331.1
CRI002,572,329,215,215,427,215,215,215,329,329,873,88,88,88,88,88,88,88,88,88,312.1
DJI001,55,55,55,55,55,55,55,55,55,55,55,79,79,79,79,79,79,79,79,79,57.4
DJI002,55,55,55,55,55,55,55,55,55,55,55,79,79,79,79,79,79,79,79,79,57.4
DJI003,55,55,55,55,55,55,55,55,55,55,55,79,79,79,79,79,79,79,79,79,57.4
DZA002,641,572,447,447,28,641,641,641,641,641,447,82,82,82,82,82,82,82,82,82,465.6
DZA003,572,928,641,641,28,641,641,641,641,641,928,82,82,82,82,82,82,82,82,82,552.5
DZA004,434,434,434,434,280,434,434,434,434,434,434,82,82,82,82,82,82,82,82,82,383.4
ECU002,572,214,214,214,427,214,214,214,214,214,929,91,91,91,91,91,91,91,91,91,294.5
EGY002,489,154,28,64,28,28,28,64,64,64,932,92,92,92,92,92,92,92,92,92,139.2
ERI001,328,649,214,214,214,275,275,275,275,275,930,89,89,89,89,89,89,89,89,89,303.6
ESP002,215,215,63,63,63,63,63,63,63,63,929,93,93,93,93,93,93,93,93,93,152.6
ETH001,76,76,76,76,36,76,76,76,76,76,76,79,79,79,79,79,79,79,79,79,72.3
ETH002,76,76,76,76,76,76,76,76,76,76,76,79,79,79,79,79,79,79,79,79,76.3
ETH003,76,76,76,76,36,76,76,76,76,76,76,79,79,79,79,79,79,79,79,79,72.3
ETH004,76,76,76,36,36,76,76,76,76,76,76,79,79,79,79,79,79,79,79,79,68.3
GRC002,854,125,125,125,62,125,125,125,125,125,938,84,84,84,84,84,84,84,84,84,195.9
GTM001,328,329,329,329,215,215,215,215,215,329,795,89,89,88,88,89,89,88,88,88,294.6
GTM003,215,215,215,215,215,215,215,215,274,274,274,78,78,78,78,78,78,78,78,78,219
HND001,328,329,329,329,215,256,256,256,256,329,930,86,86,86,86,88,88,86,86,86,324.2
HND002,274,215,215,215,274,215,215,215,274,274,274,78,78,78,78,78,78,78,78,78,224.9
HTI001,946,13,13,13,13,0,0,0,0,0,13,82,82,82,82,82,82,82,82,82,13.4
HTI002,13,13,0,13,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,10.5
IDN002,580,580,580,33,76,580,580,580,580,580,763,97,97,97,97,97,97,97,97,97,444.9
IND002,216,216,216,216,76,216,216,216,216,216,643,99,99,99,99,104,104,99,99,99,233
IRN004,169,169,62,62,519,62,62,62,62,62,169,82,82,82,82,82,82,82,82,82,120.4
IRQ001,215,215,215,63,63,63,63,63,63,63,489,86,86,86,86,86,86,86,86,86,123.1
IRQ002,215,185,156,63,63,156,156,156,156,156,572,86,86,86,86,86,86,86,86,86,172
IRQ003,215,63,63,63,278,63,63,63,63,63,928,86,86,86,86,86,86,86,86,86,173.3
ITA002,928,63,63,63,63,63,63,63,63,63,928,91,91,91,91,91,91,91,91,91,152.3
JOR002,63,63,63,63,274,63,63,63,63,63,424,85,85,85,85,85,85,85,85,85,122.4
KEN002,186,186,186,186,928,186,519,186,519,519,928,83,83,83,83,83,83,83,83,83,424
LBN002,20,20,20,20,307,20,20,20,20,20,452,84,84,84,84,84,84,84,84,84,98.3
LBN004,20,20,20,185,20,20,20,20,20,20,489,84,84,84,84,84,84,84,84,84,89.8
LBY001,489,154,489,27,27,153,153,153,153,153,489,86,86,86,86,86,86,86,86,86,188.3
LBY002,337,154,27,27,27,27,27,27,27,27,489,90,90,90,90,90,90,90,90,90,79.5
LSO002,51,51,51,326,51,51,51,51,51,51,51,83,83,83,83,83,83,83,83,83,81.7
MAR002,336,447,447,447,26,641,641,641,641,641,928,85,85,85,85,85,85,85,85,85,513.8
MDG002,55,55,55,55,55,55,55,55,55,55,55,97,97,97,97,97,97,97,97,97,59.2
MEX001,641,628,641,427,215,628,641,628,641,641,641,78,81,81,78,81,81,81,81,81,518.1
MEX002,641,628,628,641,215,628,641,628,641,641,641,78,78,78,78,78,78,78,78,78,538.2
MEX003,641,628,628,628,215,628,628,628,641,641,641,78,78,78,78,78,78,78,78,78,535.6
MLI001,330,172,172,35,35,172,172,172,172,172,950,85,85,85,85,85,85,85,85,85,213.7
MMR001,34,34,64,0,8,34,64,34,211,211,211,84,84,84,84,84,84,84,84,84,92.1
MMR002,211,211,211,0,161,211,211,211,211,211,211,84,84,84,84,84,84,84,84,84,172.2
MMR003,211,211,211,0,161,211,211,211,211,211,211,84,84,84,84,84,84,84,84,84,172.2
MMR004,35,35,35,0,69,35,69,35,69,69,69,69,69,69,69,69,69,69,69,69,51.9
