Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,652867,38042000,38042000,10848000,x,x,23931,x,x,#N/A,13114,0,19642000,12100000,5800000,500000,5,x,x,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0
Drought in South-West Angola,Food Security,AGO002,Angola,AGO,212514,2727000,2187000,3000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,540000,837000,1026000,324000,0,3,#N/A,#N/A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Nagorno-Karabakh Conflict in Armenia,Conflict,ARM002,Armenia,ARM,28203,3024000,84000,66000,x,x,1,x,x,#N/A,x,2874000,18000,66000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nagorno-Karabakh conflict in Azerbaijan,Conflict,AZE002,Azerbaijan,AZE,31560,5874000,5874000,91000,x,x,91,x,x,#N/A,x,x,x,x,x,x,3,x,x,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0
Complex in Burundi,Complex crisis,BDI001,Burundi,BDI,25680,12600000,12600000,416000,x,70187,262,x,x,#N/A,444,0,10200000,1272000,1032000,96000,5,x,x,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,166445,3523000,3442000,1442000,x,x,1341,x,x,#N/A,x,81000,2000000,983000,175000,284000,4,x,x,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.0,3.0
Rohingya refugee crisis,International displacement,BGD002,Bangladesh,BGD,650,1356000,1356000,884000,607,0,x,x,x,#N/A,x,0,0,1356000,0,0,3,0,0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,3.0
Venezuela displacement in Brazil,International displacement,BRA002,Brazil,BRA,224274,653000,381000,490000,x,x,0,x,x,#N/A,x,272000,2000,379000,0,0,2,x,x,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,623000,4900000,4900000,1557000,x,x,708,x,x,#N/A,x,0,2100000,900000,1900000,0,5,x,x,1.0,3.0,2.0,3.0,0.0,3.0,3.0,0.0,3.0
Multiple crises in Cameroon,Multiple crises country,CMR001,Cameroon,CMR,440640,25876000,4343000,2009000,150,x,670,x,x,#N/A,x,21533000,343000,2000000,2000000,0,5,x,x,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0
Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,34263,3112000,1200000,580000,x,x,212,x,x,#N/A,5.2,1912000,0,917000,284000,0,5,x,x,1.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,3.0
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,76850,4476000,2449000,1117000,x,x,286,x,x,#N/A,x,2027000,1489000,882000,78000,0,4,x,377500,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0
CAR refugees in Cameroon,International displacement,CMR004,Cameroon,CMR,172703,1565000,316000,320000,0,x,x,0,0,#N/A,x,1249000,0,316000,0,0,3,x,x,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0
