,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.4,2.5,1.8,0,2,128.9,0,High
AGO002,0.2,0.5,0.2,0,1.2,14.6,0,Very High
ARM002,1.8,2,3.4,0,1.8,247.2,0,High
AZE002,4.2,x,5,3.3,x,366.9,2,Very Low
BDI001,2.3,2.3,4.6,0,1.9,335.7,0,Medium
BFA002,1.2,0.5,3.1,0,1.2,230.3,0,High
BGD002,1.6,0.8,2.3,1.7,1.3,169.1,1,High
BRA002,2.3,3.3,3.7,0,2.3,271.7,0,Medium
CAF001,2.7,3.5,4.7,0,2.4,341.8,0,Medium
CMR001,1.3,0.5,3.4,0,1.2,247.8,0,High
CMR002,0.9,0.3,2.3,0,1.1,166.8,0,Very High
CMR003,2.3,2.3,4.6,0,1.9,334.2,0,Medium
CMR004,3,2.3,5,1.7,1.9,374.8,1,Medium
COD001,2.3,2.3,4.6,0,1.9,334.3,0,Medium
COG001,3.7,3.3,4.5,3.3,2.3,328.6,2,Low
COL001,1.5,2,2.6,0,1.8,189.9,0,High
COL002,2.5,2.3,3.5,1.7,1.9,255.8,1,Medium
CRI002,2.8,3.3,5,0,2.3,419.7,0,Medium
DJI001,0.9,2.3,0.3,0,1.9,20.7,0,Very High
DJI002,0.9,2.3,0.4,0,1.9,27.4,0,Very High
DJI003,1.8,2.3,1.3,1.7,1.9,94.9,1,High
DZA002,5,x,5,5,x,574.3,3,Very Low
DZA003,2.9,3.8,5,0,2.5,661.2,0,Medium
DZA004,5,x,5,5,x,492.1,3,Very Low
ECU002,2.9,3.8,5,0,2.5,401.7,0,Medium
EGY002,2.4,3.8,3.4,0,2.5,246.9,0,Medium
ERI001,2.9,3.8,5,0,2.5,410.8,0,Medium
ESP002,2,2.3,3.6,0,1.9,259.8,0,High
ETH001,1.3,2,2,0,1.8,145.5,0,High
ETH002,0.9,2,0.7,0,1.8,49.5,0,Very High
ETH003,0.9,2,0.7,0,1.8,48.5,0,Very High
ETH004,1.2,3.3,0.2,0,2.3,18.3,0,High
GRC002,1.5,2.5,1.9,0,2,140.7,0,High
GTM001,0.9,2,0.6,0,1.8,47.5,0,Very High
HND001,0.9,2,0.6,0,1.8,46.4,0,Very High
HTI001,1.7,3.3,1.7,0,2.3,121.6,0,High
HTI002,1.7,3.5,1.7,0,2.4,125.6,0,High
IDN002,2.1,3.8,2.4,0,2.5,177.6,0,Medium
IND002,4.1,2.8,4.4,5,2.1,321.5,3,Very Low
IRN004,1.9,4.3,1.4,0,2.7,102.5,0,High
IRQ001,1.6,3.8,0.9,0,2.5,69.9,0,High
IRQ002,1.2,2.5,1.1,0,2,78.2,0,High
IRQ003,2,3.8,2.1,0,2.5,153.6,0,High
ITA002,2,2.3,3.6,0,1.9,259.7,0,High
JOR002,1.7,3.8,1.4,0,2.5,102.8,0,High
KEN001,1.2,3,0.5,0,2.2,37.1,0,High
KEN002,1.7,2.8,0.5,1.7,2.1,37.1,1,High
KEN003,2.2,2.8,0.6,3.3,2.1,46.2,2,Medium
LBN002,1.7,3.5,1.5,0,2.4,108.9,0,High
LBN004,2.2,3.5,1.4,1.7,2.4,100.4,1,Medium
LBY001,2,1.8,4.1,0,1.7,296,0,High
LBY002,1.5,1.8,2.6,0,1.7,186.8,0,High
LSO002,0.7,0.8,1.2,0,1.3,86.7,0,Very High
MAR002,5,x,5,5,x,621.8,3,Very Low
MDG002,0.5,0.8,0.7,0,1.3,52.9,0,Very High
MEX001,1.7,4,1.2,0,2.6,91.8,0,High
MEX002,2.7,4,2.5,1.7,2.6,183.1,1,Medium
MEX003,1.7,4,1.2,0,2.6,91.8,0,High
MLI001,2,2,4.1,0,1.8,298.5,0,High
MMR001,1.5,2.3,2.3,0,1.9,169.5,0,High
MMR002,1.9,2.3,3.3,0,1.9,242.7,0,High
MMR003,1.9,2.3,3.3,0,1.9,242.7,0,High
MMR004,1.4,2.5,1.7,0,2,121.8,0,High
MOZ004,1.3,2.3,1.7,0,1.9,124.4,0,High
MRT002,1.8,2.3,3.1,0,1.9,225.4,0,High
MRT003,2.9,2.3,3,3.3,1.9,222.6,2,Medium
MWI002,0.8,0.8,1.7,0,1.3,127.3,0,Very High
MYS001,1.5,2.3,2.2,0,1.9,161.8,0,High
NAM002,1.7,2,1.3,1.7,1.8,95.9,1,High
NER001,2.1,1.8,4.4,0,1.7,320.9,0,Medium
NER002,2.5,3,4.5,0,2.2,331.7,0,Medium
NER003,2.6,3.3,4.5,0,2.3,331.8,0,Medium
NER004,2.5,3.3,4.1,0,2.3,301,0,Medium
NGA001,1.9,4,1.7,0,2.6,125.5,0,High
NGA003,1.8,3.8,1.7,0,2.5,125.6,0,High
NGA004,2.4,3,2.6,1.7,2.2,190.5,1,Medium
NGA007,1.8,3.8,1.5,0,2.5,108.9,0,High
NGA008,1.9,2.3,1.6,1.7,1.9,119.5,1,High
NIC001,3.4,x,5,1.7,x,751.6,1,Low
PAK001,1.3,2.3,1.6,0,1.9,115.4,0,High
PAK004,3.3,x,1.5,5,x,113.4,3,Low
PER002,2.5,3.5,0.6,3.3,2.4,41.6,2,Medium
PHL001,1.6,3,0.2,1.7,2.2,12,1,High
PHL003,1.8,2.8,2.5,0,2.1,179.9,0,High
PHL010,1.7,3.3,0.2,1.7,2.3,12,1,High
PRK001,2.5,2.5,5,0,2,486.1,0,Medium
PSE002,0.9,0.8,1.9,0,1.3,138.4,0,Very High
REG001,2.2,2,4.5,0,1.8,327.7,0,Medium
REG002,3.9,3.3,5,3.3,2.3,416.3,2,Low
REG003,4.2,x,5,3.3,x,700.4,2,Very Low
REG004,1.8,4,1.4,0,2.6,103.5,0,High
REG006,1.9,2.5,1.4,1.7,2,103.8,1,High
REG007,5,x,5,5,x,817.6,5,Very Low
REG008,5,x,5,5,x,817.6,5,Very Low
REG011,1,2.3,0.8,0,1.9,62.4,0,Very High
REG012,0.9,2.3,0.3,0,1.9,20.6,0,Very High
REG013,4.2,x,5,3.3,x,369.1,2,Very Low
RWA002,3.4,2,5,3.3,1.8,389.2,2,Low
SDN001,0.4,0.8,0.4,0,1.3,28.3,0,Very High
SDN005,0.9,2.3,0.5,0,1.9,38.8,0,Very High
SDN006,0.9,2,0.8,0,1.8,56.3,0,Very High
SDN007,0.9,2,0.6,0,1.8,46.5,0,Very High
SDN008,0.5,1,0.5,0,1.4,37.8,0,Very High
SEN002,2.8,1.8,5,1.7,1.7,497.5,1,Medium
SLV001,0.9,2,0.6,0,1.8,47.2,0,Very High
SOM001,1.3,1.8,2,0,1.7,146.6,0,High
SOM002,1.6,2,2.8,0,1.8,205.3,0,High
SOM005,1.2,3.3,0.2,0,2.3,16.3,0,High
SSD001,2.3,1.8,5,0,1.7,413.6,0,Medium
SWZ001,1.4,0.8,1.6,1.7,1.3,116.9,1,High
SYR001,1.4,2.3,2,0,1.9,145.9,0,High
TCD001,2.4,3.3,3.8,0,2.3,275.9,0,Medium
TCD003,3,4,5,0,2.6,416.3,0,Medium
TCD004,2.4,2.3,5,0,1.9,632.5,0,Medium
TCD005,2.5,2.5,5,0,2,555.5,0,Medium
TCD006,2.9,3.8,5,0,2.5,543.2,0,Medium
THA001,2,2.3,3.6,0,1.9,263.3,0,High
THA002,5,x,5,5,x,558.5,3,Very Low
THA003,2.7,2.3,4,1.7,1.9,292.4,1,Medium
