,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
AFG001,1066,338,338,3,3,107,107,107,107,107,338,72,72,72,72,72,72,72,72,72,128.9
AGO002,15,15,15,15,15,15,15,15,15,15,11,15,15,15,15,15,15,15,15,15,14.6
ARM002,401,249,249,249,148,249,249,249,338,338,338,65,65,65,65,65,65,65,65,65,247.2
AZE002,422,379,379,292,401,422,422,422,422,422,422,65,65,65,65,65,65,65,65,65,366.9
BDI001,451,282,282,282,282,282,282,282,282,282,1038,63,63,63,63,63,63,63,63,63,335.7
BFA002,184,184,184,42,42,184,184,184,184,184,1050,65,65,65,65,66,65,65,65,65,230.3
BGD002,338,227,227,227,46,95,95,102,95,95,641,68,68,68,206,72,72,68,68,68,169.1
BRA002,763,36,36,336,451,36,36,36,336,336,1050,64,64,64,64,64,64,64,64,64,271.7
CAF001,1053,374,374,94,94,430,430,430,430,430,641,65,65,65,65,65,65,65,65,65,341.8
CMR001,215,215,215,39,39,214,214,214,214,214,1052,63,63,63,63,63,63,63,63,63,247.8
CMR002,864,66,66,87,39,87,87,87,87,87,977,64,64,64,64,64,64,64,64,64,166.8
CMR003,1052,309,309,280,280,309,309,309,309,309,864,64,64,64,64,64,64,64,64,64,334.2
CMR004,1052,336,336,280,336,336,336,336,336,336,1052,64,64,64,64,64,64,64,64,64,374.8
COD001,452,280,357,42,42,357,357,357,357,357,1052,65,65,65,65,65,65,65,65,65,334.3
COG001,358,358,358,358,358,358,358,358,358,358,358,64,64,64,64,64,64,64,64,64,328.6
COL001,450,105,105,67,73,105,105,105,105,105,1051,78,78,78,78,78,78,78,73,78,189.9
COL002,337,105,105,105,694,105,105,105,105,105,1051,78,78,78,78,78,78,78,73,78,255.8
CRI002,694,451,337,337,549,337,337,337,451,451,995,66,66,66,66,66,66,66,66,66,419.7
DJI001,110,110,4,4,4,4,4,4,4,4,110,65,65,65,65,65,65,65,65,65,20.7
DJI002,110,110,4,4,4,4,4,4,4,4,177,65,65,65,65,65,65,65,65,65,27.4
DJI003,110,110,110,110,4,110,110,110,110,110,110,65,65,65,65,65,65,65,65,65,94.9
DZA002,763,694,569,569,150,763,763,763,763,763,569,71,71,71,71,71,71,71,71,71,574.3
DZA003,694,1050,763,763,150,763,763,763,763,763,1050,71,71,71,71,71,71,71,71,71,661.2
DZA004,556,556,556,556,402,556,556,556,556,556,556,71,71,71,71,71,71,71,71,71,492.1
ECU002,694,336,336,336,549,336,336,336,336,336,1051,65,65,65,65,65,65,65,65,65,401.7
EGY002,611,276,150,186,150,150,150,186,186,186,1054,71,71,71,71,71,71,71,71,71,246.9
ERI001,450,771,336,336,336,397,397,397,397,397,1052,63,63,63,63,63,63,63,63,63,410.8
ESP002,337,337,185,185,185,185,185,185,185,185,1051,67,67,67,67,67,67,67,67,67,259.8
ETH001,198,198,198,4,4,198,198,198,198,198,198,61,61,61,61,61,61,61,61,61,145.5
ETH002,198,106,106,4,106,4,4,4,4,4,198,61,61,61,61,61,61,61,61,61,49.5
ETH003,198,198,198,4,4,4,4,4,4,4,198,61,61,61,61,61,61,61,61,61,48.5
ETH004,47,47,47,4,4,4,4,4,4,4,47,61,61,61,61,61,61,61,61,61,18.3
GRC002,976,39,39,39,2,39,39,39,39,39,1060,72,72,72,72,72,72,72,72,72,140.7
GTM001,45,45,45,45,45,45,45,45,45,45,45,70,70,70,70,70,70,70,70,70,47.5
HND001,44,44,44,44,44,44,44,44,44,44,44,68,68,68,68,68,68,68,68,68,46.4
HTI001,1068,135,135,135,135,122,122,122,122,122,135,66,66,66,66,66,66,66,66,66,121.6
HTI002,135,123,122,135,133,133,133,133,133,133,135,66,66,66,66,66,66,66,66,66,125.6
IDN002,702,702,702,31,16,11,11,31,11,11,885,67,67,67,67,67,67,67,67,67,177.6
IND002,338,338,338,338,16,338,338,338,338,338,765,68,68,68,68,68,68,68,68,68,321.5
IRN004,291,291,3,3,641,3,3,3,3,3,291,72,72,72,72,72,72,72,72,72,102.5
IRQ001,337,2,2,2,2,2,2,2,2,2,611,72,72,72,72,72,72,72,72,72,69.9
IRQ002,2,2,2,2,2,2,2,2,2,2,694,72,72,72,72,72,72,72,72,72,78.2
IRQ003,337,40,2,2,400,2,2,2,2,2,1050,72,72,72,72,72,72,72,72,72,153.6
ITA002,1050,185,185,185,185,185,185,185,185,185,1050,67,67,67,67,67,67,67,67,67,259.7
JOR002,185,185,2,2,396,2,2,2,2,2,546,72,72,72,72,72,72,72,72,72,102.8
KEN001,105,14,14,14,105,14,14,14,14,14,105,63,63,63,63,63,63,63,63,63,37.1
KEN002,105,14,14,14,105,14,14,14,14,14,105,63,63,63,63,63,63,63,63,63,37.1
KEN003,105,105,14,105,105,14,14,14,14,14,105,63,63,63,63,63,63,63,63,63,46.2
LBN002,142,142,2,2,429,2,2,2,2,2,574,72,72,72,72,72,72,72,72,72,108.9
LBN004,142,142,2,307,2,2,2,2,2,2,611,72,72,72,72,72,72,72,72,72,100.4
LBY001,611,276,611,149,149,275,275,275,275,275,611,65,65,65,65,65,65,65,65,65,296
LBY002,459,276,149,149,149,149,149,149,149,149,611,65,65,65,65,65,65,65,65,65,186.8
LSO002,110,40,40,448,4,40,40,40,40,40,110,65,65,65,65,65,65,65,65,65,86.7
MAR002,458,569,569,569,148,763,763,763,763,763,1050,67,67,67,67,67,67,67,67,67,621.8
MDG002,110,110,40,110,4,40,40,40,40,40,110,65,65,65,65,65,65,65,65,65,52.9
MEX001,94,94,94,94,94,94,94,94,94,94,94,72,72,72,72,72,72,72,72,72,91.8
MEX002,94,94,94,94,337,94,94,94,94,94,763,73,73,73,73,73,73,73,73,73,183.1
MEX003,94,94,94,94,94,94,94,94,94,94,94,72,72,72,72,72,72,72,72,72,91.8
MLI001,452,294,294,42,42,294,294,294,294,294,1072,65,65,65,65,65,65,65,65,65,298.5
MMR001,43,43,186,16,45,43,186,156,333,333,333,64,64,64,64,64,64,64,64,64,169.5
MMR002,333,333,333,16,16,333,333,333,333,333,333,64,64,64,64,64,64,64,64,64,242.7
MMR003,333,333,333,16,16,333,333,333,333,333,333,64,64,64,64,64,64,64,64,64,242.7
MMR004,43,43,157,16,16,43,191,157,191,191,191,65,65,65,65,65,65,65,65,65,121.8
MOZ004,308,169,169,84,84,169,169,84,84,169,169,63,63,63,63,63,63,63,63,63,124.4
MRT002,1051,142,142,142,142,142,142,142,142,142,1051,67,67,67,67,67,67,67,67,67,225.4
MRT003,459,142,142,492,142,142,142,142,142,323,492,67,67,67,67,67,67,67,67,67,222.6
MWI002,110,110,40,855,4,40,40,40,40,40,110,64,64,64,64,64,64,64,64,64,127.3
MYS001,280,277,40,40,280,40,280,40,277,277,277,67,67,67,67,67,67,67,67,67,161.8
NAM002,173,4,4,693,4,4,4,4,4,4,173,65,65,65,65,65,65,65,65,65,95.9
NER001,1053,336,336,39,39,336,336,336,336,336,1053,62,62,62,62,62,62,62,62,62,320.9
NER002,1053,336,336,93,93,336,336,336,336,336,1053,62,62,62,62,62,62,62,62,62,331.7
NER003,1053,336,336,93,93,336,336,336,336,336,1053,63,63,63,63,63,63,63,63,63,331.8
NER004,336,336,336,93,93,336,336,336,336,336,746,62,62,62,62,62,62,62,62,62,301
NGA001,912,143,35,35,35,35,35,35,35,35,912,63,63,63,63,63,63,63,63,63,125.5
NGA003,396,143,35,35,35,35,35,35,35,35,913,63,63,63,63,63,63,63,63,63,125.6
NGA004,914,280,143,35,35,143,143,143,143,143,914,63,63,63,63,63,63,63,63,63,190.5
NGA007,612,143,35,35,35,35,35,35,35,35,746,63,63,63,63,63,63,63,63,63,108.9
NGA008,185,185,35,35,185,35,35,35,35,35,702,63,63,63,63,63,63,63,63,63,119.5
NIC001,694,451,1072,451,337,792,792,792,1072,1072,1072,64,64,64,64,64,64,64,64,64,751.6
PAK001,3,3,3,3,3,3,3,3,3,3,1058,72,72,72,72,72,72,72,72,72,115.4
PAK004,3,3,3,3,3,3,3,3,3,3,1038,72,72,72,72,72,72,72,72,72,113.4
PER002,39,39,39,39,39,39,39,39,39,39,39,65,65,65,65,65,65,65,65,65,41.6
PHL001,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
PHL003,763,158,12,12,12,12,303,12,303,303,763,67,67,67,67,67,67,67,67,67,179.9
PHL010,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
PRK001,283,283,283,197,40,641,641,641,641,641,1068,68,68,68,68,68,68,68,68,68,486.1
PSE002,36,36,36,36,2,36,36,36,36,36,1058,72,72,72,72,72,72,72,72,72,138.4
REG001,582,280,280,280,280,280,280,280,280,280,975,62,62,62,62,62,62,62,62,62,327.7
REG002,694,337,337,337,763,337,337,337,337,337,976,65,65,65,65,65,65,65,65,65,416.3
REG003,774,774,451,774,39,774,981,981,981,981,981,61,61,61,61,61,61,61,61,61,700.4
REG004,1,1,1,1,1,1,1,1,1,1,955,72,72,72,72,72,72,72,72,72,103.5
REG006,1,1,1,1,1,1,1,1,1,1,958,72,72,72,72,72,72,72,72,72,103.8
REG007,980,980,980,980,275,980,980,980,980,980,980,61,61,61,61,61,61,61,61,61,817.6
REG008,980,980,980,980,275,980,980,980,980,980,980,61,61,61,61,61,61,61,61,61,817.6
REG011,291,40,40,16,16,40,40,40,40,40,291,61,61,61,61,61,61,61,61,61,62.4
REG012,4,4,4,4,4,4,4,4,4,4,110,64,64,64,64,64,64,64,64,64,20.6
REG013,401,338,338,338,422,422,422,422,422,422,422,61,61,61,61,61,61,61,61,61,369.1
RWA002,1050,336,336,336,427,336,336,336,336,336,1050,63,63,63,63,63,63,63,63,63,389.2
SDN001,186,4,4,4,4,4,4,4,4,4,186,65,65,65,65,65,65,65,65,65,28.3
SDN005,186,186,186,4,4,4,4,4,4,4,109,65,65,65,65,65,65,65,65,65,38.8
SDN006,109,109,40,40,109,40,40,40,40,40,109,65,65,65,65,65,65,65,65,65,56.3
SDN007,186,186,186,4,4,4,4,4,4,4,186,65,65,65,65,65,65,65,65,65,46.5
SDN008,245,158,40,4,4,4,4,4,4,4,245,65,65,65,65,65,65,65,65,65,37.8
SEN002,452,336,336,750,1072,336,336,336,336,336,1072,65,65,65,65,65,65,65,65,65,497.5
SLV001,45,45,45,45,45,45,45,45,45,45,45,67,67,67,67,67,67,67,67,67,47.2
SOM001,802,42,42,42,42,42,42,42,42,42,1065,65,65,65,65,65,65,65,65,65,146.6
SOM002,221,221,221,221,221,221,221,221,221,221,221,64,64,64,64,64,64,64,64,64,205.3
SOM005,8,36,8,8,36,8,8,8,8,8,36,35,35,35,35,35,35,35,35,35,16.3
SSD001,917,885,885,312,397,312,312,312,312,312,917,65,65,65,65,65,65,65,65,65,413.6
SWZ001,173,40,40,687,4,40,40,40,40,40,173,65,65,65,65,65,65,65,65,65,116.9
SYR001,307,307,307,2,2,2,2,2,2,2,1066,72,72,72,72,72,72,72,72,72,145.9
TCD001,374,280,374,39,39,374,374,374,374,374,374,63,63,63,63,63,63,63,63,63,275.9
TCD003,1050,280,280,280,280,442,442,442,442,442,1050,63,63,63,63,63,63,63,63,63,416.3
TCD004,647,647,647,280,1050,647,647,647,647,647,1050,63,63,63,63,63,63,63,63,63,632.5
TCD005,647,647,647,280,280,647,647,647,647,647,1050,63,63,63,63,63,63,63,63,63,555.5
TCD006,1050,647,647,1050,280,520,520,520,520,520,792,63,63,63,63,63,63,63,63,63,543.2
THA001,885,40,40,40,311,337,72,40,337,337,1052,67,67,67,67,67,67,67,67,67,263.3
THA002,885,885,65,885,311,641,641,641,641,641,1052,67,67,67,67,67,67,67,67,67,558.5
THA003,770,40,40,40,337,337,337,40,337,337,1052,67,67,67,67,67,67,67,67,67,292.4
TTO002,1037,763,1008,1008,397,451,694,694,694,694,763,66,66,66,66,66,66,66,66,66,646.9
TUN002,458,569,569,569,148,1050,1050,1050,1050,1050,1050,71,71,71,71,71,71,71,71,71,765.7
