,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
,,,,MAX,,,,,,7,0.05,0.05,0.05,0.05,0.05,,
,,,,MIN,,,,,,4,,,,,,,
CRISIS,TYPE OF CRISIS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,
Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,0,19.642,12.1,5.8,0.5,5,0,0.5163240628778718,0.3180695021292256,0.15246306713632302,0.01314336785657957,4,4.5
Nagorno-Karabakh Conflict in Armenia,Conflict,ARM002,Armenia,ARM,2.94,0.018,0.093,0,0,1.6,0.9636184857423795,0.0058997050147492625,0.03048180924287119,0,0,1,1.3
Nagorno-Karabakh conflict in Azerbaijan,Conflict,AZE002,Azerbaijan,AZE,x,x,x,x,x,x,x,x,x,x,x,x,x
Complex in Burundi,Complex crisis,BDI001,Burundi,BDI,6.368,3.955,1.206,0.128,0,3.5,0.5462812044265248,0.33928111864115984,0.10345715021017414,0.010980526722141202,0,3,3.25
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,3.459,3.107,0.49,0.764,0.916,3.9,0.3959478021978022,0.3556547619047619,0.05608974358974359,0.08745421245421245,0.10485347985347986,5,4.45
Rohingya refugee crisis,International displacement,BGD002,Bangladesh,BGD,0,0.472,0.665,0.207,0,3.2,0,0.35119047619047616,0.4947916666666667,0.15401785714285715,0,4,3.6
Venezuela displacement in Brazil,International displacement,BRA002,Brazil,BRA,0.606,0.399,0.49,0,0,2.8,0.40535117056856185,0.26688963210702343,0.3277591973244147,0,0,3,2.9
Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,0,2.1,0.9,1.9,0,4.1,0,0.42857142857142855,0.1836734693877551,0.3877551020408163,0,4,4.05
Multiple crises in Cameroon,Multiple crises country,CMR001,Cameroon,CMR,5.775,2.843,1.814,0.091,0,3.8,0.5487978713294688,0.27017010358262855,0.17238430105483227,0.008647724033070417,0,3,3.4
Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,2.499,1.354,0.616,0.014,0,3,0.5574392148115102,0.3020298906981932,0.13740798572384563,0.0031229087664510374,0,3,3
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,2.027,1.489,0.882,0.078,0,3.3,0.45285969615728333,0.33266309204647004,0.1970509383378016,0.01742627345844504,0,3,3.15
CAR refugees in Cameroon,International displacement,CMR004,Cameroon,CMR,1.249,0,0.316,0,0,2.5,0.7980830670926518,0,0.20191693290734825,0,0,3,2.75
Complex crisis in DRC,Complex crisis,COD001,DRC,COD,52.92,30.27,14.112,4.704,0.784,5,0.5150465215867949,0.2946042745357574,0.13734573908981196,0.045781913029937324,0.007630318838322887,4,4.5
Complex crisis in Congo,Complex crisis,COG001,Congo,COG,4.399,0,1.2,0,0,3.5,0.7856760135738525,0,0.21432398642614753,0,0,3,3.25
Floods in Congo,Flood,COG004,Congo,COG,0.067,0,0.087,0,0,1.6,0.43506493506493504,0,0.564935064935065,0,0,3,2.3
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,34.9,4.9,5.998,2.502,0,4.9,0.6856581532416502,0.0962671905697446,0.11783889980353635,0.049155206286836936,0,3,3.95
Venezuela displacement in Colombia,International displacement,COL002,Colombia,COL,18.593,0,3.439,0.162,0,4.3,0.8377489411552672,0,0.15495178877174012,0.0072992700729927005,0,3,3.65
Hurricane Eta and Iota in Colombia,Tropical cyclone,COL003,Colombia,COL,21.928,0.266,0.067,0,0,1.4,0.9850411032747854,0.011949148735456628,0.0030097479897578726,0,0,1,1.2
Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,1.644,0.043,0.043,0,0,1.1,0.9502890173410404,0.02485549132947977,0.02485549132947977,0,0,1,1.05
Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,0.398,0.389,0.197,0.027,0,2.3,0.3936696340257171,0.3847675568743818,0.19485657764589515,0.026706231454005934,0,3,2.65
Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,0.981,0,0.03,0,0,0.8,0.9703264094955489,0,0.02967359050445104,0,0,1,0.9
