INFORM Severity Index - all countries. Release: February 2021,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Complex crisis in Afghanistan,AFG001,Afghanistan,AFG,Complex crisis,4.6,5,Very High,Stable,Very High,5,4.9,5,4.5,5,4,4.3,4,4.5,Asia,2021-02-23 00:00:00
Nagorno-Karabakh Conflict in Armenia,ARM002,Armenia,ARM,Conflict,1.7,2,Low,-,Very High,2.4,3.5,1.7,1.3,1.6,1,1.7,1.8,1.5,Middle east,2021-01-27 00:00:00
Nagorno-Karabakh conflict in Azerbaijan,AZE002,Azerbaijan,AZE,Conflict,x,x,x,-,Medium,2.9,2.5,3.1,x,x,x,3,2.9,3,Middle east,2021-01-27 00:00:00
Complex in Burundi,BDI001,Burundi,BDI,Complex crisis,3.3,4,High,Stable,High,3.4,4,3,3.25,3.5,3,3.3,3.1,3.5,Africa,2021-01-29 00:00:00
Conflict in Burkina Faso,BFA002,Burkina Faso,BFA,Conflict,3.9,4,High,Stable,High,3.8,2.9,4.1,4.45,3.9,5,3.1,2.7,3.5,Africa,2021-02-19 00:00:00
Rohingya refugee crisis,BGD002,Bangladesh,BGD,International displacement,3.2,4,High,Stable,Very High,2.7,0.1,3.6,3.6,3.2,4,3,2.5,3.5,Asia,2021-02-23 00:00:00
Venezuela displacement in Brazil,BRA002,Brazil,BRA,International displacement,2.4,3,Medium,Increasing,High,2.3,1.2,2.8,2.9,2.8,3,1.6,2.2,1,Americas,2021-01-29 00:00:00
Complex crisis in CAR,CAF001,CAR,CAF,Complex crisis,4,4,High,Stable,High,4.2,4.3,4.2,4.05,4.1,4,3.9,3.8,4,Africa,2021-02-24 00:00:00
Multiple crises in Cameroon,CMR001,Cameroon,CMR,Multiple crises country,3.7,4,High,Stable,High,3.8,3.2,4,3.4,3.8,3,4.1,3.5,4.5,Africa,2021-02-25 00:00:00
Complex crisis in DRC,COD001,DRC,COD,Complex crisis,4.5,5,Very High,Increasing,High,4.5,5,4.1,4.5,5,4,4.4,4.3,4.5,Africa,2021-02-19 00:00:00
Complex crisis in Congo,COG001,Congo,COG,Complex crisis,3.2,4,High,-,Medium,3.6,4.2,3.3,3.25,3.5,3,2.7,2.8,2.5,Africa,2021-01-07 00:00:00
Complex crisis in Colombia,COL001,Colombia,COL,Complex crisis,3.9,4,High,Decreasing,High,4.2,5,3.6,3.95,4.9,3,3.5,2.9,4,Americas,2021-01-28 00:00:00
Nicaraguan refugees in Costa Rica,CRI002,Costa Rica,CRI,International displacement,1.1,2,Low,Stable,High,1.3,1,1.5,1.05,1.1,1,1,0.9,1,Americas,2021-01-28 00:00:00
Multiple crises in Djibouti,DJI001,Djibouti,DJI,Multiple crises country,2.7,3,Medium,Stable,Medium,2.2,3.1,1.6,2.65,2.3,3,3.2,2.8,3.5,Africa,2021-02-11 00:00:00
Multiple crises in Algeria,DZA004,Algeria,DZA,Multiple crises country,x,x,x,-,Low,4.4,5,4,x,x,x,2.5,3,2,Africa,2020-11-27 00:00:00
Venezuela displacement in Ecuador,ECU002,Ecuador,ECU,International displacement,2.3,3,Medium,Decreasing,High,1.9,1.4,2.2,2.85,2.7,3,1.8,2.1,1.5,Americas,2021-01-29 00:00:00
Syrian Refugee Crisis in Egypt,EGY002,Egypt,EGY,International displacement,3.1,4,High,Increasing,High,2.5,2.4,2.5,3.6,4.2,3,2.7,3.3,2,Africa,2021-01-29 00:00:00
Complex crisis in Eritrea,ERI001,Eritrea,ERI,Complex crisis,3.7,4,High,Decreasing,High,3.4,3.8,3.1,3.5,4,3,4.1,2.6,5,Africa,2021-01-29 00:00:00
Mixed migration flows in spain,ESP002,Spain,ESP,International displacement,1.5,2,Low,-,High,2.4,2.2,2.5,1,1,1,1.5,2,1,Europe,2021-01-28 00:00:00
Complex crisis in Ethiopia,ETH001,Ethiopia,ETH,Complex crisis,4.1,5,Very High,Increasing,High,4,4.3,3.9,4.45,4.9,4,3.7,3.4,4,Africa,2020-11-30 00:00:00
Tropical cyclone Yasa in Fiji,FJI002,Fiji,FJI,Tropical cyclone,1.4,2,Low,-,High,1.7,3.1,0.8,1.1,0.2,2,1.7,1.9,1.5,Pacific,2021-01-29 00:00:00
Mixed migration flows in Greece,GRC002,Greece,GRC,International displacement,1.6,2,Low,Decreasing,High,2.1,0.3,2.8,1.2,0.4,2,1.7,1.8,1.5,Europe,2021-02-27 00:00:00
Complex crisis in Guatemala,GTM001,Guatemala,GTM,Complex crisis,3.4,4,High,Stable,High,3.7,4.3,3.4,3.6,4.2,3,2.9,3.3,2.5,Americas,2021-01-28 00:00:00
Complex crisis in Honduras,HND001,Honduras,HND,Complex crisis,3.2,4,High,Stable,High,3.7,4.2,3.4,3.25,3.5,3,2.8,3.1,2.5,Americas,2021-01-28 00:00:00
Complex crisis in Haiti,HTI001,Haiti,HTI,Complex crisis,3.5,4,High,Stable,High,3.2,3.9,2.7,4.15,4.3,4,2.5,2.9,2,Americas,2021-01-28 00:00:00
Country Level,IDN007,Indonesia,IDN,Multiple crises country,2.1,3,Medium,-,High,2.8,2,3.1,1.8,1.6,2,2,2.8,1,Asia,2021-02-23 00:00:00
Conflict in Jammu and Kashmir,IND002,India,IND,Conflict,x,x,x,-,Medium,2.8,2,3.2,x,x,x,2.9,2.7,3,Asia,2021-02-23 00:00:00
Afghan Refugees in Iran,IRN004,Iran,IRN,International displacement,3.4,4,High,Stable,Medium,2.8,2.7,2.8,4.05,4.1,4,2.7,2.8,2.5,Middle east,2020-11-30 00:00:00
Multiple crises in Iraq,IRQ001,Iraq,IRQ,Multiple crises country,3.9,4,High,Decreasing,Very High,4.3,4.9,3.9,3.7,4.4,3,4,3.4,4.5,Middle east,2021-02-27 00:00:00
Mixed migration flows in Italy,ITA002,Italy,ITA,International displacement,x,x,x,-,Low,2.9,1.7,3.4,x,x,x,1.5,1.4,1.5,Europe,2019-04-17 00:00:00
Syrian refugees in Jordan,JOR002,Jordan,JOR,International displacement,3.2,4,High,Decreasing,High,2.8,3,2.7,3.75,3.5,4,2.5,2.5,2.5,Middle east,2021-01-31 00:00:00
Refugee situation in Kenya,KEN002,Kenya,KEN,International displacement,2.7,3,Medium,Increasing,Medium,2.9,1.9,3.3,2.95,2.9,3,2.1,2.9,1,Africa,2021-02-26 00:00:00
Socioeconomic crisis in Lebanon,LBN004,Lebanon,LBN,Political and economic crisis,3.6,4,High,Decreasing,High,3.3,3.6,3.2,4.15,4.3,4,2.9,2.8,3,Middle east,2021-02-27 00:00:00
Complex crisis in Libya,LBY001,Libya,LBY,Multiple crises country,4.2,5,Very High,Increasing,High,4,4.5,3.7,4.2,3.4,5,4.4,3.6,5,Africa,2020-11-27 00:00:00
Drought in Lesotho,LSO002,Lesotho,LSO,Drought,2.5,3,Medium,Increasing,High,2.2,3,1.8,3.45,2.9,4,1.2,1.4,1,Africa,2020-11-26 00:00:00
Mixed migration flows in Morocco,MAR002,Morocco,MAR,International displacement,x,x,x,-,Very Low,3.7,4.8,2.8,x,x,x,2.1,3,1,Africa,2020-11-27 00:00:00
Drought in Madagascar,MDG002,Madagascar,MDG,Drought,3,3,Medium,Increasing,High,3,1.6,3.55,3.8,3.6,4,1.7,2.3,1,Africa,2021-01-29 00:00:00
Multiple crisis in Mexico,MEX001,Mexico,MEX,Multiple crises country,x,x,x,-,Very Low,4.6,4.6,4.6,x,x,x,3.1,3.2,3,Americas,2021-01-28 00:00:00
Complex crisis in Mali,MLI001,Mali,MLI,Complex crisis,3.8,4,High,Stable,High,4,4.8,3.5,3.7,4.4,3,3.9,3.1,4.5,Africa,2021-02-19 00:00:00
Multiple crises in Myanmar,MMR001,Myanmar,MMR,Multiple crises country,3.7,4,High,Increasing,Very High,3.3,2.7,3.5,3.85,3.7,4,3.7,3.4,4,Asia,2021-02-23 00:00:00
Complex crisis in Mozambique,MOZ001,Mozambique,MOZ,Complex crisis,3.6,4,High,Increasing,High,4,4.5,3.7,3.5,4,3,3.3,3.5,3,Africa,2021-02-26 00:00:00
Food Security in Mauritania,MRT003,Mauritania,MRT,Drought,2.8,3,Medium,Decreasing,Medium,3.2,4.4,2.3,2.9,2.8,3,2.3,2.6,2,Africa,2021-02-11 00:00:00
Complex crisis in Malawi,MWI002,Malawi,MWI,Complex crisis,2.8,3,Medium,Increasing,High,3.1,4.3,2.2,3.5,4,3,1.5,2,1,Africa,2021-01-29 00:00:00
Food Security Crisis in Namibia,NAM002,Namibia,NAM,Food Security,2.1,3,Medium,Stable,Low,1.5,1.6,1.4,2.85,2.7,3,1.3,1.5,1,Africa,2020-11-26 00:00:00
Multiple crises in Niger,NER001,Niger,NER,Multiple crises country,3.7,4,High,Stable,High,4.1,4.9,3.5,3.65,4.3,3,3.4,2.6,4,Africa,2021-02-23 00:00:00
Complex crisis in Nigeria,NGA001,Nigeria,NGA,Complex crisis,4.1,5,Very High,Decreasing,High,4.1,4.3,4,4,5,3,4.1,3.5,4.5,Africa,2021-02-25 00:00:00
Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,NIC,Political and economic crisis,x,x,x,-,Low,2.9,4.1,2,x,x,x,2.3,2.9,1.5,Americas,2021-01-28 00:00:00
Complex crisis in Pakistan,PAK001,Pakistan,PAK,Complex crisis,3.4,4,High,Stable,High,3.7,5,2.6,3.05,4.1,2,3.6,3.1,4,Asia,2021-02-23 00:00:00
Venezuela displacement in Peru,PER002,Peru,PER,International displacement,2.7,3,Medium,Increasing,High,2.6,2.8,2.5,3.25,3.5,3,1.9,2.3,1.5,Americas,2021-01-29 00:00:00
Multiple crises in the Philippines,PHL001,Philippines,PHL,Multiple crises country,3,3,Medium,Increasing,Very High,3.4,4.7,2.4,2.7,3.4,2,3,2.9,3,Asia,2021-02-23 00:00:00
