,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,0.8,2,0.4,0,1.8,32.7,0,Very High
ARM002,1,2.3,0.6,0,1.9,44.6,0,Very High
AZE002,2.3,x,1.3,3.3,x,99.1,2,Medium
BDI001,1.4,2,2.2,0,1.8,161.2,0,High
BFA002,1.5,2.3,2.1,0,1.9,154.6,0,High
BGD002,0.9,2,0.6,0,1.8,46.8,0,Very High
BRA002,1.9,3.5,2.2,0,2.4,158.4,0,High
CAF001,1.8,3.8,1.5,0,2.5,113.1,0,High
CMR001,1.1,2,1.2,0,1.8,91.8,0,High
CMR002,1,1.8,1.1,0,1.7,84.3,0,Very High
CMR003,1.1,2.3,1,0,1.9,73,0,High
CMR004,1.8,2.3,1.5,1.7,1.9,108,1,High
COD001,1.5,2.8,1.6,0,2.1,116.4,0,High
COG001,2.4,3.3,0.7,3.3,2.3,52,2,Medium
COG004,3.4,3.8,1.4,5,2.5,101.3,3,Low
COL001,1.8,2.3,3.1,0,1.9,227.7,0,High
COL002,2.3,2.3,2.8,1.7,1.9,206.3,1,Medium
COL003,1.9,3,0.9,1.7,2.2,66.4,1,High
CRI002,1.8,3,2.5,0,2.2,186.3,0,High
DJI001,2.3,3.8,1.5,1.7,2.5,108.8,1,Medium
DJI002,2.1,3.8,2.5,0,2.5,180.6,0,Medium
DJI003,2.3,2.5,2.7,1.7,2,195.1,1,Medium
DZA002,4.8,x,4.5,5,x,326.3,3,Very Low
DZA003,2.9,3.8,5,0,2.5,413.2,0,Medium
DZA004,4,x,3,5,x,218.9,3,Low
ECU002,1.9,3.8,1.8,0,2.5,128.8,0,High
EGY002,1.7,3.5,1.5,0,2.4,107.9,0,High
ERI001,2,4,1.9,0,2.6,138.2,0,High
ESP002,2,3.5,2.4,0,2.4,173.8,0,High
ETH001,1.8,2.5,3,0,2,219.4,0,High
ETH002,1.4,1.5,2.8,0,1.6,204.7,0,High
ETH003,2.2,2.3,2.7,1.7,1.9,200.7,1,Medium
ETH004,1.4,3.5,0.6,0,2.4,46.8,0,High
FJI002,1.2,3.3,0.4,0,2.3,30,0,High
GRC002,1.2,2.3,1.2,0,1.9,85.6,0,High
GTM001,1.4,1.8,2.3,0,1.7,168.7,0,High
GTM003,1,2.3,0.7,0,1.9,54.6,0,Very High
HND001,1.5,1.8,2.7,0,1.7,198.6,0,High
HND002,1.1,2.5,0.8,0,2,60.5,0,High
HTI001,1.2,2,1.7,0,1.8,123.9,0,High
IDN002,4,x,4.7,3.3,x,344.9,2,Low
IDN006,0.9,2.3,0.4,0,1.9,31.6,0,Very High
IDN007,1.4,3.8,0.4,0,2.5,29.2,0,High
IND002,3,2.8,1.1,5,2.1,78.1,3,Medium
IRN004,2.7,4.3,3.7,0,2.7,268.1,0,Medium
IRQ001,0.9,2,0.6,0,1.8,43.6,0,Very High
IRQ002,1.1,2.3,0.9,0,1.9,69.9,0,High
IRQ003,1.3,2.5,1.3,0,2,93.8,0,High
ITA002,3.5,2.3,5,3.3,1.9,690,2,Low
JOR002,1.2,2.8,0.8,0,2.1,61.9,0,High
KEN002,2.6,2,4.1,1.7,1.8,298.9,1,Medium
LBN002,1,2,0.9,0,1.8,68,0,Very High
LBN004,1.9,3.3,0.8,1.7,2.3,55.6,1,High
LBY001,1.8,2,3.4,0,1.8,247.7,0,High
LBY002,1.4,2,2.1,0,1.8,153.4,0,High
LSO002,1.9,2.3,3.4,0,1.9,248.2,0,High
MAR002,5,x,5,5,x,374.4,3,Very Low
MDG002,1.8,2,1.6,1.7,1.8,114.2,1,High
MEX001,4.2,x,5,3.3,x,390.4,2,Very Low
MEX002,4.2,x,5,3.3,x,410.5,2,Very Low
MEX003,3.4,x,5,1.7,x,407.9,1,Low
MEX004,1.1,2,1.2,0,1.8,90,0,High
MLI001,1.9,2,3.6,0,1.8,262.2,0,High
MMR001,1,2.5,0.4,0,2,28.9,0,Very High
MMR002,1,2.5,0.4,0,2,28.9,0,Very High
MMR003,1,2.5,0.4,0,2,28.9,0,Very High
MOZ001,1.3,3,1,0,2.2,71.5,0,High
MOZ004,1.5,3.8,0.8,0,2.5,59.5,0,High
MOZ006,2.1,2.5,2.1,1.7,2,156.2,1,Medium
MOZ007,1.2,3.5,0.1,0,2.4,6.8,0,High
MRT002,2.6,2.3,2.1,3.3,1.9,156.8,2,Medium
MRT003,2.8,2.3,1,5,1.9,75.3,4,Medium
MWI002,1.9,2,1.9,1.7,1.8,140.1,1,High
NAM002,3.1,2,2.3,5,1.8,171.5,3,Low
NER001,1.1,2,1.4,0,1.8,102.7,0,High
NER002,1.6,3.3,1.4,0,2.3,102.7,0,High
NER003,1.6,3.5,1.4,0,2.4,102.7,0,High
NER004,1.6,3.8,1,0,2.5,72,0,High
NGA001,1.6,3.8,1.1,0,2.5,77.8,0,High
NGA003,1.1,2,1.3,0,1.8,94.1,0,High
NGA004,2.1,3.5,1.1,1.7,2.4,78,1,Medium
NGA007,1,2,1,0,1.8,77.4,0,Very High
NGA008,1.8,2,1.6,1.7,1.8,121,1,High
NIC001,3.4,x,5,1.7,x,518.4,1,Low
NIC002,1.1,2.3,1,0,1.9,72.3,0,High
PAK001,1.8,2.5,3,0,2,223,0,High
PAK004,3.4,3.5,5,1.7,2.4,534.2,1,Low
PER002,2,3.8,2.2,0,2.5,158.7,0,High
PHL001,1,2.3,0.8,0,1.9,57,0,Very High
PHL003,1.2,2.5,1,0,2,76.9,0,High
PHL004,1.5,2,2.5,0,1.8,184.1,0,High
PHL009,0.8,2.3,0.2,0,1.9,13.5,0,Very High
PRK001,3.1,2.8,4.9,1.7,2.1,357.1,1,Low
PSE002,0.7,1,1.2,0,1.4,85.3,0,Very High
REG001,1.2,2.3,1.4,0,1.9,100.3,0,High
REG002,3,3.3,2.5,3.3,2.3,182.9,2,Medium
REG003,4.2,x,5,3.3,x,455.1,2,Very Low
REG004,1.6,3.8,1.1,0,2.5,83.2,0,High
REG006,5,x,5,5,x,537.9,6,Very Low
REG007,5,x,5,5,x,555.5,5,Very Low
REG008,5,x,5,5,x,555.5,5,Very Low
REG011,0.8,2.3,0.2,0,1.9,15,0,Very High
REG012,1,2,1.1,0,1.8,83.5,0,Very High
REG013,2.3,x,1.3,3.3,x,97.1,2,Medium
RWA002,2.3,2,1.6,3.3,1.8,116.9,2,Medium
SDN001,0.8,1.8,0.7,0,1.7,50.2,0,Very High
SDN005,1.6,2,1.2,1.7,1.8,88.6,1,High
SDN006,2.4,3.8,1.8,1.7,2.5,134.8,1,Medium
SDN007,1.8,3.3,0.3,1.7,2.3,22.5,1,High
SEN002,2.2,1.8,3.1,1.7,1.7,224.6,1,Medium
SLV001,1.5,2,2.5,0,1.8,182.2,0,High
SOM001,1.6,2,2.8,0,1.8,202.6,0,High
SOM002,3,2.3,5,1.7,1.9,378.5,1,Medium
SOM004,1.9,2.3,3.5,0,1.9,253,0,High
SSD001,1.2,1.8,1.9,0,1.7,140.8,0,High
SWZ001,2.8,2,1.4,5,1.8,100.1,3,Medium
SYR001,0.7,1,1.2,0,1.4,86.1,0,Very High
TCD001,1.4,3.5,0.8,0,2.4,56.2,0,High
TCD003,2,4,2.1,0,2.6,154.5,0,High
TCD004,2.5,2.5,5,0,2,363.7,0,Medium
TCD005,2.2,2.5,4,0,2,290.2,0,Medium
TCD006,2.5,3.8,3.8,0,2.5,274.4,0,Medium
THA001,1.2,2.3,1.4,0,1.9,105.8,0,High
THA002,4.2,x,5,3.3,x,367.4,2,Very Low
THA003,1.8,2.3,1.5,1.7,1.9,108.4,1,High
TTO002,2.8,3.3,5,0,2.3,374,0,Medium
TUN002,3.7,2.8,5,3.3,2.1,517.9,2,Low
TUR001,1.5,3.5,1.1,0,2.4,84.6,0,High
TUR002,1.7,3,2.2,0,2.2,158.9,0,High
TUR003,1.5,3.5,1.1,0,2.4,84.6,0,High
TUR004,2.5,2.5,5,0,2,604.7,0,Medium
TZA002,1.4,2,2.3,0,1.8,164.9,0,High
UGA001,1.5,2.3,2.1,0,1.9,155.9,0,High
UGA005,2.3,2.3,2.8,1.7,1.9,207.8,1,Medium
UKR002,1.9,1.8,3.9,0,1.7,283.8,0,High
VEN001,2,3.3,2.6,0,2.3,186.9,0,High
VNM002,1.5,3.5,0.9,0,2.4,64.5,0,High
VUT002,2,2,4.1,0,1.8,302.8,0,High
YEM001,2.1,2,4.2,0,1.8,304.5,0,Medium
YEM002,2.4,2.3,5,0,1.9,431.1,0,Medium
ZMB002,2.8,2.3,2.7,3.3,1.9,194.7,2,Medium
ZWE001,1,2,1.1,0,1.8,79.4,0,Very High
0,0.9,-2.3,5,0,0.1,44255,0,Very High
0,0.9,-2.3,5,0,0.1,44255,0,Very High
0,0.9,-2.3,5,0,0.1,44255,0,Very High
0,0.9,-2.3,5,0,0.1,44255,0,Very High
0,0.9,-2.3,5,0,0.1,44255,0,Very High
0,0.9,-2.3,5,0,0.1,44255,0,Very High
0,0.9,-2.3,5,0,0.1,44255,0,Very High
0,-0.8,-2.3,0,0,0.1,0,0,Very Low
0,-0.7,-2.3,0.1,0,0.1,6.8,0,Very Low
0,0.9,-2.3,5,0,0.1,690,0,Very High
0,-0.8,-2.3,0,0,0.1,0,0,Very Low
