,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
AFG001,732,4,4,4,4,4,4,4,4,4,4,65,65,65,65,65,65,65,65,65,10.1
ARM002,67,4,4,4,67,4,4,4,4,4,4,67,67,67,67,67,67,67,67,67,16.6
AZE002,88,45,45,40,67,88,88,88,88,88,88,67,67,67,67,67,67,67,67,67,74.7
BDI001,117,93,93,2,2,93,93,93,93,93,704,66,66,66,66,66,66,66,66,66,133.2
BFA002,226,4,4,4,4,108,108,108,108,108,716,67,67,67,67,67,67,67,67,67,133.5
BFA003,124,4,93,124,40,93,93,93,93,93,124,67,67,67,67,67,67,67,67,67,91.3
BFA004,93,4,4,4,4,93,93,93,93,93,93,67,67,67,67,67,67,67,67,67,63.7
BGD002,4,4,4,4,4,4,4,4,4,4,307,65,65,65,65,65,65,65,65,65,40.4
BRA002,429,2,2,2,117,2,2,2,2,2,716,457,457,457,457,457,457,457,457,457,130.4
CAF001,719,40,40,4,4,96,96,96,96,96,307,67,67,67,67,67,67,67,67,67,90.2
CMR001,530,2,2,2,2,2,2,2,2,2,718,66,66,66,66,66,66,66,66,66,80
CMR002,530,2,2,2,2,2,2,2,2,2,643,66,66,66,66,66,66,66,66,66,72.5
CMR003,718,2,2,2,2,2,2,2,2,2,530,66,66,66,66,66,66,66,66,66,61.2
CMR004,718,2,2,2,2,2,2,2,2,2,718,66,66,66,66,66,66,66,66,66,80
COD001,118,23,23,23,4,23,23,23,23,23,718,66,66,66,66,66,66,66,66,66,94.9
COD003,216,216,216,216,216,216,216,216,216,216,216,66,66,66,66,88,66,66,66,66,201
COG001,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
COG004,88,87,67,88,88,67,67,67,67,67,88,67,67,67,67,67,67,67,67,67,73.3
COL001,116,44,277,3,3,108,108,108,108,108,717,457,457,457,457,457,457,457,457,457,199.7
COL002,3,3,3,3,360,3,117,3,3,117,717,457,457,457,457,457,457,457,457,457,178.3
COL003,3,44,3,62,62,3,3,3,62,62,62,62,62,62,62,62,62,62,62,62,38.4
CRI002,360,117,3,3,215,3,3,3,117,117,661,458,458,458,458,458,458,458,458,458,158.3
DJI001,116,411,163,411,65,107,116,116,116,116,411,63,63,63,63,63,63,63,63,63,168.4
DJI002,116,429,429,429,65,552,642,429,552,717,717,457,457,457,457,457,457,457,457,457,498.9
DJI003,116,116,429,676,65,116,116,116,116,116,615,457,457,457,457,457,457,457,457,457,282.2
DZA002,429,360,235,235,68,429,429,429,429,429,235,65,65,65,65,65,65,65,65,65,298.3
DZA003,360,716,429,429,68,429,429,429,429,429,716,65,65,65,65,65,65,65,65,65,385.2
DZA004,222,222,222,222,68,222,222,222,222,222,222,65,65,65,65,65,65,65,65,65,190.9
ECU002,360,2,2,2,215,2,2,2,2,2,717,62,62,62,62,62,62,62,62,62,100.8
EGY002,277,235,2,2,2,2,2,2,2,2,720,63,63,63,63,63,63,63,63,63,79.9
ERI001,116,437,2,2,2,63,63,63,63,63,718,63,63,63,63,63,63,63,63,63,110.2
ESP002,3,3,3,3,3,3,3,3,3,3,717,717,717,717,717,717,717,717,717,717,145.8
ETH001,116,277,277,216,62,116,116,116,116,116,716,63,63,63,63,63,63,63,63,63,191.4
ETH002,240,104,116,116,240,163,163,163,163,163,240,240,239,240,239,240,239,240,240,240,176.7
ETH003,214,214,163,163,214,163,163,163,163,163,163,209,209,209,209,209,209,209,209,209,172.7
ETH004,62,4,4,4,62,4,4,4,4,4,62,62,62,62,62,62,62,62,62,62,21.4
FJI002,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
GRC002,642,40,40,40,3,40,40,40,40,40,726,66,66,66,66,66,66,66,66,66,107.5
GTM001,116,117,117,117,3,3,3,3,3,117,583,458,458,458,458,458,458,458,458,458,140.7
GTM003,62,62,3,3,3,3,3,3,62,62,62,62,62,62,62,62,62,62,62,62,26.6
HND001,116,117,117,117,3,44,44,44,44,117,718,458,458,458,458,458,458,458,458,458,170.6
HND002,62,62,3,3,62,3,3,3,62,62,62,62,62,62,62,62,62,62,62,62,32.5
HTI001,734,117,3,117,3,3,3,3,3,3,734,87,87,87,87,87,87,87,87,87,95.9
IDN002,368,368,368,368,4,368,368,368,368,368,551,65,65,65,65,65,65,65,65,65,319.6
IDN006,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,3,3.6
IDN007,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3.9
IND002,4,4,4,4,4,4,4,4,4,4,431,65,65,65,65,65,65,65,65,65,52.8
IRN004,307,307,95,95,307,307,307,307,307,307,307,62,62,62,62,62,62,62,62,62,240.1
IRQ001,3,3,3,3,3,3,3,3,3,3,277,65,65,65,65,65,65,65,65,65,36.6
