INFORM Severity Index - all crises. Release: January 2021,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Complex crisis in Afghanistan,AFG001,Afghanistan,AFG,Complex crisis,4.6,5,Very High,Stable,Very High,5,4.9,5,4.5,5,4,4.3,4,4.5,Asia,2021-01-27 00:00:00
Nagorno-Karabakh Conflict in Armenia,ARM002,Armenia,ARM,Conflict,1.7,2,Low,-,Very High,2.4,3.5,1.7,1.3,1.6,1,1.7,1.8,1.5,Middle east,2021-01-27 00:00:00
Nagorno-Karabakh conflict in Azerbaijan,AZE002,Azerbaijan,AZE,Conflict,x,x,x,-,Medium,2.9,2.5,3.1,x,x,x,3,2.9,3,Middle east,2021-01-27 00:00:00
Complex in Burundi,BDI001,Burundi,BDI,Complex crisis,3.3,4,High,Stable,High,3.4,4,3,3.25,3.5,3,3.3,3.1,3.5,Africa,2021-01-29 00:00:00
Conflict in Burkina Faso,BFA002,Burkina Faso,BFA,Conflict,3.9,4,High,Stable,High,3.8,2.9,4.1,4.45,3.9,5,3.1,2.7,3.5,Africa,2021-01-27 00:00:00
Floods in Burkina Faso,BFA003,Burkina Faso,BFA,Flood,2.4,3,Medium,Stable,High,3.3,4.6,2.4,1.1,1.2,1,3.4,2.7,4,Africa,2021-01-27 00:00:00
Rohingya refugee crisis,BGD002,Bangladesh,BGD,International displacement,3.2,4,High,Increasing,Very High,2.7,0.1,3.6,3.6,3.2,4,3,2.5,3.5,Asia,2021-01-27 00:00:00
Venezuela displacement in Brazil,BRA002,Brazil,BRA,International displacement,2.4,3,Medium,Stable,High,2.3,1.2,2.8,2.9,2.8,3,1.6,2.2,1,Americas,2021-01-29 00:00:00
Complex crisis in CAR,CAF001,CAR,CAF,Complex crisis,4,4,High,Stable,High,4.2,4.3,4.1,4.05,4.1,4,3.9,3.7,4,Africa,2021-01-27 00:00:00
Boko Haram in Cameroon,CMR002,Cameroon,CMR,Conflict,3.2,4,High,Stable,Very High,3.2,1.5,3.8,3.1,3.2,3,3.5,3.5,3.5,Africa,2021-01-29 00:00:00
Anglophone Crisis in Cameroon,CMR003,Cameroon,CMR,Conflict,3.3,4,High,Increasing,Very High,3.2,1.7,3.7,3,3,3,3.8,3.5,4,Africa,2021-01-29 00:00:00
CAR refugees in Cameroon,CMR004,Cameroon,CMR,International displacement,2.8,3,Medium,Increasing,High,2.8,1.7,3.2,2.75,2.5,3,3,3.5,2.5,Africa,2021-01-29 00:00:00
Complex crisis in DRC,COD001,DRC,COD,Complex crisis,4.5,5,Very High,Increasing,High,4.5,5,4.1,4.5,5,4,4.4,4.3,4.5,Africa,2021-01-27 00:00:00
Floods in south-eastern DRC,COD003,DRC,COD,Flood,2.6,3,Medium,Stable,Low,1.8,2.9,1.1,1.95,2.9,1,4.2,4.3,4,Africa,2020-11-26 00:00:00
Complex crisis in Congo,COG001,Congo,COG,Complex crisis,3.2,4,High,-,Medium,3.6,4.2,3.3,3.25,3.5,3,2.7,2.8,2.5,Africa,2021-01-07 00:00:00
Floods in Congo,COG004,Congo,COG,Flood,2.2,3,Medium,-,Low,1.5,1.1,1.75,2.3,1.6,3,2.4,2.8,2,Africa,2020-11-25 00:00:00
Complex crisis in Colombia,COL001,Colombia,COL,Complex crisis,3.9,4,High,Decreasing,High,4.2,5,3.6,3.95,4.9,3,3.5,2.9,4,Americas,2021-01-28 00:00:00
Venezuela displacement in Colombia,COL002,Colombia,COL,International displacement,3.4,4,High,Stable,Medium,3.6,2.7,4,3.65,4.3,3,3,2.9,3,Americas,2021-01-28 00:00:00
Hurricane Eta and Iota in Colombia,COL003,Colombia,COL,Tropical cyclone,2.1,3,Medium,-,High,2.6,3.4,2.1,1.2,1.4,1,3,2.9,3,Americas,2021-01-28 00:00:00
Nicaraguan refugees in Costa Rica,CRI002,Costa Rica,CRI,International displacement,1.1,2,Low,Stable,High,1.3,1,1.5,1.05,1.1,1,1,0.9,1,Americas,2021-01-28 00:00:00
Mixed migration in Djibouti,DJI002,Djibouti,DJI,International displacement,1.7,2,Low,Increasing,Medium,2.6,3.1,2.3,0.9,0.8,1,2.2,2.8,1.5,Africa,2020-11-27 00:00:00
Drought in Djibouti,DJI003,Djibouti,DJI,Drought,3,3,Medium,Increasing,Medium,2.8,3.1,2.6500000000000004,3.25,2.5,4,2.9,2.8,3,Africa,2020-11-27 00:00:00
Mixed migration flows in Algeria,DZA002,Algeria,DZA,International displacement,x,x,x,-,Very Low,4.4,5,4,x,x,x,2.5,3,2,Africa,2020-11-27 00:00:00
Sahrawi refugees in Algeria,DZA003,Algeria,DZA,International displacement,2.3,3,Medium,Increasing,Medium,2.2,1.1,2.6,2.3,1.6,3,2.3,3,1.5,Africa,2020-11-27 00:00:00
Venezuela displacement in Ecuador,ECU002,Ecuador,ECU,International displacement,2.3,3,Medium,Stable,High,1.9,1.4,2.2,2.85,2.7,3,1.8,2.1,1.5,Americas,2021-01-29 00:00:00
Syrian Refugee Crisis in Egypt,EGY002,Egypt,EGY,International displacement,3.1,4,High,Increasing,High,2.5,2.4,2.5,3.6,4.2,3,2.7,3.3,2,Africa,2021-01-29 00:00:00
Complex crisis in Eritrea,ERI001,Eritrea,ERI,Complex crisis,3.7,4,High,Decreasing,High,3.4,3.8,3.1,3.5,4,3,4.1,2.6,5,Africa,2021-01-29 00:00:00
Mixed migration flows in spain,ESP002,Spain,ESP,International displacement,1.5,2,Low,-,High,2.4,2.2,2.5,1,1,1,1.5,2,1,Europe,2021-01-28 00:00:00
Complex crisis in Ethiopia,ETH001,Ethiopia,ETH,Complex crisis,4.1,5,Very High,Increasing,High,4,4.3,3.9,4.45,4.9,4,3.7,3.4,4,Africa,2020-11-30 00:00:00
Flood Crisis in Ethiopia,ETH002,Ethiopia,ETH,Flood,2.4,3,Medium,Stable,High,3,4.1,2.3,1.85,2.7,1,2.8,3.4,2,Africa,2020-11-30 00:00:00
International Displacement,ETH003,Ethiopia,ETH,International displacement,2.8,3,Medium,Stable,Medium,3.7,4.4,3.3,2.05,3.1,1,3.2,3.4,3,Africa,2020-11-30 00:00:00
Crisis in Tigray,ETH004,Ethiopia,ETH,Conflict,3.6,4,High,-,High,3.1,1.4,3.7,3.75,4.5,3,3.7,3.4,4,Africa,2021-01-27 00:00:00
Tropical cyclone Yasa in Fiji,FJI002,Fiji,FJI,Tropical cyclone,1.4,2,Low,-,High,1.7,3.1,0.8,1.1,0.2,2,1.7,1.9,1.5,Pacific,2021-01-29 00:00:00
Mixed migration flows in Greece,GRC002,Greece,GRC,International displacement,1.8,2,Low,Stable,High,2.1,0.3,2.8,1.75,0.5,3,1.7,1.8,1.5,Europe,2021-01-28 00:00:00
Complex crisis in Guatemala,GTM001,Guatemala,GTM,Complex crisis,3.4,4,High,Stable,High,3.7,4.3,3.4,3.6,4.2,3,2.9,3.3,2.5,Americas,2021-01-28 00:00:00
Hurricane Eta and Iota in Guatemala,GTM003,Guatemala,GTM,Tropical cyclone,3.1,4,High,-,Very High,3.1,4.3,2.3,3.4,3.8,3,2.7,3.3,2,Americas,2021-01-28 00:00:00
Complex crisis in Honduras,HND001,Honduras,HND,Complex crisis,3.2,4,High,Decreasing,High,3.7,4.2,3.4,3.25,3.5,3,2.8,3.1,2.5,Americas,2021-01-28 00:00:00
Hurricane Eta and Iota in Honduras,HND002,Honduras,HND,Tropical cyclone,3.3,4,High,-,Very High,3.2,4.2,2.5,3.55,4.1,3,3.1,3.1,3,Americas,2021-01-28 00:00:00
Complex crisis in Haiti,HTI001,Haiti,HTI,Complex crisis,3.5,4,High,Stable,High,3.2,3.9,2.7,4.15,4.3,4,2.5,2.9,2,Americas,2021-01-28 00:00:00
Papua Conflict,IDN002,Indonesia,IDN,Conflict,x,x,x,-,Low,2.7,1.9,3.1,x,x,x,2.9,2.8,3,Asia,2021-01-27 00:00:00
Sulawesi Earthquake,IDN006,Indonesia,IDN,Earthquake,2.1,3,Medium,-,Very High,2.1,0.4,2.7,2.3,1.6,3,1.8,2.8,0.5,Asia,2021-01-31 00:00:00
Conflict in Jammu and Kashmir,IND002,India,IND,Conflict,x,x,x,-,Medium,2.9,2,3.3,x,x,x,2.9,2.7,3,Asia,2021-01-27 00:00:00
Afghan Refugees in Iran,IRN004,Iran,IRN,International displacement,3.4,4,High,Stable,Medium,2.8,2.7,2.8,4.05,4.1,4,2.7,2.8,2.5,Middle east,2020-11-30 00:00:00
Conflict  in Iraq,IRQ002,Iraq,IRQ,Conflict,4.1,5,Very High,Increasing,Very High,3.9,3.6,4.1,4.2,4.4,4,4,3.4,4.5,Middle east,2021-01-28 00:00:00
Syrian and Palestinian refugees in iraq,IRQ003,Iraq,IRQ,International displacement,2.8,3,Medium,Decreasing,High,1.8,1.5,2,2.9,2.8,3,3.5,3.4,3.5,Middle east,2021-01-28 00:00:00
Mixed migration flows in Italy,ITA002,Italy,ITA,International displacement,x,x,x,-,Low,2.9,1.7,3.4,x,x,x,1.5,1.4,1.5,Europe,2019-04-17 00:00:00
Syrian refugees in Jordan,JOR002,Jordan,JOR,International displacement,3.2,4,High,Decreasing,High,2.8,3,2.7,3.75,3.5,4,2.5,2.5,2.5,Middle east,2021-01-31 00:00:00
Refugee situation in Kenya,KEN002,Kenya,KEN,International displacement,2.7,3,Medium,Increasing,Medium,2.9,1.9,3.3,2.9,2.8,3,2.1,2.9,1,Africa,2021-01-28 00:00:00
Drought in Kenya,KEN003,Kenya,KEN,Drought,2.8,3,Medium,Stable,Low,3.6,4.9,2.6,2.65,3.3,2,2.3,2.9,1.5,Africa,2020-10-07 00:00:00
Flooding and Landslides in Kenya,KEN005,Kenya,KEN,Flood,2.2,3,Medium,Stable,Medium,3.1,4.4,2.2,1.4,1.8,1,2.5,2.9,2,Africa,2020-07-02 00:00:00
