ISO3,Physical exposure to earthquake MMI VI,Physical exposure to earthquake MMI VIII,Annual Expected Exposed People to Floods,Annual Expected Exposed People to Tsunamis,Annual Expected Exposed People to Cyclone's Wind SS1,Annual Expected Exposed People to Cyclone's Wind SS3,Annual Expected Exposed People to Cyclone Surge,Total affected by Drought,Frequency of Drought events,Agriculture Drought probability,GCRI Violent Conflict probability,GCRI Highly Violent Conflict probability,National Power Conflict Intensity (Highly Violent),Subnational Conflict Intensity (Highly Violent),Human Development Index,Multidimensional Poverty Index,Humanitarian Aid (FTS),Development Aid (ODA),Development Aid (ODA),Net ODA received (% of GNI),"Mortality rate, under-5",U5 Under weight,Physicians Density,One-year-olds fully immunized against measles,Incidence of Tuberculosis,Estimated number of people living with HIV - Adult (>15) rate,Health expenditure per capita,Maternal Mortality Rate,Malaria death rate,Gender Inequality Index,Income Gini coefficient,People affected by Natural Disasters,People affected by Natural Disasters,People affected by Natural Disasters,Internally displaced persons (IDPs),Refugees by country of asylum,Returned Refugees,Average Dietary Energy Supply Adequacy,Prevalence of Undernourishment,Domestic Food Price Level Index,Domestic Food Price Volatility Index,HFA Scores Last recent,Government Effectiveness,Corruption Perception Index,Access to electricity,Adult liteacy rate,Internet users,Mobile cellular subscriptions,Road lenght,Improved sanitation facilities (% of population with access),Improved water source (% of population with access),,,,,
Reference Year,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2014,2016,2013,2014,2014,2015,2014,2014,2014,2014,2014,2014,2015,2012,2014,2013,2014,2015,2016,2016,2016,2015,2014,2014,2014,2014,2015,2014,2015,2012,2014,2014,2014,2014,2015,2015,SUM YEAR,AVG YEAR,NUMBER OF,STDEV,MEDIAN
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,1,0,0,0,0,0,0,0,6,0,0,0,1,1,0,0,0,x,x,0,0,0,0,3,0,0,0,0,0,25,0.5102040816326531,7,1.7157428209782613,0
ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,1,0,0,x,0,1,0,0,0,x,1,0,0,0,0,0,x,0,0,0,2,0,0,0,0,0,16,0.3333333333333333,7,1.0474837574980447,0
DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,2,4,0,0,0,0,0,0,0,x,0,0,0,1,1,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,20,0.40816326530612246,6,1.3838480414828314,0
AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,7,5,0,0,0,0,0,0,x,5,0,0,0,x,1,0,0,0,1,1,8,0,0,0,1,0,0,0,0,0,29,0.6041666666666666,8,1.7646952443851476,0
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,x,x,0,0,x,0,0,x,x,x,0,0,0,x,1,0,0,0,0,x,6,0,x,0,1,0,0,0,4,0,12,0.2926829268292683,4,1.1096890893733977,0
ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,1,0,0,0,0,0,x,0,0,0,0,0,x,1,0,0,0,x,x,0,0,0,0,1,0,0,0,0,0,21,0.44680851063829785,5,1.8196154683596,0
ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,1,0,0,0,0,0,x,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,18,0.36,7,1.034601372510205,0
AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,7,3,0,0,1,0,0,x,0,3,0,0,0,x,1,0,0,0,0,x,0,0,0,0,x,0,0,0,0,0,15,0.3333333333333333,5,1.1925695879998879,0
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,3,0,0,x,0,0,x,0,1,0,0,0,x,1,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,5,0.11363636363636363,3,0.48691557467337615,0
