,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
,,,,MAX,6,,1,,7.5,,1,,,7.5,,1,,6.5,,0.15,,3.5,,0.0001,,,
,,,,MIN,3,,0.02,,6,,0.01,,,4.5,,0.01,,3,,0,,0,,0,,,
CRISIS,TYPE OF CRISIS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,,,,,,,,,,,
Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,4.7,1.0000107220537329,5,4.85,5,1,5,5,4.9,5,1,5,5,5,0.13887282477261972,4.6,4.8,5,0.0003271909994216918,5,5,4.9,5
Nagorno-Karabakh Conflict in Armenia,Conflict,ARM002,Armenia,ARM,2.4,0.9906217070600633,5,3.7,1.6,1,5,3.3,3.5,0.9,0.03638151425762045,0.1,0.5,2.8,0.8378378378378378,5,3.9,0.4,1.801801801801802e-05,0.9,0.7,2.6,1.7
Nagorno-Karabakh conflict in Azerbaijan,Conflict,AZE002,Azerbaijan,AZE,2.5,0.38179112783228286,1.8,2.15,2.6,0.5889312211750551,2.9,2.75,2.5,3.8,1,5,4.4,0,0,0,0,2.8,1.5491998638066055e-05,0.8,1.8,1,3.1
Complex in Burundi,Complex crisis,BDI001,Burundi,BDI,2.3,1,5,3.65,3.6,0.9803212513665798,4.9,4.25,4,3.7,0.45371879557347516,2.2,2.95,3.8,0.0903762525997353,3,3.4,3.4,4.2919266401966344e-05,2.1,2.8,3.1,3
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,3.6,0.5547843567251461,2.7,3.1500000000000004,3.1,0.4132645820521311,2,2.55,2.9,3.7,0.6040521978021978,3,3.35,4.3,0.2067462573431874,5,4.7,4,0.00011237445518286905,5,4.5,4.6,4.1
Floods in Burkina Faso,Flood,BFA003,Burkina Faso,BFA,4.1,0.9896345029239766,4.9,4.5,4.4,1,5,4.7,4.6,0.9,0.005014428307866975,0,0.45,x,x,x,x,2.3,0.00038679245283018866,5,3.7,3.7,2.4
Multiple crises in Burkina Faso,Multiple crises country,BFA004,Burkina Faso,BFA,4.1,0.9896345029239766,4.9,4.5,4.4,1,5,4.7,4.6,3.7,0.2546478073702635,1.2,2.45,4.3,0.20267508824075794,5,4.7,4,0.00011777819060003716,5,4.5,4.6,3.7
