,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.4,2.3,1.9,0,1.9,140.5,0,High
ARM002,1.4,2.3,1.8,0,1.9,134.3,0,High
AZE002,3.2,x,3.1,3.3,x,228.6,2,Low
BDI001,1.7,2.3,2.7,0,1.9,196.9,0,High
BFA002,0.7,0.5,1.6,0,1.2,119.8,0,Very High
BGD002,1.1,1.5,1.9,0,1.6,137.9,0,High
BRA002,2.3,3.5,3.5,0,2.4,252.6,0,Medium
CAF001,2.2,3.5,3,0,2.4,217.1,0,Medium
CMR001,0.8,0.5,2,0,1.2,144.6,0,Very High
CMR002,1.5,1.8,2.8,0,1.7,207.1,0,High
CMR003,1.7,2.3,2.7,0,1.9,195.9,0,High
CMR004,2.4,2.3,3.2,1.7,1.9,236.5,1,Medium
COD001,1.8,2.3,3,0,1.9,220.1,0,High
COG001,3.1,3.3,2.6,3.3,2.3,189.7,2,Low
COL001,1.5,2.3,2.2,0,1.9,164.6,0,High
COL002,2.7,2.3,4.1,1.7,1.9,300.1,1,Medium
CRI002,2.4,3.3,3.8,0,2.3,281.1,0,Medium
DJI001,0.9,2.3,0.3,0,1.9,26.4,0,Very High
DJI002,0.9,2.3,0.3,0,1.9,26.4,0,Very High
DJI003,0.9,2.3,0.3,0,1.9,26.4,0,Very High
DZA002,5,x,5,5,x,438.2,3,Very Low
DZA003,2.9,3.8,5,0,2.5,525.1,0,Medium
DZA004,4.9,x,4.8,5,x,352.4,3,Very Low
ECU002,2.5,3.8,3.6,0,2.5,263.5,0,Medium
EGY002,1.8,3.8,1.7,0,2.5,122.6,0,High
ERI001,2.5,3.8,3.7,0,2.5,272.6,0,Medium
ESP002,1.3,2.3,1.7,0,1.9,121.6,0,High
ETH001,1,2.3,0.6,0,1.9,41.3,0,Very High
ETH002,0.9,2,0.6,0,1.8,45.3,0,Very High
ETH003,1,2.3,0.6,0,1.9,41.3,0,Very High
ETH004,1.3,3.3,0.5,0,2.3,37.3,0,High
GRC002,1.5,2.3,2.3,0,1.9,164.9,0,High
GTM001,1.8,1.8,3.6,0,1.7,263.6,0,High
GTM003,1.6,2.3,2.6,0,1.9,188,0,High
HND001,2,2,4,0,1.8,293.2,0,High
HND002,1.7,2.5,2.6,0,2,193.9,0,High
HTI001,1.7,2,3.2,0,1.8,232,0,High
IDN002,3.4,x,5,1.7,x,413.9,1,Low
IND002,3.4,2.3,2.8,5,1.9,202,3,Low
IRN004,1.8,4.3,1.2,0,2.7,89.4,0,High
IRQ001,1.2,2.3,1.3,0,1.9,92.1,0,High
IRQ002,1.1,1.3,1.9,0,1.5,141,0,High
IRQ003,1.5,2.5,1.9,0,2,142.3,0,High
ITA002,1.3,2.3,1.7,0,1.9,121.3,0,High
JOR002,1.3,2.8,1.2,0,2.1,91.4,0,High
KEN002,3,2.3,5,1.7,1.9,393,1,Medium
LBN002,1.6,2.5,2.2,0,2,159.4,0,High
LBN004,2,2.3,2,1.7,1.9,144.7,1,High
LBY001,1.4,1.8,2.5,0,1.7,179.9,0,High
LBY002,1.4,2,2.1,0,1.8,156.6,0,High
LSO002,0.9,2,0.7,0,1.8,50.7,0,Very High
MAR002,5,x,5,5,x,486.6,3,Very Low
MDG002,0.4,0.8,0.4,0,1.3,28.2,0,Very High
MEX001,4.2,x,5,3.3,x,487.1,2,Very Low
MEX002,4.2,x,5,3.3,x,507.2,2,Very Low
MEX003,3.4,x,5,1.7,x,504.6,1,Low
MLI001,1.5,2,2.5,0,1.8,182.7,0,High
MMR001,1.1,2.3,0.9,0,1.9,67.3,0,High
MMR002,1.4,2.3,2,0,1.9,144.7,0,High
MMR003,1.4,2.3,2,0,1.9,144.7,0,High
MMR004,1,2.8,0.3,0,2.1,24.4,0,Very High
MOZ004,1.2,3.3,0.3,0,2.3,19.4,0,High
MRT002,3.2,2.3,4,3.3,1.9,290.4,2,Low
MRT003,3.4,2.3,2.9,5,1.9,208.9,4,Low
MWI002,0.6,0.5,1.3,0,1.2,92.3,0,Very High
MYS001,1.1,2.3,1.1,0,1.9,81.4,0,High
NAM002,1.6,2,1,1.7,1.8,75.2,1,High
NER001,1.7,2,3.2,0,1.8,230.4,0,High
NER002,2.2,3.3,3.2,0,2.3,230.4,0,Medium
NER003,2.2,3.5,3.2,0,2.4,230.4,0,Medium
NER004,2.2,3.8,2.7,0,2.5,199.7,0,Medium
NGA001,2.1,3.8,2.6,0,2.5,190.5,0,Medium
NGA003,2,3.5,2.4,0,2.4,173.2,0,High
NGA004,2.5,3.5,2.4,1.7,2.4,173.3,1,Medium
NGA007,1.8,3.3,2.1,0,2.3,156.5,0,High
NGA008,2.1,3.3,1.2,1.7,2.3,85.6,1,Medium
NIC001,3.4,x,5,1.7,x,612.8,1,Low
NIC002,1.7,2.3,2.8,0,1.9,205.7,0,High
PAK001,1.8,3.5,2,0,2.4,144,0,High
PAK004,3.4,3.5,5,1.7,2.4,655.2,1,Low
PER002,2.4,3.8,3.5,0,2.5,253.9,0,Medium
PHL003,1.4,2.5,1.8,0,2,129,0,High
PRK001,2.5,2.5,4.9,0,2,359.3,0,Medium
PSE002,1.8,3.3,2,0,2.3,145.8,0,High
REG001,1.5,2,2.6,0,1.8,188.8,0,High
REG002,3.5,3.3,3.8,3.3,2.3,276.7,2,Low
REG003,4.2,x,5,3.3,x,586,2,Very Low
REG004,1.9,4,1.8,0,2.6,131.2,0,High
REG006,5,x,5,5,x,652.1,6,Very Low
REG007,5,x,5,5,x,678.9,5,Very Low
REG008,5,x,5,5,x,678.9,5,Very Low
REG011,1.4,2.3,1.8,0,1.9,128.5,0,High
