,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
AFG001,913,185,185,31,31,185,185,185,185,185,185,48,48,48,48,48,48,48,48,48,140.5
ARM002,248,96,96,96,248,96,96,96,185,185,185,60,60,60,60,60,60,60,60,60,134.3
AZE002,269,226,226,139,248,269,269,269,269,269,269,59,59,59,59,59,59,59,59,59,228.6
BDI001,298,129,129,129,129,129,129,129,129,129,885,52,52,52,52,52,52,52,52,52,196.9
BFA002,31,31,31,31,31,31,31,31,31,31,897,53,53,53,53,53,53,53,53,53,119.8
BGD002,185,74,74,74,2,138,138,138,138,138,488,51,53,53,53,53,53,53,53,51,137.9
BRA002,610,183,183,183,298,183,183,183,183,183,897,50,50,50,50,50,50,50,50,50,252.6
CAF001,900,221,221,12,12,277,277,277,277,277,488,53,53,53,53,53,53,53,53,53,217.1
CMR001,62,62,62,62,61,61,61,61,61,61,899,57,57,57,54,57,57,54,54,54,144.6
CMR002,711,156,156,127,127,156,156,156,156,156,824,57,57,57,57,57,57,57,57,57,207.1
CMR003,899,156,156,127,127,156,156,156,156,156,711,58,58,58,58,58,58,58,58,58,195.9
CMR004,899,183,183,127,183,183,183,183,183,183,899,58,58,58,58,58,58,58,58,58,236.5
COD001,299,127,204,12,12,204,204,204,204,204,899,54,54,54,54,54,54,54,54,54,220.1
COG001,205,205,205,205,205,205,205,205,205,205,205,52,52,52,52,52,52,52,52,52,189.7
COL001,297,73,73,73,184,73,73,73,73,73,898,53,53,53,53,53,53,53,53,53,164.6
COL002,184,184,184,184,541,184,298,184,184,298,898,46,46,46,46,46,46,46,46,46,300.1
CRI002,541,298,184,184,396,184,184,184,298,298,842,57,57,57,57,57,57,57,57,57,281.1
DJI001,24,24,24,24,24,24,24,24,24,24,24,48,48,48,48,48,48,48,48,48,26.4
DJI002,24,24,24,24,24,24,24,24,24,24,24,48,48,48,48,48,48,48,48,48,26.4
DJI003,24,24,24,24,24,24,24,24,24,24,24,48,48,48,48,48,48,48,48,48,26.4
DZA002,610,541,416,416,33,610,610,610,610,610,416,51,51,51,51,51,51,51,51,51,438.2
DZA003,541,897,610,610,33,610,610,610,610,610,897,51,51,51,51,51,51,51,51,51,525.1
DZA004,403,403,403,403,249,403,403,403,403,403,403,51,51,51,51,51,51,51,51,51,352.4
ECU002,541,183,183,183,396,183,183,183,183,183,898,60,60,60,60,60,60,60,60,60,263.5
EGY002,458,123,33,33,33,33,33,33,33,33,901,61,61,61,61,61,61,61,61,61,122.6
ERI001,297,618,183,183,183,244,244,244,244,244,899,58,58,58,58,58,58,58,58,58,272.6
ESP002,184,184,32,32,32,32,32,32,32,32,898,62,62,62,62,62,62,62,62,62,121.6
ETH001,45,45,45,45,5,45,45,45,45,45,45,48,48,48,48,48,48,48,48,48,41.3
ETH002,45,45,45,45,45,45,45,45,45,45,45,48,48,48,48,48,48,48,48,48,45.3
ETH003,45,45,45,45,5,45,45,45,45,45,45,48,48,48,48,48,48,48,48,48,41.3
ETH004,45,45,45,5,5,45,45,45,45,45,45,48,48,48,48,48,48,48,48,48,37.3
GRC002,823,94,94,94,31,94,94,94,94,94,907,53,53,53,53,53,53,53,53,53,164.9
GTM001,297,298,298,298,184,184,184,184,184,298,764,58,58,57,57,58,58,57,57,57,263.6
GTM003,184,184,184,184,184,184,184,184,243,243,243,47,47,47,47,47,47,47,47,47,188
HND001,297,298,298,298,184,225,225,225,225,298,899,55,55,55,55,57,57,55,55,55,293.2
HND002,243,184,184,184,243,184,184,184,243,243,243,47,47,47,47,47,47,47,47,47,193.9
HTI001,915,146,184,298,184,125,125,146,146,146,915,51,51,51,51,51,51,51,51,51,232
IDN002,549,549,549,2,45,549,549,549,549,549,732,66,66,66,66,66,66,66,66,66,413.9
IND002,185,185,185,185,45,185,185,185,185,185,612,68,68,68,68,73,73,68,68,68,202
IRN004,138,138,31,31,488,31,31,31,31,31,138,51,51,51,51,51,51,51,51,51,89.4
IRQ001,184,184,184,32,32,32,32,32,32,32,458,55,55,55,55,55,55,55,55,55,92.1
IRQ002,184,154,125,32,32,125,125,125,125,125,541,55,55,55,55,55,55,55,55,55,141
IRQ003,184,32,32,32,247,32,32,32,32,32,897,55,55,55,55,55,55,55,55,55,142.3
ITA002,897,32,32,32,32,32,32,32,32,32,897,60,60,60,60,60,60,60,60,60,121.3
JOR002,32,32,32,32,243,32,32,32,32,32,393,54,54,54,54,54,54,54,54,54,91.4
KEN002,155,155,155,155,897,155,488,155,488,488,897,52,52,52,52,52,52,52,52,52,393
LBN002,421,181,125,94,276,125,125,125,125,125,421,53,53,53,53,53,53,53,53,53,159.4
LBN004,458,181,125,154,32,125,125,125,125,125,458,53,53,53,53,53,53,53,53,53,144.7
LBY001,458,123,458,96,122,122,122,122,122,122,458,55,55,55,55,55,55,55,55,55,179.9
LBY002,306,123,94,94,123,94,94,122,122,306,458,59,59,59,59,59,59,59,59,59,156.6
