,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
AFG001,882,154,154,0,0,154,154,154,154,154,154,215,215,215,215,215,215,215,215,215,129.3
ARM002,217,65,65,65,217,65,65,65,154,154,154,217,217,217,217,217,217,217,217,217,122.1
AZE002,238,195,195,108,217,238,238,238,238,238,238,217,217,217,217,217,217,217,217,217,216.5
BDI001,267,98,98,98,98,98,98,98,98,98,854,216,216,216,216,216,216,216,216,216,185.4
BFA002,0,0,0,0,0,0,0,0,0,0,866,217,217,217,217,217,217,217,217,217,108.3
BGD002,154,43,43,43,43,107,107,107,107,107,457,215,215,215,215,215,215,215,215,215,133.6
BRA002,579,152,152,152,267,152,152,152,152,152,866,607,607,607,607,607,607,607,607,607,280.4
CAF001,869,190,190,96,96,246,246,246,246,246,457,217,217,217,217,217,217,217,217,217,228.6
CMR001,31,31,31,31,30,30,30,30,30,30,868,216,216,216,216,216,216,216,216,216,132.6
CMR002,680,125,125,96,96,125,125,125,125,125,793,216,216,216,216,216,216,216,216,216,195.1
CMR003,868,125,125,96,96,125,125,125,125,125,680,216,216,216,216,216,216,216,216,216,183.8
CMR004,868,152,152,96,152,152,152,152,152,152,868,216,216,216,216,216,216,216,216,216,224.4
