Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,652867,38042000,38042000,5427000,x,x,12598,x,x,#N/A,13114,0,19642000,12100000,5800000,500000,5,x,x,1,3,2,3,0,3,3,3,3
Nagorno-Karabakh Conflict in Armenia,Conflict,ARM002,Armenia,ARM,28203,3051000,86000,68000,x,x,2,x,x,#N/A,x,2940000,18000,68000,0,0,2,x,x,0,0,0,0,0,0,0,2,0
Nagorno-Karabakh conflict in Azerbaijan,Conflict,AZE002,Azerbaijan,AZE,31560,5874000,5874000,91000,x,x,91,x,x,#N/A,x,x,x,x,x,x,3,x,x,2,2,0,0,0,2,3,3,0
Complex in Burundi,Complex crisis,BDI001,Burundi,BDI,25680,12600000,12600000,416000,x,70187,262,x,x,#N/A,444,0,10200000,1272000,1032000,96000,5,x,x,1,2,2,0,2,0,1,0,2
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,151789,8736000,5277000,1142000,x,x,566,x,x,#N/A,x,3459000,3107000,490000,764000,916000,4,x,x,0,2,2,3,0,2,3,0,3
Rohingya refugee crisis,International displacement,BGD002,Bangladesh,BGD,650,1349000,1349000,878000,37140,141302,14,x,x,#N/A,x,0,472000,670000,207000,0,3,0,0,2,1,2,0,2,3,3,1,3
Venezuela displacement in Brazil,International displacement,BRA002,Brazil,BRA,224274,1495000,889000,490000,x,x,0,x,x,#N/A,x,606000,399000,490000,0,0,2,x,x,0,0,0,0,0,0,0,0,0
Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,623000,4900000,4900000,1616000,x,x,310,x,x,#N/A,x,0,2100000,900000,1900000,0,5,x,x,0,3,2,3,0,2,3,0,3
Multiple crises in Cameroon,Multiple crises country,CMR001,Cameroon,CMR,283816,10523000,4748000,1999000,150,x,530,x,x,#N/A,x,5775000,2843000,1814000,91000,0,5,x,x,0,3,3,2,1,2,3,1,2
